Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5247B,US57180290,A.12.85.08

Ch 1
Ports:, 3 & 4
Measurement Model:, Transmission Epsilon Fast
Sample Holder Type:, Freespace
Metal Plate Thickness:, 1.000000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 3.020000 mm
IFBW:, 1000.000000 Hz
Power:, 2.000000 dBm
Date:,"Tuesday, November 19, 2024 11:25:43"
frequency(Hz),Tr 1  Data(e'),(e'')
220000000000.0000,2.801796e+000,2.570628e-002
220055000000.0000,2.801098e+000,2.506484e-002
220110000000.0000,2.800489e+000,2.453100e-002
220165000000.0000,2.799961e+000,2.407935e-002
220220000000.0000,2.799493e+000,2.369289e-002
220275000000.0000,2.799081e+000,2.336369e-002
220330000000.0000,2.798715e+000,2.307642e-002
220385000000.0000,2.798389e+000,2.283326e-002
220440000000.0000,2.798098e+000,2.262045e-002
220495000000.0000,2.797835e+000,2.243721e-002
220550000000.0000,2.797601e+000,2.227903e-002
220605000000.0000,2.797391e+000,2.213346e-002
220660000000.0000,2.797206e+000,2.200710e-002
220715000000.0000,2.797048e+000,2.188962e-002
220770000000.0000,2.796916e+000,2.178905e-002
220825000000.0000,2.796811e+000,2.169863e-002
220880000000.0000,2.796728e+000,2.161863e-002
220935000000.0000,2.796669e+000,2.154867e-002
220990000000.0000,2.796631e+000,2.148721e-002
221045000000.0000,2.796611e+000,2.143498e-002
221100000000.0000,2.796610e+000,2.138989e-002
221155000000.0000,2.796624e+000,2.134830e-002
221210000000.0000,2.796657e+000,2.131466e-002
221265000000.0000,2.796705e+000,2.128584e-002
221320000000.0000,2.796765e+000,2.126708e-002
221375000000.0000,2.796835e+000,2.125776e-002
221430000000.0000,2.796904e+000,2.125631e-002
221485000000.0000,2.796975e+000,2.126702e-002
221540000000.0000,2.797041e+000,2.128115e-002
221595000000.0000,2.797100e+000,2.130336e-002
221650000000.0000,2.797154e+000,2.132659e-002
221705000000.0000,2.797198e+000,2.135552e-002
221760000000.0000,2.797237e+000,2.138802e-002
221815000000.0000,2.797264e+000,2.142746e-002
221870000000.0000,2.797279e+000,2.147543e-002
221925000000.0000,2.797279e+000,2.152964e-002
221980000000.0000,2.797261e+000,2.158823e-002
