1_Freq_Hz,1_EpsReal,1_TanDelta,1_Thickness_mm,2_Freq_Hz,2_EpsReal,2_TanDelta,2_Thickness_mm,3_Freq_Hz,3_EpsReal,3_TanDelta,3_Thickness_mm
50000000000,2.756384822,0.005845822,NaN,50000000000,2.768146324,0.00582469,NaN,50000000000,2.771281379,0.00567039,NaN
50050000000,2.756200556,0.007746516,NaN,50050000000,2.768063587,0.007772376,NaN,50050000000,2.770944501,0.007586104,NaN
50100000000,2.758403426,0.010020238,NaN,50100000000,2.770053497,0.010135034,NaN,50100000000,2.773352225,0.009872787,NaN
50150000000,2.758168261,0.013254411,NaN,50150000000,2.769584486,0.013410438,NaN,50150000000,2.773215569,0.013101077,NaN
50200000000,2.750068503,0.021254732,NaN,50200000000,2.761032334,0.021510818,NaN,50200000000,2.764282793,0.02129376,NaN
50250000000,2.71721097,0.023016093,NaN,50250000000,2.727255052,0.022668009,NaN,50250000000,2.73041702,0.022335841,NaN
50300000000,2.69369268,0.014051458,NaN,50300000000,2.705002992,0.01364189,NaN,50300000000,2.708991494,0.013404011,NaN
50350000000,2.699647629,0.006383248,NaN,50350000000,2.711396689,0.0061389,NaN,50350000000,2.715415634,0.006077302,NaN
50400000000,2.703679055,0.002952145,NaN,50400000000,2.715724298,0.00280329,NaN,50400000000,2.719332846,0.002796473,NaN
50450000000,2.691010527,-0.002322348,NaN,50450000000,2.702658602,-0.00241469,NaN,50450000000,2.705928562,-0.002433008,NaN
50500000000,2.743098067,-0.006031163,NaN,50500000000,2.754953709,-0.006047687,NaN,50500000000,2.758417762,-0.006123714,NaN
50550000000,2.738596686,-0.007902965,NaN,50550000000,2.750366997,-0.007872223,NaN,50550000000,2.754370556,-0.007986796,NaN
50600000000,2.761412624,-0.012133282,NaN,50600000000,2.773183704,-0.012057327,NaN,50600000000,2.777067601,-0.012124719,NaN
50650000000,2.783530734,-0.002437756,NaN,50650000000,2.795468755,-0.002378117,NaN,50650000000,2.799680938,-0.002313336,NaN
50700000000,2.788330028,0.0059739,NaN,50700000000,2.79975787,0.006051302,NaN,50700000000,2.803773492,0.006267377,NaN
50750000000,2.781395185,0.015039073,NaN,50750000000,2.792671779,0.01520513,NaN,50750000000,2.795646833,0.015483598,NaN
50800000000,2.753418753,0.020465242,NaN,50800000000,2.763721731,0.020255065,NaN,50800000000,2.766974802,0.020188888,NaN
50850000000,2.736008377,0.014438259,NaN,50850000000,2.747400982,0.01416932,NaN,50850000000,2.751443966,0.013985458,NaN
50900000000,2.745445907,0.012063432,NaN,50900000000,2.757435296,0.012058302,NaN,50900000000,2.762368631,0.01234941,NaN
50950000000,2.717021068,0.022659674,NaN,50950000000,2.726384269,0.021259779,NaN,50950000000,2.727823263,0.019984538,NaN
51000000000,2.715967141,0.008598644,NaN,51000000000,2.7284482,0.008395272,NaN,51000000000,2.732871127,0.008237928,NaN
51050000000,2.72367465,0.007017679,NaN,51050000000,2.735270442,0.00696404,NaN,51050000000,2.739742236,0.006900717,NaN
