1_Freq_Hz,1_EpsReal,1_TanDelta,1_Thickness_mm,2_Freq_Hz,2_EpsReal,2_TanDelta,2_Thickness_mm,3_Freq_Hz,3_EpsReal,3_TanDelta,3_Thickness_mm,4_Freq_Hz,4_EpsReal,4_TanDelta,4_Thickness_mm,5_Freq_Hz,5_EpsReal,5_TanDelta,5_Thickness_mm,6_Freq_Hz,6_EpsReal,6_TanDelta,6_Thickness_mm
500000000000,2.743743522,0.013676823,NaN,500000000000,2.738270817,0.013512982,NaN,500000000000,2.743516789,0.013404267,NaN,500000000000,2.72667624,0.013750592,NaN,500000000000,2.731218169,0.01370902,NaN,500000000000,2.730884667,0.013654489,NaN
500333333333.333,2.744568367,0.013613835,NaN,500333333333.333,2.738863191,0.013603684,NaN,500333333333.333,2.744541154,0.013358554,NaN,500333333333.333,2.727711118,0.013836686,NaN,500333333333.333,2.731710353,0.013880973,NaN,500333333333.333,2.731766501,0.013737853,NaN
500666666666.667,2.743107931,0.013709373,NaN,500666666666.667,2.73783641,0.013788601,NaN,500666666666.667,2.743126928,0.013284811,NaN,500666666666.667,2.727174306,0.01379714,NaN,500666666666.667,2.73139014,0.01399228,NaN,500666666666.667,2.730818115,0.013608325,NaN
501000000000,2.741712273,0.013852368,NaN,501000000000,2.737217107,0.013738122,NaN,501000000000,2.741983856,0.013453115,NaN,501000000000,2.726507504,0.013852233,NaN,501000000000,2.730829543,0.01391474,NaN,501000000000,2.729563541,0.013762025,NaN
501333333333.333,2.742684452,0.013865839,NaN,501333333333.333,2.738050901,0.013644262,NaN,501333333333.333,2.743467964,0.013576594,NaN,501333333333.333,2.727649324,0.013908371,NaN,501333333333.333,2.731812587,0.013798768,NaN,501333333333.333,2.730820662,0.013860264,NaN
501666666666.667,2.741766209,0.014392872,NaN,501666666666.667,2.737163012,0.01418254,NaN,501666666666.667,2.74284576,0.01408706,NaN,501666666666.667,2.727295453,0.014271253,NaN,501666666666.667,2.7311659,0.014251542,NaN,501666666666.667,2.730428659,0.014230261,NaN
502000000000,2.740902343,0.014475002,NaN,502000000000,2.736098402,0.014192639,NaN,502000000000,2.74156514,0.014240018,NaN,502000000000,2.726162639,0.014347943,NaN,502000000000,2.730078132,0.01423003,NaN,502000000000,2.729277332,0.014282968,NaN
502333333333.333,2.741255286,0.013781005,NaN,502333333333.333,2.735901888,0.013528569,NaN,502333333333.333,2.741908689,0.013605825,NaN,502333333333.333,2.726339142,0.01385144,NaN,502333333333.333,2.730051151,0.013636272,NaN,502333333333.333,2.729595989,0.013764171,NaN
502666666666.667,2.74174748,0.012955744,NaN,502666666666.667,2.736145695,0.012925568,NaN,502666666666.667,2.742042724,0.012740059,NaN,502666666666.667,2.72723459,0.013071092,NaN,502666666666.667,2.730584957,0.013006774,NaN,502666666666.667,2.730355594,0.012900942,NaN
503000000000,2.744678075,0.012842579,NaN,503000000000,2.739162512,0.012845675,NaN,503000000000,2.744502115,0.012605814,NaN,503000000000,2.729872471,0.012792503,NaN,503000000000,2.733560778,0.012880431,NaN,503000000000,2.732756363,0.012663098,NaN
