Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5247B,US57180290,A.12.85.08

Ch 1
Ports:, 3 & 4
Measurement Model:, Transmission Epsilon Fast
Sample Holder Type:, Freespace
Metal Plate Thickness:, 1.000000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 3.000000 mm
IFBW:, 1000.000000 Hz
Power:, 2.000000 dBm
Date:,"Tuesday, November 19, 2024 12:02:50"
frequency(Hz),Tr 1  Data(e'),(e'')
220000000000.0000,2.762658e+000,1.896700e-002
220055000000.0000,2.761943e+000,1.837106e-002
220110000000.0000,2.761313e+000,1.786941e-002
220165000000.0000,2.760763e+000,1.744038e-002
220220000000.0000,2.760271e+000,1.706923e-002
220275000000.0000,2.759837e+000,1.675007e-002
220330000000.0000,2.759448e+000,1.647265e-002
220385000000.0000,2.759101e+000,1.623718e-002
220440000000.0000,2.758791e+000,1.603609e-002
220495000000.0000,2.758511e+000,1.586487e-002
220550000000.0000,2.758264e+000,1.572095e-002
220605000000.0000,2.758046e+000,1.559497e-002
220660000000.0000,2.757859e+000,1.549254e-002
220715000000.0000,2.757705e+000,1.540464e-002
220770000000.0000,2.757584e+000,1.533792e-002
220825000000.0000,2.757498e+000,1.528812e-002
220880000000.0000,2.757443e+000,1.525600e-002
220935000000.0000,2.757419e+000,1.524143e-002
220990000000.0000,2.757426e+000,1.524231e-002
221045000000.0000,2.757461e+000,1.525813e-002
221100000000.0000,2.757526e+000,1.528737e-002
221155000000.0000,2.757618e+000,1.532759e-002
221210000000.0000,2.757738e+000,1.538149e-002
221265000000.0000,2.757884e+000,1.544597e-002
221320000000.0000,2.758050e+000,1.552296e-002
221375000000.0000,2.758235e+000,1.561141e-002
221430000000.0000,2.758430e+000,1.570703e-002
221485000000.0000,2.758634e+000,1.581262e-002
221540000000.0000,2.758839e+000,1.591751e-002
221595000000.0000,2.759042e+000,1.602471e-002
221650000000.0000,2.759242e+000,1.612499e-002
221705000000.0000,2.759432e+000,1.622236e-002
221760000000.0000,2.759611e+000,1.631364e-002
221815000000.0000,2.759773e+000,1.639946e-002
221870000000.0000,2.759914e+000,1.648160e-002
221925000000.0000,2.760031e+000,1.655480e-002
221980000000.0000,2.760118e+000,1.662126e-002
222035000000.0000,2.760180e+000,1.667769e-002
222090000000.0000,2.760214e+000,1.672268e-002
222145000000.0000,2.760226e+000,1.675821e-002
222200000000.0000,2.760219e+000,1.678390e-002
222255000000.0000,2.760195e+000,1.680337e-002
222310000000.0000,2.760161e+000,1.681872e-002
222365000000.0000,2.760115e+000,1.683012e-002
222420000000.0000,2.760063e+000,1.684193e-002
222475000000.0000,2.760006e+000,1.684772e-002
222530000000.0000,2.759951e+000,1.685380e-002
222585000000.0000,2.759903e+000,1.685494e-002
222640000000.0000,2.759866e+000,1.685560e-002
222695000000.0000,2.759844e+000,1.685678e-002
222750000000.0000,2.759840e+000,1.685857e-002
222805000000.0000,2.759853e+000,1.686521e-002
222860000000.0000,2.759889e+000,1.687458e-002
222915000000.0000,2.759940e+000,1.688891e-002
222970000000.0000,2.760014e+000,1.690561e-002
223025000000.0000,2.760107e+000,1.692553e-002
223080000000.0000,2.760222e+000,1.694799e-002
223135000000.0000,2.760359e+000,1.697278e-002
223190000000.0000,2.760513e+000,1.700053e-002
223245000000.0000,2.760688e+000,1.703385e-002
223300000000.0000,2.760873e+000,1.706880e-002
223355000000.0000,2.761070e+000,1.711041e-002
223410000000.0000,2.761270e+000,1.715099e-002
223465000000.0000,2.761470e+000,1.719550e-002
223520000000.0000,2.761666e+000,1.723624e-002
223575000000.0000,2.761855e+000,1.727462e-002
223630000000.0000,2.762033e+000,1.730822e-002
223685000000.0000,2.762200e+000,1.733734e-002
223740000000.0000,2.762349e+000,1.736580e-002
223795000000.0000,2.762479e+000,1.738968e-002
223850000000.0000,2.762585e+000,1.741175e-002
223905000000.0000,2.762667e+000,1.742930e-002
223960000000.0000,2.762720e+000,1.744402e-002
224015000000.0000,2.762745e+000,1.745431e-002
224070000000.0000,2.762747e+000,1.746171e-002
224125000000.0000,2.762723e+000,1.746631e-002
224180000000.0000,2.762681e+000,1.747251e-002
224235000000.0000,2.762616e+000,1.747990e-002
224290000000.0000,2.762535e+000,1.749541e-002
224345000000.0000,2.762437e+000,1.751278e-002
224400000000.0000,2.762325e+000,1.753765e-002
224455000000.0000,2.762202e+000,1.756502e-002
224510000000.0000,2.762073e+000,1.759617e-002
224565000000.0000,2.761944e+000,1.763338e-002
224620000000.0000,2.761820e+000,1.767395e-002
224675000000.0000,2.761702e+000,1.772326e-002
224730000000.0000,2.761596e+000,1.777952e-002
224785000000.0000,2.761502e+000,1.784567e-002
224840000000.0000,2.761420e+000,1.792095e-002
224895000000.0000,2.761357e+000,1.800200e-002
224950000000.0000,2.761309e+000,1.808932e-002
225005000000.0000,2.761285e+000,1.818044e-002
225060000000.0000,2.761280e+000,1.827675e-002
225115000000.0000,2.761300e+000,1.837962e-002
225170000000.0000,2.761340e+000,1.848656e-002
225225000000.0000,2.761403e+000,1.860050e-002
225280000000.0000,2.761482e+000,1.871989e-002
225335000000.0000,2.761578e+000,1.884511e-002
225390000000.0000,2.761687e+000,1.897426e-002
225445000000.0000,2.761806e+000,1.910458e-002
225500000000.0000,2.761932e+000,1.923619e-002
225555000000.0000,2.762063e+000,1.936652e-002
225610000000.0000,2.762196e+000,1.949752e-002
225665000000.0000,2.762329e+000,1.962637e-002
225720000000.0000,2.762460e+000,1.975084e-002
225775000000.0000,2.762583e+000,1.987276e-002
225830000000.0000,2.762697e+000,1.998885e-002
225885000000.0000,2.762798e+000,2.010001e-002
225940000000.0000,2.762888e+000,2.020314e-002
225995000000.0000,2.762961e+000,2.029803e-002
226050000000.0000,2.763024e+000,2.038488e-002
226105000000.0000,2.763073e+000,2.046581e-002
226160000000.0000,2.763113e+000,2.054414e-002
226215000000.0000,2.763141e+000,2.061892e-002
226270000000.0000,2.763158e+000,2.069440e-002
226325000000.0000,2.763165e+000,2.076963e-002
226380000000.0000,2.763162e+000,2.084607e-002
226435000000.0000,2.763154e+000,2.092433e-002
226490000000.0000,2.763141e+000,2.100266e-002
226545000000.0000,2.763128e+000,2.108407e-002
226600000000.0000,2.763116e+000,2.116837e-002
226655000000.0000,2.763106e+000,2.125819e-002
226710000000.0000,2.763101e+000,2.135413e-002
226765000000.0000,2.763101e+000,2.145319e-002
226820000000.0000,2.763105e+000,2.155762e-002
226875000000.0000,2.763117e+000,2.166404e-002
226930000000.0000,2.763136e+000,2.177442e-002
226985000000.0000,2.763164e+000,2.188764e-002
227040000000.0000,2.763198e+000,2.200114e-002
227095000000.0000,2.763242e+000,2.211676e-002
227150000000.0000,2.763294e+000,2.223310e-002
227205000000.0000,2.763352e+000,2.235055e-002
227260000000.0000,2.763418e+000,2.246776e-002
227315000000.0000,2.763486e+000,2.258233e-002
227370000000.0000,2.763557e+000,2.269514e-002
227425000000.0000,2.763627e+000,2.280288e-002
227480000000.0000,2.763696e+000,2.290550e-002
227535000000.0000,2.763761e+000,2.300091e-002
227590000000.0000,2.763821e+000,2.308662e-002
227645000000.0000,2.763874e+000,2.316696e-002
227700000000.0000,2.763917e+000,2.323859e-002
227755000000.0000,2.763946e+000,2.330459e-002
227810000000.0000,2.763961e+000,2.336206e-002
227865000000.0000,2.763955e+000,2.341129e-002
227920000000.0000,2.763934e+000,2.345053e-002
227975000000.0000,2.763893e+000,2.348088e-002
228030000000.0000,2.763838e+000,2.350218e-002
228085000000.0000,2.763767e+000,2.351563e-002
228140000000.0000,2.763682e+000,2.352345e-002
228195000000.0000,2.763586e+000,2.352683e-002
228250000000.0000,2.763477e+000,2.352773e-002
228305000000.0000,2.763360e+000,2.352681e-002
228360000000.0000,2.763235e+000,2.352467e-002
228415000000.0000,2.763104e+000,2.352188e-002
228470000000.0000,2.762971e+000,2.352142e-002
228525000000.0000,2.762840e+000,2.352407e-002
228580000000.0000,2.762711e+000,2.353355e-002
228635000000.0000,2.762587e+000,2.354961e-002
228690000000.0000,2.762467e+000,2.357641e-002
228745000000.0000,2.762356e+000,2.361227e-002
228800000000.0000,2.762252e+000,2.366060e-002
228855000000.0000,2.762158e+000,2.372031e-002
228910000000.0000,2.762073e+000,2.379036e-002
228965000000.0000,2.762000e+000,2.387245e-002
229020000000.0000,2.761939e+000,2.396451e-002
229075000000.0000,2.761892e+000,2.406852e-002
229130000000.0000,2.761859e+000,2.418320e-002
229185000000.0000,2.761837e+000,2.430839e-002
229240000000.0000,2.761825e+000,2.444425e-002
229295000000.0000,2.761823e+000,2.458822e-002
229350000000.0000,2.761826e+000,2.474002e-002
229405000000.0000,2.761835e+000,2.489733e-002
229460000000.0000,2.761847e+000,2.505755e-002
229515000000.0000,2.761861e+000,2.522132e-002
229570000000.0000,2.761875e+000,2.538558e-002
229625000000.0000,2.761889e+000,2.555294e-002
229680000000.0000,2.761898e+000,2.572051e-002
229735000000.0000,2.761898e+000,2.588724e-002
229790000000.0000,2.761890e+000,2.605179e-002
229845000000.0000,2.761869e+000,2.621147e-002
229900000000.0000,2.761838e+000,2.636475e-002
229955000000.0000,2.761794e+000,2.650989e-002
230010000000.0000,2.761738e+000,2.664724e-002
230065000000.0000,2.761670e+000,2.677587e-002
230120000000.0000,2.761590e+000,2.689555e-002
230175000000.0000,2.761497e+000,2.700720e-002
230230000000.0000,2.761393e+000,2.710933e-002
230285000000.0000,2.761277e+000,2.720165e-002
230340000000.0000,2.761154e+000,2.728376e-002
230395000000.0000,2.761022e+000,2.735551e-002
230450000000.0000,2.760886e+000,2.741875e-002
230505000000.0000,2.760748e+000,2.747388e-002
230560000000.0000,2.760609e+000,2.752345e-002
230615000000.0000,2.760474e+000,2.756567e-002
230670000000.0000,2.760340e+000,2.760456e-002
230725000000.0000,2.760213e+000,2.763941e-002
230780000000.0000,2.760090e+000,2.767169e-002
230835000000.0000,2.759975e+000,2.770177e-002
230890000000.0000,2.759866e+000,2.772919e-002
230945000000.0000,2.759766e+000,2.775472e-002
231000000000.0000,2.759676e+000,2.777850e-002
231055000000.0000,2.759595e+000,2.780084e-002
231110000000.0000,2.759525e+000,2.782264e-002
231165000000.0000,2.759465e+000,2.784309e-002
231220000000.0000,2.759414e+000,2.786424e-002
231275000000.0000,2.759370e+000,2.788409e-002
231330000000.0000,2.759333e+000,2.790225e-002
231385000000.0000,2.759302e+000,2.791912e-002
231440000000.0000,2.759275e+000,2.793185e-002
231495000000.0000,2.759252e+000,2.794354e-002
231550000000.0000,2.759232e+000,2.795253e-002
231605000000.0000,2.759210e+000,2.796018e-002
231660000000.0000,2.759187e+000,2.796631e-002
231715000000.0000,2.759159e+000,2.797080e-002
231770000000.0000,2.759125e+000,2.797314e-002
231825000000.0000,2.759084e+000,2.797312e-002
231880000000.0000,2.759034e+000,2.797002e-002
231935000000.0000,2.758974e+000,2.796415e-002
231990000000.0000,2.758905e+000,2.795444e-002
232045000000.0000,2.758826e+000,2.794383e-002
232100000000.0000,2.758736e+000,2.793011e-002
232155000000.0000,2.758635e+000,2.791410e-002
232210000000.0000,2.758524e+000,2.789554e-002
232265000000.0000,2.758401e+000,2.787470e-002
232320000000.0000,2.758269e+000,2.785231e-002
232375000000.0000,2.758129e+000,2.782767e-002
232430000000.0000,2.757982e+000,2.780178e-002
232485000000.0000,2.757830e+000,2.777352e-002
232540000000.0000,2.757675e+000,2.774514e-002
232595000000.0000,2.757520e+000,2.771601e-002
232650000000.0000,2.757366e+000,2.768881e-002
232705000000.0000,2.757214e+000,2.766315e-002
232760000000.0000,2.757065e+000,2.764097e-002
232815000000.0000,2.756920e+000,2.762111e-002
232870000000.0000,2.756782e+000,2.760419e-002
232925000000.0000,2.756650e+000,2.758970e-002
232980000000.0000,2.756527e+000,2.757846e-002
233035000000.0000,2.756412e+000,2.756960e-002
233090000000.0000,2.756306e+000,2.756562e-002
233145000000.0000,2.756210e+000,2.756486e-002
233200000000.0000,2.756121e+000,2.756876e-002
233255000000.0000,2.756041e+000,2.757680e-002
233310000000.0000,2.755967e+000,2.758690e-002
233365000000.0000,2.755901e+000,2.760105e-002
233420000000.0000,2.755841e+000,2.761649e-002
233475000000.0000,2.755786e+000,2.763515e-002
233530000000.0000,2.755736e+000,2.765547e-002
233585000000.0000,2.755690e+000,2.767809e-002
233640000000.0000,2.755647e+000,2.770231e-002
233695000000.0000,2.755605e+000,2.772790e-002
233750000000.0000,2.755562e+000,2.775460e-002
233805000000.0000,2.755518e+000,2.778189e-002
233860000000.0000,2.755471e+000,2.780844e-002
233915000000.0000,2.755422e+000,2.783523e-002
233970000000.0000,2.755370e+000,2.786000e-002
234025000000.0000,2.755314e+000,2.788505e-002
234080000000.0000,2.755253e+000,2.790819e-002
234135000000.0000,2.755188e+000,2.793061e-002
234190000000.0000,2.755119e+000,2.795221e-002
234245000000.0000,2.755046e+000,2.797238e-002
234300000000.0000,2.754969e+000,2.799169e-002
234355000000.0000,2.754887e+000,2.800840e-002
234410000000.0000,2.754803e+000,2.802319e-002
234465000000.0000,2.754716e+000,2.803432e-002
234520000000.0000,2.754628e+000,2.804303e-002
234575000000.0000,2.754540e+000,2.804885e-002
234630000000.0000,2.754452e+000,2.805213e-002
234685000000.0000,2.754366e+000,2.805288e-002
234740000000.0000,2.754283e+000,2.805089e-002
234795000000.0000,2.754202e+000,2.804531e-002
234850000000.0000,2.754126e+000,2.803672e-002
234905000000.0000,2.754054e+000,2.802371e-002
234960000000.0000,2.753989e+000,2.800798e-002
235015000000.0000,2.753933e+000,2.798783e-002
235070000000.0000,2.753884e+000,2.796517e-002
235125000000.0000,2.753843e+000,2.793909e-002
235180000000.0000,2.753808e+000,2.791055e-002
235235000000.0000,2.753780e+000,2.787977e-002
235290000000.0000,2.753757e+000,2.784615e-002
235345000000.0000,2.753738e+000,2.781070e-002
235400000000.0000,2.753722e+000,2.777294e-002
235455000000.0000,2.753707e+000,2.773370e-002
235510000000.0000,2.753695e+000,2.769221e-002
235565000000.0000,2.753683e+000,2.764960e-002
235620000000.0000,2.753670e+000,2.760603e-002
235675000000.0000,2.753655e+000,2.756191e-002
235730000000.0000,2.753638e+000,2.751733e-002
235785000000.0000,2.753616e+000,2.747261e-002
235840000000.0000,2.753589e+000,2.742569e-002
235895000000.0000,2.753557e+000,2.737871e-002
235950000000.0000,2.753519e+000,2.733063e-002
236005000000.0000,2.753473e+000,2.728278e-002
236060000000.0000,2.753421e+000,2.723460e-002
236115000000.0000,2.753362e+000,2.718749e-002
236170000000.0000,2.753296e+000,2.714136e-002
236225000000.0000,2.753223e+000,2.709688e-002
236280000000.0000,2.753143e+000,2.705493e-002
236335000000.0000,2.753057e+000,2.701382e-002
236390000000.0000,2.752965e+000,2.697497e-002
236445000000.0000,2.752869e+000,2.693791e-002
236500000000.0000,2.752768e+000,2.690297e-002
236555000000.0000,2.752665e+000,2.686966e-002
236610000000.0000,2.752560e+000,2.683756e-002
236665000000.0000,2.752455e+000,2.680710e-002
236720000000.0000,2.752351e+000,2.677862e-002
236775000000.0000,2.752247e+000,2.675085e-002
236830000000.0000,2.752144e+000,2.672425e-002
236885000000.0000,2.752042e+000,2.669626e-002
236940000000.0000,2.751943e+000,2.666780e-002
236995000000.0000,2.751847e+000,2.663690e-002
237050000000.0000,2.751756e+000,2.660460e-002
237105000000.0000,2.751670e+000,2.656999e-002
237160000000.0000,2.751588e+000,2.653320e-002
237215000000.0000,2.751512e+000,2.649423e-002
237270000000.0000,2.751441e+000,2.645282e-002
237325000000.0000,2.751374e+000,2.640944e-002
237380000000.0000,2.751312e+000,2.636338e-002
237435000000.0000,2.751255e+000,2.631489e-002
237490000000.0000,2.751203e+000,2.626405e-002
237545000000.0000,2.751154e+000,2.621162e-002
237600000000.0000,2.751107e+000,2.615754e-002
237655000000.0000,2.751064e+000,2.610200e-002
237710000000.0000,2.751021e+000,2.604486e-002
237765000000.0000,2.750980e+000,2.598749e-002
237820000000.0000,2.750937e+000,2.592942e-002
237875000000.0000,2.750892e+000,2.587194e-002
237930000000.0000,2.750845e+000,2.581405e-002
