sample_signal_time	sample_signal_y	reference_signal_time	reference_signal_y	fft_sample	fft_reference	fft_freq	measured_H	fft_freq_masked	measured_H_masked	magH	phaseH	magH_masked	phaseH_masked	freq_mask_boolean	dynamic_range_db	alpha_max
 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (-4.067466266866577931e-04+0.000000000000000000e+00j)	 (9.754122938530732133e-04+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.169996925914553065e-01+0.000000000000000000e+00j)	 (3.005870841487279663e+11+0.000000000000000000e+00j)	 (8.059500049378187647e-01+2.202796862977832726e-01j)	 (-7.597285303684746083e+00+0.000000000000000000e+00j)	 (9.621698412762656361e+00+0.000000000000000000e+00j)	 (-1.560957060351586989e+00+0.000000000000000000e+00j)	 (-1.210264946999454772e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.162354994142816622e-01+0.000000000000000000e+00j)	 (nan+0.000000000000000000e+00j)
 (1.562000000000000055e-01+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (1.562000000000000055e-01+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (3.090451062179413772e-04-3.713598116632098756e-03j)	 (-1.422974728319266577e-04-1.392633365309665222e-03j)	 (6.262230919765166283e+09+0.000000000000000000e+00j)	 (2.616607858731912817e+00+4.892757913753846277e-01j)	 (3.068493150684931641e+11+0.000000000000000000e+00j)	 (8.427279087036063654e-01-4.768164389870031827e-02j)	 (8.504028326105178337e+00+0.000000000000000000e+00j)	 (6.664959613694988683e+00+0.000000000000000000e+00j)	 (-1.472371560800613599e+00+0.000000000000000000e+00j)	 (-1.242597001851389926e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.921843317153488329e+00+0.000000000000000000e+00j)	 (-1.384749142563342872e+01+0.000000000000000000e+00j)
 (3.125000000000000000e-01+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (3.125000000000000000e-01+0.000000000000000000e+00j)	 (1.000000000000000048e-04+0.000000000000000000e+00j)	 (4.584585143536093130e-03+2.040525369184188927e-03j)	 (1.725480789186517074e-03+1.331825615453992914e-03j)	 (1.252446183953033257e+10+0.000000000000000000e+00j)	 (2.237032289352197001e+00-5.440869247900236294e-01j)	 (3.131115459882583008e+11+0.000000000000000000e+00j)	 (7.741339738116838065e-01-2.783290235511292066e-01j)	 (7.243040605705419743e+00+0.000000000000000000e+00j)	 (6.241520098789316684e+00+0.000000000000000000e+00j)	 (-1.695714437216773174e+00+0.000000000000000000e+00j)	 (-1.271459490721544405e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.767889998243958871e+00+0.000000000000000000e+00j)	 (5.225417417676131215e+00+0.000000000000000000e+00j)
 (4.687000000000000055e-01+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (4.687000000000000055e-01+0.000000000000000000e+00j)	 (-2.999999999999999737e-04+0.000000000000000000e+00j)	 (-1.098490262873692662e-02+3.108357830239519130e-04j)	 (-5.264819189276955663e-03-7.244559532592933539e-03j)	 (1.878669275929549789e+10+0.000000000000000000e+00j)	 (6.930211568710921144e-01-1.012659432290057726e+00j)	 (3.193737769080234985e+11+0.000000000000000000e+00j)	 (6.392722953684720766e-01-4.263457509422030611e-01j)	 (1.777550205031500852e+00+0.000000000000000000e+00j)	 (5.509459800837263721e+00+0.000000000000000000e+00j)	 (-2.288243998385500078e+00+0.000000000000000000e+00j)	 (-1.295763058962502789e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.904185003046009683e+01+0.000000000000000000e+00j)	 (1.428875857464251986e+01+0.000000000000000000e+00j)
 (6.250000000000000000e-01+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (6.250000000000000000e-01+0.000000000000000000e+00j)	 (-6.999999999999999929e-04+0.000000000000000000e+00j)	 (1.029457076732347674e-02-2.063118393998537858e-03j)	 (4.382326929347498887e-03+1.065708295535904362e-02j)	 (2.504892367906066513e+10+0.000000000000000000e+00j)	 (1.741803225802747435e-01-8.943587742576964983e-01j)	 (3.256360078277886353e+11+0.000000000000000000e+00j)	 (5.514893506514308985e-01-5.534389347797531444e-01j)	 (-8.080869089307136655e-01+0.000000000000000000e+00j)	 (5.101656113120849767e+00+0.000000000000000000e+00j)	 (-2.143604608581638260e+00+0.000000000000000000e+00j)	 (-1.315661276797270851e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.123126797904262730e+01+0.000000000000000000e+00j)	 (1.588227272777410271e+01+0.000000000000000000e+00j)
 (7.812000000000000055e-01+0.000000000000000000e+00j)	 (6.999999999999999929e-04+0.000000000000000000e+00j)	 (7.812000000000000055e-01+0.000000000000000000e+00j)	 (-8.999999999999999754e-04+0.000000000000000000e+00j)	 (-2.576925525112460334e-03+8.356238809767308970e-03j)	 (-9.229084772193370256e-03-4.412261724318076658e-03j)	 (3.131115459882583237e+10+0.000000000000000000e+00j)	 (-1.250644196118433082e-01-8.456333483417696195e-01j)	 (3.318982387475538330e+11+0.000000000000000000e+00j)	 (4.086873598378236716e-01-6.932219401703569872e-01j)	 (-1.362389800402520557e+00+0.000000000000000000e+00j)	 (4.762479404385682180e+00+0.000000000000000000e+00j)	 (-1.887052202582778726e+00+0.000000000000000000e+00j)	 (-1.340754799807234043e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.019714578059523546e+01+0.000000000000000000e+00j)	 (1.505956934938771141e+01+0.000000000000000000e+00j)
 (9.375000000000000000e-01+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (9.375000000000000000e-01+0.000000000000000000e+00j)	 (-1.000000000000000021e-03+0.000000000000000000e+00j)	 (7.187493902527608515e-04-1.622651052614088735e-02j)	 (2.007735267205968885e-02+3.704481197809675243e-03j)	 (3.757338551859099579e+10+0.000000000000000000e+00j)	 (-1.095913335663403071e-01-7.879789606683489378e-01j)	 (3.381604696673189697e+11+0.000000000000000000e+00j)	 (1.839228818841004420e-01-8.106576428521459210e-01j)	 (-1.986504238419548374e+00+0.000000000000000000e+00j)	 (4.771116890725638271e+00+0.000000000000000000e+00j)	 (-1.605260753663392492e+00+0.000000000000000000e+00j)	 (-1.371714233025870122e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.619951957650054197e+01+0.000000000000000000e+00j)	 (1.983496226525296890e+01+0.000000000000000000e+00j)
 (1.093699999999999894e+00+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (1.093699999999999894e+00+0.000000000000000000e+00j)	 (-1.299999999999999940e-03+0.000000000000000000e+00j)	 (-4.582993275708362874e-03+1.479377060189404451e-02j)	 (-1.789982589440470770e-02-8.023841388207074432e-03j)	 (4.383561643835616302e+10+0.000000000000000000e+00j)	 (-9.529480389986379196e-02-7.837584730176955228e-01j)	 (3.444227005870841675e+11+0.000000000000000000e+00j)	 (-4.559884063858778147e-02-7.867600086475378118e-01j)	 (-2.052621534277720539e+00+0.000000000000000000e+00j)	 (4.788316376903350324e+00+0.000000000000000000e+00j)	 (-2.068590528746372836e+00+0.000000000000000000e+00j)	 (-1.399813947528066116e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.585219033984205339e+01+0.000000000000000000e+00j)	 (1.966139348233265949e+01+0.000000000000000000e+00j)
 (1.250000000000000000e+00+0.000000000000000000e+00j)	 (4.000000000000000192e-04+0.000000000000000000e+00j)	 (1.250000000000000000e+00+0.000000000000000000e+00j)	 (-1.100000000000000066e-03+0.000000000000000000e+00j)	 (5.482128412630999856e-03-9.286514171127564429e-03j)	 (7.869199761331538076e-03+6.122086468536179146e-03j)	 (5.009784735812133026e+10+0.000000000000000000e+00j)	 (-1.379506357132065375e-01-1.072786141785949887e+00j)	 (3.506849315068493042e+11+0.000000000000000000e+00j)	 (-2.226533157835838550e-01-7.222468277977573958e-01j)	 (6.814892060897043136e-01+0.000000000000000000e+00j)	 (4.781420267163976945e+00+0.000000000000000000e+00j)	 (-2.432004123328181944e+00+0.000000000000000000e+00j)	 (-1.423928101304185567e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.997404942496187630e+01+0.000000000000000000e+00j)	 (1.517881201792173407e+01+0.000000000000000000e+00j)
 (1.406199999999999894e+00+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (1.406199999999999894e+00+0.000000000000000000e+00j)	 (-1.199999999999999895e-03+0.000000000000000000e+00j)	 (3.216729891597091987e-05+1.138574930180221746e-02j)	 (-6.045334697296195908e-03-4.013023159025426619e-03j)	 (5.636007827788649750e+10+0.000000000000000000e+00j)	 (-8.715169237823510162e-01-1.304862691342654424e+00j)	 (3.569471624266145020e+11+0.000000000000000000e+00j)	 (-3.657798276321065356e-01-6.642477820133688704e-01j)	 (3.913248071387859461e+00+0.000000000000000000e+00j)	 (4.320453928520240794e+00+0.000000000000000000e+00j)	 (-2.403170510282804262e+00+0.000000000000000000e+00j)	 (-1.444360221893336949e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.721401893393259286e+01+0.000000000000000000e+00j)	 (1.297535196564355253e+01+0.000000000000000000e+00j)
