sample_signal_time	sample_signal_y	reference_signal_time	reference_signal_y	fft_sample	fft_reference	fft_freq	measured_H	fft_freq_masked	measured_H_masked	magH	phaseH	magH_masked	phaseH_masked	freq_mask_boolean	dynamic_range_db	alpha_max
 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.000000000000000048e-04+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.200000000000000153e-03+0.000000000000000000e+00j)	 (-8.170914542728750817e-05+0.000000000000000000e+00j)	 (8.902548725637189153e-04+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-9.178174469518478318e-02+0.000000000000000000e+00j)	 (3.005870841487279663e+11+0.000000000000000000e+00j)	 (8.116387265958185937e-01+1.486879337476265384e-01j)	 (-2.074487381966754995e+01+0.000000000000000000e+00j)	 (9.728156194150773928e+00+0.000000000000000000e+00j)	 (-1.669386559075964893e+00+0.000000000000000000e+00j)	 (-1.208180671040851095e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.009712813130448694e+00+0.000000000000000000e+00j)	 (nan+0.000000000000000000e+00j)
 (1.562000000000000055e-01+0.000000000000000000e+00j)	 (1.000000000000000048e-04+0.000000000000000000e+00j)	 (1.562000000000000055e-01+0.000000000000000000e+00j)	 (3.099999999999999891e-03+0.000000000000000000e+00j)	 (3.521259036848363878e-04-3.731360878468782064e-03j)	 (3.226858156167800246e-05-1.626042953261316957e-03j)	 (6.262230919765166283e+09+0.000000000000000000e+00j)	 (2.298141698752970363e+00+1.709475941461562620e-01j)	 (3.068493150684931641e+11+0.000000000000000000e+00j)	 (8.199203478596939210e-01-1.133995451269682458e-01j)	 (7.251499982483982087e+00+0.000000000000000000e+00j)	 (6.660811940478822635e+00+0.000000000000000000e+00j)	 (-1.642277547985355746e+00+0.000000000000000000e+00j)	 (-1.240042607255504947e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.224350266893267758e+00+0.000000000000000000e+00j)	 (-1.050426034906339368e+01+0.000000000000000000e+00j)
 (3.125000000000000000e-01+0.000000000000000000e+00j)	 (2.999999999999999737e-04+0.000000000000000000e+00j)	 (3.125000000000000000e-01+0.000000000000000000e+00j)	 (2.700000000000000143e-03+0.000000000000000000e+00j)	 (4.032851821616390865e-03+1.676173341328416255e-03j)	 (1.219160980497420834e-03+1.897958365010995758e-03j)	 (1.252446183953033257e+10+0.000000000000000000e+00j)	 (1.591401106005225996e+00-1.102594096600351570e+00j)	 (3.131115459882583008e+11+0.000000000000000000e+00j)	 (7.214542794355641719e-01-3.274612954125859510e-01j)	 (5.738310085708918429e+00+0.000000000000000000e+00j)	 (5.980655834340201871e+00+0.000000000000000000e+00j)	 (-2.022290682587966515e+00+0.000000000000000000e+00j)	 (-1.268907699493016494e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.065982667958259356e+00+0.000000000000000000e+00j)	 (5.281662549903471060e+00+0.000000000000000000e+00j)
 (4.687000000000000055e-01+0.000000000000000000e+00j)	 (1.000000000000000048e-04+0.000000000000000000e+00j)	 (4.687000000000000055e-01+0.000000000000000000e+00j)	 (2.500000000000000052e-03+0.000000000000000000e+00j)	 (-9.486770123267172783e-03+7.777554589033278641e-04j)	 (-4.484260002432871074e-03-6.440864178137955913e-03j)	 (1.878669275929549789e+10+0.000000000000000000e+00j)	 (6.093473622006848611e-01-1.048663336557940751e+00j)	 (3.193737769080234985e+11+0.000000000000000000e+00j)	 (6.002315767866783780e-01-4.548802983166417846e-01j)	 (1.676123778623694438e+00+0.000000000000000000e+00j)	 (5.542151691236288258e+00+0.000000000000000000e+00j)	 (-2.462683477659656450e+00+0.000000000000000000e+00j)	 (-1.291149308346682645e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.789533607910384916e+01+0.000000000000000000e+00j)	 (1.343051448315531005e+01+0.000000000000000000e+00j)
 (6.250000000000000000e-01+0.000000000000000000e+00j)	 (1.000000000000000048e-04+0.000000000000000000e+00j)	 (6.250000000000000000e-01+0.000000000000000000e+00j)	 (2.299999999999999961e-03+0.000000000000000000e+00j)	 (9.056979107444650123e-03-3.209288773390483844e-03j)	 (5.416336016188589425e-03+9.590525372303166513e-03j)	 (2.504892367906066513e+10+0.000000000000000000e+00j)	 (1.506565214462412261e-01-8.592827237662178375e-01j)	 (3.256360078277886353e+11+0.000000000000000000e+00j)	 (5.014345009847531731e-01-5.843769864734829067e-01j)	 (-1.185787140506401105e+00+0.000000000000000000e+00j)	 (5.189331341842278178e+00+0.000000000000000000e+00j)	 (-2.269943626400895198e+00+0.000000000000000000e+00j)	 (-1.312463004280461831e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.083914047036135742e+01+0.000000000000000000e+00j)	 (1.563732348211740231e+01+0.000000000000000000e+00j)
 (7.812000000000000055e-01+0.000000000000000000e+00j)	 (1.000000000000000048e-04+0.000000000000000000e+00j)	 (7.812000000000000055e-01+0.000000000000000000e+00j)	 (2.099999999999999870e-03+0.000000000000000000e+00j)	 (-2.082263483559773382e-03+8.302537009885936278e-03j)	 (-9.572474005234908948e-03-3.615827430952571649e-03j)	 (3.131115459882583237e+10+0.000000000000000000e+00j)	 (-9.634675227646630202e-02-8.309412776437515857e-01j)	 (3.318982387475538330e+11+0.000000000000000000e+00j)	 (3.470576745737202762e-01-7.213824690914369953e-01j)	 (-1.550595111601922094e+00+0.000000000000000000e+00j)	 (4.900333743640820749e+00+0.000000000000000000e+00j)	 (-1.932492387505926112e+00+0.000000000000000000e+00j)	 (-1.338537445796498560e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.019973504202298642e+01+0.000000000000000000e+00j)	 (1.513507394964535280e+01+0.000000000000000000e+00j)
 (9.375000000000000000e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (9.375000000000000000e-01+0.000000000000000000e+00j)	 (1.699999999999999905e-03+0.000000000000000000e+00j)	 (-6.510053841778516053e-04-1.572577413823537940e-02j)	 (2.091010435458478742e-02+1.628836624352544967e-03j)	 (3.757338551859099579e+10+0.000000000000000000e+00j)	 (-8.917616262204564048e-02-7.451192243869007026e-01j)	 (3.381604696673189697e+11+0.000000000000000000e+00j)	 (1.036100309760998456e-01-7.963844244946322037e-01j)	 (-2.493720197443987541e+00+0.000000000000000000e+00j)	 (4.896653368298464315e+00+0.000000000000000000e+00j)	 (-1.904650710920925860e+00+0.000000000000000000e+00j)	 (-1.370441485156306527e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.643339718452503462e+01+0.000000000000000000e+00j)	 (2.006806193714977482e+01+0.000000000000000000e+00j)
 (1.093699999999999894e+00+0.000000000000000000e+00j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.093699999999999894e+00+0.000000000000000000e+00j)	 (1.299999999999999940e-03+0.000000000000000000e+00j)	 (-2.991722380246866590e-03+1.534512351132246571e-02j)	 (-1.906558152607323864e-02-6.795136712368818679e-03j)	 (4.383561643835616302e+10+0.000000000000000000e+00j)	 (-1.152958544329224927e-01-7.637675461494571882e-01j)	 (3.444227005870841675e+11+0.000000000000000000e+00j)	 (-1.001732273231918935e-01-7.604056540987456092e-01j)	 (-2.242920024256477962e+00+0.000000000000000000e+00j)	 (4.865941716394695860e+00+0.000000000000000000e+00j)	 (-2.304370052663670343e+00+0.000000000000000000e+00j)	 (-1.396477103391262276e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.612434460684326609e+01+0.000000000000000000e+00j)	 (1.989780131531251683e+01+0.000000000000000000e+00j)
 (1.250000000000000000e+00+0.000000000000000000e+00j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.250000000000000000e+00+0.000000000000000000e+00j)	 (1.199999999999999895e-03+0.000000000000000000e+00j)	 (4.352062074592772355e-03-1.060742300807001812e-02j)	 (8.697742011302921766e-03+5.637547379759543821e-03j)	 (5.009784735812133026e+10+0.000000000000000000e+00j)	 (-2.042836633392452195e-01-1.087151603806618461e+00j)	 (3.506849315068493042e+11+0.000000000000000000e+00j)	 (-2.650254435451547819e-01-6.855831953569818671e-01j)	 (8.765026689385895242e-01+0.000000000000000000e+00j)	 (4.830025878264076589e+00+0.000000000000000000e+00j)	 (-2.673949321434192949e+00+0.000000000000000000e+00j)	 (-1.420266358358358971e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.031136314934515497e+01+0.000000000000000000e+00j)	 (1.545300299505474229e+01+0.000000000000000000e+00j)
 (1.406199999999999894e+00+0.000000000000000000e+00j)	 (1.000000000000000048e-04+0.000000000000000000e+00j)	 (1.406199999999999894e+00+0.000000000000000000e+00j)	 (1.000000000000000021e-03+0.000000000000000000e+00j)	 (1.720961713587115414e-03+1.148843909115647953e-02j)	 (-6.744583170428754618e-03-3.582247435178528405e-03j)	 (5.636007827788649750e+10+0.000000000000000000e+00j)	 (-9.046619183816259069e-01-1.222865230647886436e+00j)	 (3.569471624266145020e+11+0.000000000000000000e+00j)	 (-4.087424066815156798e-01-6.322784231794287280e-01j)	 (3.643281740047895845e+00+0.000000000000000000e+00j)	 (4.378833411595742575e+00+0.000000000000000000e+00j)	 (-2.465346382679107329e+00+0.000000000000000000e+00j)	 (-1.440767098737996932e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.765831655190318372e+01+0.000000000000000000e+00j)	 (1.333416990575627459e+01+0.000000000000000000e+00j)
