freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.005870841487279663e+11	1.668954726107499065e+00	7.103987833087603218e-03	8.950796546093269246e-01	2.785359411153424780e+00	2.371246813648345345e-02	8.513252559627145638e-03	7.655570711280181229e+01	2.961408112351612942e+01	8.059500049378187647e-01	2.202796862977832726e-01	8.355109518460663853e-01	2.668006923713479583e-01	8.059500049378189868e-01	2.202796862977824399e-01	8.355109518460664964e-01	2.668006923713469036e-01
3.068493150684931641e+11	1.669755114379300576e+00	8.052241632568950258e-03	1.035693183896565728e+00	2.788017303400522007e+00	2.689054329639986585e-02	9.645041751929477047e-03	7.884747011304553155e+01	2.981544341119091968e+01	8.427279087036063654e-01	-4.768164389870031827e-02	8.440757473549611589e-01	-5.651985614800222879e-02	8.427279087036062544e-01	-4.768164389870101910e-02	8.440757473549612699e-01	-5.651985614800306840e-02
3.131115459882583008e+11	1.669182252572031233e+00	7.228235236425266906e-03	9.486816962979338630e-01	2.786117144916807398e+00	2.413048394811371025e-02	8.660972490743649999e-03	7.184352025003005338e+01	2.918039679179864621e+01	7.741339738116838065e-01	-2.783290235511292066e-01	8.226484393472059953e-01	-3.451447448495469916e-01	7.741339738116849167e-01	-2.783290235511267641e-01	8.226484393472063283e-01	-3.451447448495437720e-01
3.193737769080234985e+11	1.669865293507522663e+00	8.056972081615921405e-03	1.078599647802337413e+00	2.788385183661840738e+00	2.690811609969897406e-02	9.650071395215904790e-03	7.753072438666623611e+01	2.970047650950732532e+01	6.392722953684720766e-01	-4.263457509422030611e-01	7.684007853797041321e-01	-5.881804272591317773e-01	6.392722953684708553e-01	-4.263457509422051150e-01	7.684007853797042431e-01	-5.881804272591348859e-01
3.256360078277886353e+11	1.669538862778924493e+00	7.474876445818624295e-03	1.020294631215327152e+00	2.787304140551264187e+00	2.495919344152999070e-02	8.954599922702959763e-03	7.403954168761724475e+01	2.938593915842264437e+01	5.514893506514308985e-01	-5.534389347797531444e-01	7.813034995519249071e-01	-7.871626056068139476e-01	5.514893506514323418e-01	-5.534389347797517011e-01	7.813034995519249071e-01	-7.871626056068113941e-01
3.318982387475538330e+11	1.669558846487203096e+00	8.540741947673931647e-03	1.188200440516302248e+00	2.787353797610663264e+00	2.851854254860671650e-02	1.023140391185825906e-02	7.551960872368788102e+01	2.952105908952171731e+01	4.086873598378236716e-01	-6.932219401703569872e-01	8.047248078845120611e-01	-1.038097835706444316e+00	4.086873598378251149e-01	-6.932219401703559880e-01	8.047248078845119501e-01	-1.038097835706442096e+00
3.381604696673189697e+11	1.669635960625372340e+00	7.931250352555664282e-03	1.124226084997060893e+00	2.787621336281254969e+00	2.648460160269919955e-02	9.500788811593116959e-03	6.983212778548957544e+01	2.898654597624415530e+01	1.839228818841004420e-01	-8.106576428521459210e-01	8.312601520553900558e-01	-1.347692167892807102e+00	1.839228818841015523e-01	-8.106576428521455879e-01	8.312601520553899448e-01	-1.347692167892805548e+00
3.444227005870841675e+11	1.669178355196345942e+00	8.286502015947456307e-03	1.196333238322828008e+00	2.786087715340318738e+00	2.766329961062076112e-02	9.929084234608065093e-03	7.649307951540878037e+01	2.960849420001722621e+01	-4.559884063858778147e-02	-7.867600086475378118e-01	7.880803039504648000e-01	-1.628689312914765264e+00	-4.559884063858711534e-02	-7.867600086475379229e-01	7.880803039504649110e-01	-1.628689312914764376e+00
3.506849315068493042e+11	1.669856026532430260e+00	8.064457530653625777e-03	1.185445044277384952e+00	2.788354113871412743e+00	2.693296601655359446e-02	9.659090960709888762e-03	7.247436011598516359e+01	2.924007813590359106e+01	-2.226533157835838550e-01	-7.222468277977573958e-01	7.557876548961008911e-01	-1.869830850675959333e+00	-2.226533157835854926e-01	-7.222468277977571738e-01	7.557876548961011132e-01	-1.869830850675961553e+00
3.569471624266145020e+11	1.669616089215735011e+00	8.490346518408761409e-03	1.270335721530304607e+00	2.787545799384042677e+00	2.835123830030413655e-02	1.017068071368328400e-02	7.312140104567453136e+01	2.930075494331462238e+01	-3.657798276321065356e-01	-6.642477820133688704e-01	7.583007307211655501e-01	-2.074152056567475366e+00	-3.657798276321039266e-01	-6.642477820133699806e-01	7.583007307211652170e-01	-2.074152056567471369e+00
3.632093933463796387e+11	1.669781088809229486e+00	8.880243990732516329e-03	1.351982690414964994e+00	2.788090025811600814e+00	2.965612695947391492e-02	1.063671785520668191e-02	7.385682895504099577e+01	2.936907175013764970e+01	-5.463363423266798247e-01	-5.693599520421901428e-01	7.890843769435433863e-01	-2.335561328212092835e+00	-5.463363423266794916e-01	-5.693599520421908089e-01	7.890843769435437194e-01	-2.335561328212091947e+00
3.694716242661448364e+11	1.669140510861683691e+00	8.611443387027685817e-03	1.333663304287087792e+00	2.785955888042394690e+00	2.874741802855971737e-02	1.031869102879429990e-02	7.644141169130480762e+01	2.960388153850106718e+01	-6.991563460045621126e-01	-3.944331618949945550e-01	8.027434928798450331e-01	-2.627946206054788458e+00	-6.991563460045633338e-01	-3.944331618949920570e-01	8.027434928798449221e-01	-2.627946206054792011e+00
3.757338551859099731e+11	1.669803612639139567e+00	9.103664403996167276e-03	1.433790601466045089e+00	2.788161228077141285e+00	3.040266342009427872e-02	1.090419847817104652e-02	6.888924965150421542e+01	2.889374432580727969e+01	-7.383461211605438779e-01	-1.615381481431414634e-01	7.558105370649023103e-01	-2.926202726025548095e+00	-7.383461211605439889e-01	-1.615381481431396316e-01	7.558105370649019772e-01	-2.926202726025550316e+00
3.819960861056751709e+11	1.669432040045139676e+00	8.682527535316217349e-03	1.390254289013109767e+00	2.786927950044875146e+00	2.898977931206210210e-02	1.040205553631026215e-02	7.304759563649395204e+01	2.929386096673682971e+01	-7.343806199501997645e-01	4.870375131861928199e-04	7.343807814505898257e-01	-3.142255848435287380e+00	-7.343806199501997645e-01	4.870375131881126167e-04	7.343807814505898257e-01	-3.142255848435290044e+00
3.882583170254403076e+11	1.669370589800083460e+00	9.518704366373002476e-03	1.549129653886422986e+00	2.786707560356664448e+00	3.178049024444945525e-02	1.140431478945065288e-02	7.414952521106654615e+01	2.939607239974061415e+01	-7.158206260665008758e-01	1.554037461587842173e-01	7.324953877140941705e-01	-3.355373945098996558e+00	-7.158206260665013199e-01	1.554037461587840507e-01	7.324953877140946146e-01	-3.355373945098996114e+00
3.945205479452055054e+11	1.669574261086290479e+00	8.933311754432494978e-03	1.477308780104137131e+00	2.787398409222930695e+00	2.982965474292021205e-02	1.070161145397083985e-02	6.963789532558378426e+01	2.896753177620524866e+01	-6.888407681919977987e-01	3.598412204533165681e-01	7.771662034987586454e-01	-3.622988769222870609e+00	-6.888407681919976877e-01	3.598412204533168457e-01	7.771662034987586454e-01	-3.622988769222871053e+00
4.007827788649706421e+11	1.669071710929781460e+00	9.817237182337556003e-03	1.649253813087375953e+00	2.785703998080173882e+00	3.277134572105522281e-02	1.176411626778734593e-02	7.234659622830459114e+01	2.922803294575773236e+01	-5.446794062472664066e-01	5.328565889834375735e-01	7.619788711066330933e-01	-3.916019171572227897e+00	-5.446794062472642972e-01	5.328565889834395719e-01	7.619788711066328712e-01	-3.916019171572231894e+00
