freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.005870841487279663e+11	1.673683456233202804e+00	5.652406735800879004e-03	7.121850976753627549e-01	2.801184361966812641e+00	1.892067928322210130e-02	6.754528384535607444e-03	7.655570711280181229e+01	2.961408112351612942e+01	8.362517726652671790e-01	1.121278127528650276e-01	8.437355472412805257e-01	1.332888146043829658e-01	8.362517727258174105e-01	1.121278122609446343e-01	8.437355472359201469e-01	1.332888140169904423e-01
3.068493150684931641e+11	1.677497565429026949e+00	5.210186081484543402e-03	6.701431051945139217e-01	2.813970935981308763e+00	1.748014893424504682e-02	6.211915237194601778e-03	7.884747011304553155e+01	2.981544341119091968e+01	8.319361082999848778e-01	-1.666322264294386457e-01	8.484597734590344498e-01	-1.976787164037826228e-01	8.319361082209545399e-01	-1.666322268014410746e-01	8.484597734546021064e-01	-1.976787168519815729e-01
3.131115459882583008e+11	1.678922958304949864e+00	7.362768802312269142e-03	9.663387768051547866e-01	2.818728089559008332e+00	2.472304315778701619e-02	8.770992579725897520e-03	7.184352025003005338e+01	2.918039679179864621e+01	7.184859417854636554e-01	-3.788721901442410611e-01	8.122599245364987564e-01	-4.852641806197394159e-01	7.184859415554776252e-01	-3.788721905707631565e-01	8.122599245320120120e-01	-4.852641812162923340e-01
3.193737769080234985e+11	1.677325656617136174e+00	1.016096374785665710e-02	1.360264353500456824e+00	2.813318113161821898e+00	3.408649038047317087e-02	1.211611663146197441e-02	7.753072438666623611e+01	2.970047650950732532e+01	5.792964177740483889e-01	-5.025479384435728170e-01	7.669020602917492324e-01	-7.145745620645408414e-01	5.792964174672405875e-01	-5.025479387912079599e-01	7.669020602877991699e-01	-7.145745626691080155e-01
3.256360078277886353e+11	1.674644964151632553e+00	8.719238552429696421e-03	1.190145729874393821e+00	2.804359730837488573e+00	2.920325786612632327e-02	1.041352061399238547e-02	7.403954168761724475e+01	2.938593915842264437e+01	4.754962977584475392e-01	-6.265747570998745353e-01	7.865701846731523172e-01	-9.216349377018649980e-01	4.754962974105370055e-01	-6.265747573592098663e-01	7.865701846694180821e-01	-9.216349382535200530e-01
3.318982387475538330e+11	1.675009950899218225e+00	6.737745564825710354e-03	9.373649616463409773e-01	2.805612938396105260e+00	2.257158173542027704e-02	8.045151712311340506e-03	7.551960872368788102e+01	2.952105908952171731e+01	3.042704540722692141e-01	-7.573606925917226729e-01	8.161958881937342314e-01	-1.188781335206031464e+00	3.042704537722425995e-01	-7.573606927090172913e-01	8.161958881907266372e-01	-1.188781335600698430e+00
3.381604696673189697e+11	1.677933007836609258e+00	6.357120323637734625e-03	9.010988401085576749e-01	2.815418765808801460e+00	2.133364405164140526e-02	7.577431929744478378e-03	6.983212778548957544e+01	2.898654597624415530e+01	5.058556783714678734e-02	-8.186202859105760066e-01	8.201817311899355367e-01	-1.509081109745170401e+00	5.058556757888989230e-02	-8.186202859239926077e-01	8.201817311873983440e-01	-1.509081110060457531e+00
3.444227005870841675e+11	1.678061956121134513e+00	8.590258886789074386e-03	1.240187018875515301e+00	2.815818136033346075e+00	2.882997326230446813e-02	1.023857787311412137e-02	7.649307951540878037e+01	2.960849420001722621e+01	-1.560778836980707129e-01	-7.646568980100234558e-01	7.804232681397831328e-01	-1.772145394024864817e+00	-1.560778840161343162e-01	-7.646568979423642443e-01	7.804232681371007230e-01	-1.772145394441522415e+00
3.506849315068493042e+11	1.677164678359452710e+00	1.026377686974307667e-02	1.508736747581288729e+00	2.812776013220934512e+00	3.442808806499167429e-02	1.223989677925607991e-02	7.247436011598516359e+01	2.924007813590359106e+01	-3.213304835697394779e-01	-6.781434299153739076e-01	7.504210759357377025e-01	-2.013296578575928031e+00	-3.213304838434539179e-01	-6.781434297830735147e-01	7.504210759333846958e-01	-2.013296578981036866e+00
3.569471624266145020e+11	1.674749928156083811e+00	9.167741133289273800e-03	1.371688307669068241e+00	2.804703274381320721e+00	3.070734760865957008e-02	1.094851918530782668e-02	7.312140104567453136e+01	2.930075494331462238e+01	-4.635962837616244281e-01	-6.096774628205599011e-01	7.659165248177530749e-01	-2.220917721470103245e+00	-4.635962839852375006e-01	-6.096774626477499126e-01	7.659165248155438421e-01	-2.220917721839069436e+00
