freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.005870841487279663e+11	1.668949698755270772e+00	7.091358541725140303e-03	8.934884044528973446e-01	2.785342809609341774e+00	2.367024140395557891e-02	8.498142965488491435e-03	7.655570711280181229e+01	2.961408112351612942e+01	8.059500049378187647e-01	2.202796862977832726e-01	8.355109518460663853e-01	2.668006923713479583e-01	8.059500049378195419e-01	2.202796862977819403e-01	8.355109518460668294e-01	2.668006923713461265e-01
3.068493150684931641e+11	1.669755842546246871e+00	8.036158640220681867e-03	1.033624561727505275e+00	2.788019993871636348e+00	2.683684568227397149e-02	9.625772319159908025e-03	7.884747011304553155e+01	2.981544341119091968e+01	8.427279087036063654e-01	-4.768164389870031827e-02	8.440757473549611589e-01	-5.651985614800222879e-02	8.427279087036061433e-01	-4.768164389870170605e-02	8.440757473549611589e-01	-5.651985614800388719e-02
3.131115459882583008e+11	1.669187770423866901e+00	7.216133896472347320e-03	9.470934359081557563e-01	2.786135740344187983e+00	2.409016489946553749e-02	8.646443369801335571e-03	7.184352025003005338e+01	2.918039679179864621e+01	7.741339738116838065e-01	-2.783290235511292066e-01	8.226484393472059953e-01	-3.451447448495469916e-01	7.741339738116831404e-01	-2.783290235511304278e-01	8.226484393472058843e-01	-3.451447448495486570e-01
3.193737769080234985e+11	1.669867644546636720e+00	8.050497986359874195e-03	1.077732950388932798e+00	2.788393139785904307e+00	2.688653221982040958e-02	9.642303244902110382e-03	7.753072438666623611e+01	2.970047650950732532e+01	6.392722953684720766e-01	-4.263457509422030611e-01	7.684007853797041321e-01	-5.881804272591317773e-01	6.392722953684716325e-01	-4.263457509422037828e-01	7.684007853797041321e-01	-5.881804272591328875e-01
3.256360078277886353e+11	1.669534918527857181e+00	7.467292642453804939e-03	1.019259468438603822e+00	2.787291083724410701e+00	2.493381162688556099e-02	8.945535603539733066e-03	7.403954168761724475e+01	2.938593915842264437e+01	5.514893506514308985e-01	-5.534389347797531444e-01	7.813034995519249071e-01	-7.871626056068139476e-01	5.514893506514317867e-01	-5.534389347797523673e-01	7.813034995519249071e-01	-7.871626056068125044e-01
3.318982387475538330e+11	1.669554213355368688e+00	8.526156859066678917e-03	1.186171341778243793e+00	2.787338575981878730e+00	2.846976221556710152e-02	1.021395910094568746e-02	7.551960872368788102e+01	2.952105908952171731e+01	4.086873598378236716e-01	-6.932219401703569872e-01	8.047248078845120611e-01	-1.038097835706444316e+00	4.086873598378248928e-01	-6.932219401703560990e-01	8.047248078845119501e-01	-1.038097835706442540e+00
3.381604696673189697e+11	1.669637469816223740e+00	7.913816078055467204e-03	1.121754839569811812e+00	2.787626652129404192e+00	2.642640770631096356e-02	9.479894908496599992e-03	6.983212778548957544e+01	2.898654597624415530e+01	1.839228818841004420e-01	-8.106576428521459210e-01	8.312601520553900558e-01	-1.347692167892807102e+00	1.839228818840991930e-01	-8.106576428521461430e-01	8.312601520553899448e-01	-1.347692167892808657e+00
3.444227005870841675e+11	1.669184126090471620e+00	8.274060253243649757e-03	1.194537004611999853e+00	2.786107186719336770e+00	2.762186006606081462e-02	9.914141206672588344e-03	7.649307951540878037e+01	2.960849420001722621e+01	-4.559884063858778147e-02	-7.867600086475378118e-01	7.880803039504648000e-01	-1.628689312914765264e+00	-4.559884063858676145e-02	-7.867600086475380339e-01	7.880803039504650220e-01	-1.628689312914763931e+00
3.506849315068493042e+11	1.669857834965035703e+00	8.057449913833655830e-03	1.184414950858224236e+00	2.788360266495002460e+00	2.690959173690696260e-02	9.650686842820563674e-03	7.247436011598516359e+01	2.924007813590359106e+01	-2.226533157835838550e-01	-7.222468277977573958e-01	7.557876548961008911e-01	-1.869830850675959333e+00	-2.226533157835831334e-01	-7.222468277977575069e-01	7.557876548961008911e-01	-1.869830850675958445e+00
3.569471624266145020e+11	1.669611549753258872e+00	8.481099951853419625e-03	1.268952239269446336e+00	2.787530798013085676e+00	2.832028486845255405e-02	1.015963120071673199e-02	7.312140104567453136e+01	2.930075494331462238e+01	-3.657798276321065356e-01	-6.642477820133688704e-01	7.583007307211655501e-01	-2.074152056567475366e+00	-3.657798276321063136e-01	-6.642477820133690924e-01	7.583007307211656611e-01	-2.074152056567474922e+00
