freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.005870841487279663e+11	1.667343509398135248e+00	5.621408095362482281e-03	7.082793685231072445e-01	2.780002778103114913e+00	1.874563660296153789e-02	6.743028010839718749e-03	7.655570711280181229e+01	2.951334267699601810e+01	8.263106460495289740e-01	1.746158515509521614e-01	8.445590443466070019e-01	2.082559724437459681e-01	8.263106460495284189e-01	1.746158515509546039e-01	8.445590443466070019e-01	2.082559724437489379e-01
3.068493150684931641e+11	1.671089102327502740e+00	5.448263000088398970e-03	7.007649684088252950e-01	2.792509104348020799e+00	1.820906585212373960e-02	6.520682716404281251e-03	7.884747011304553155e+01	2.971401998903494501e+01	8.389258917785819003e-01	-1.012072575579886918e-01	8.450086158607483799e-01	-1.200588976930094393e-01	8.389258917785819003e-01	-1.012072575579885114e-01	8.450086158607483799e-01	-1.200588976930092311e-01
3.131115459882583008e+11	1.672369376880262770e+00	7.178365845992854682e-03	9.421365056170393215e-01	2.796767803790659368e+00	2.400975843376326052e-02	8.584823667242278897e-03	7.184352025003005338e+01	2.908113361259056262e+01	7.499351619032657013e-01	-3.200941733685875312e-01	8.153913335836949772e-01	-4.034189170601281127e-01	7.499351619032657013e-01	-3.200941733685877533e-01	8.153913335836951992e-01	-4.034189170601283903e-01
3.193737769080234985e+11	1.671114707599250293e+00	1.023495540996790729e-02	1.370169734813072138e+00	2.792519611642283905e+00	3.420756903443977065e-02	1.224971487821432427e-02	7.753072438666623611e+01	2.959944417114113335e+01	6.153101401412280902e-01	-4.559177940164609866e-01	7.658117284695070692e-01	-6.376878340932721212e-01	6.153101401412285343e-01	-4.559177940164605425e-01	7.658117284695071803e-01	-6.376878340932713440e-01
3.256360078277886353e+11	1.668272912204118885e+00	8.775419947104446533e-03	1.197814294803370094e+00	2.783057501598763750e+00	2.927959078194010065e-02	1.052065606446149840e-02	7.403954168761724475e+01	2.928597678417212791e+01	5.245854234021832818e-01	-5.850423181562930397e-01	7.857890177902318030e-01	-8.398282904727665255e-01	5.245854234021823936e-01	-5.850423181562942609e-01	7.857890177902320250e-01	-8.398282904727684128e-01
3.318982387475538330e+11	1.668517681642445405e+00	7.017434187527685566e-03	9.762756495863265105e-01	2.783902009570904834e+00	2.341742604330426109e-02	8.411727841998896740e-03	7.551960872368788102e+01	2.942063707676693696e+01	3.660862226862017788e-01	-7.245237290140280617e-01	8.117596666163231500e-01	-1.102934884307121832e+00	3.660862226862017788e-01	-7.245237290140280617e-01	8.117596666163231500e-01	-1.102934884307121832e+00
3.381604696673189697e+11	1.671318080153702423e+00	6.101537796618580756e-03	8.648709402224050713e-01	2.793266896285174106e+00	2.039522087245963441e-02	7.301565381948885158e-03	6.983212778548957544e+01	2.888794222083970453e+01	1.244385060077866784e-01	-8.153643493637879880e-01	8.248054097730466161e-01	-1.419347899722082529e+00	1.244385060077870114e-01	-8.153643493637877659e-01	8.248054097730463941e-01	-1.419347899722082085e+00
3.444227005870841675e+11	1.671835798015613550e+00	8.702602352448582726e-03	1.256406193361709223e+00	2.794959200238798402e+00	2.909864429743686323e-02	1.041111594578937073e-02	7.649307951540878037e+01	2.950777475857756116e+01	-9.178425644576833353e-02	-7.731823730275307893e-01	7.786111556430375114e-01	-1.688953087227244687e+00	-9.178425644576872211e-02	-7.731823730275310114e-01	7.786111556430377334e-01	-1.688953087227245131e+00
3.506849315068493042e+11	1.670594688496953806e+00	1.034201076441532662e-02	1.520236837002209684e+00	2.790779656047582602e+00	3.455461650282112829e-02	1.238170717918977634e-02	7.247436011598516359e+01	2.914061193821027373e+01	-2.570901581373085110e-01	-7.036329591664052252e-01	7.491292883316860163e-01	-1.921102389248206865e+00	-2.570901581373075118e-01	-7.036329591664053362e-01	7.491292883316857942e-01	-1.921102389248205533e+00
3.569471624266145020e+11	1.668150888187723835e+00	9.353745470505093335e-03	1.399518497333589684e+00	2.782639893207165205e+00	3.120691762900994204e-02	1.121486028615870621e-02	7.312140104567453136e+01	2.920108234086091414e+01	-4.022479834346352479e-01	-6.481363510130908612e-01	7.628133255795910284e-01	-2.126241560817450971e+00	-4.022479834346374683e-01	-6.481363510130896399e-01	7.628133255795911394e-01	-2.126241560817454523e+00
3.632093933463796387e+11	1.668953555035366687e+00	7.399769562277826347e-03	1.126586203228172822e+00	2.785351212275613886e+00	2.469974343481215473e-02	8.867730333595030823e-03	7.385682895504099577e+01	2.926916675387905542e+01	-5.866657456161749051e-01	-5.349316970505173519e-01	7.939323759544820724e-01	-2.402287147424097657e+00	-5.866657456161744610e-01	-5.349316970505182400e-01	7.939323759544821835e-01	-2.402287147424096325e+00
3.694716242661448364e+11	1.670658665924264596e+00	6.855441794960139695e-03	1.061709488839835291e+00	2.791053380945639262e+00	2.290620648697910475e-02	8.207011246491542622e-03	7.644141169130480762e+01	2.950317778798740065e+01	-7.242097865873532436e-01	-3.429900655643596807e-01	8.013251525222102600e-01	-2.699282349422048366e+00	-7.242097865873535767e-01	-3.429900655643587370e-01	8.013251525222100380e-01	-2.699282349422049698e+00
3.757338551859099731e+11	1.672010465114978306e+00	9.788136188346592895e-03	1.541592160027402070e+00	2.795523187843964585e+00	3.273173228177227861e-02	1.170862485566306031e-02	6.888924965150421542e+01	2.879545625448772839e+01	-7.379043742468522904e-01	-1.135643226402082429e-01	7.465920712875055987e-01	-2.988889613180479632e+00	-7.379043742468525124e-01	-1.135643226402066192e-01	7.465920712875057097e-01	-2.988889613180481852e+00
3.819960861056751709e+11	1.669845685381689426e+00	1.027107977601478782e-02	1.644614733822472363e+00	2.788279117908079030e+00	3.430223649637884759e-02	1.230229652263589712e-02	7.304759563649395204e+01	2.919421181557603973e+01	-7.344698443346565631e-01	4.084597698410456779e-02	7.356047485387520180e-01	-3.197148298120268795e+00	-7.344698443346563410e-01	4.084597698410514371e-02	7.356047485387519069e-01	-3.197148298120271015e+00
3.882583170254403076e+11	1.668260579080569128e+00	9.881277021459041951e-03	1.608136849620577014e+00	2.782995720078660806e+00	3.296908985174956674e-02	1.184661895592771519e-02	7.414952521106654615e+01	2.929607555516551542e+01	-7.117033492646946957e-01	2.016835449761426313e-01	7.397282674528044000e-01	-3.417734236706684303e+00	-7.117033492646945847e-01	2.016835449761438526e-01	7.397282674528047330e-01	-3.417734236706687412e+00
3.945205479452055054e+11	1.669297500497203490e+00	7.136658519942455994e-03	1.180194823816014038e+00	2.786503213271381174e+00	2.382641245848402672e-02	8.550649554253194132e-03	6.963789532558378426e+01	2.886899270155067043e+01	-6.674856328855981458e-01	4.180998151063957113e-01	7.876195309289185653e-01	-3.701183889925382609e+00	-6.674856328855978127e-01	4.180998151063959334e-01	7.876195309289184543e-01	-3.701183889925384829e+00
4.007827788649706421e+11	1.670914681386595602e+00	8.626867867284759503e-03	1.449276864851357649e+00	2.791881449624068701e+00	2.882952034765674798e-02	1.032619789480627472e-02	7.234659622830459114e+01	2.912860772227996620e+01	-4.952347087736903575e-01	5.723776240332439924e-01	7.568841134996185938e-01	-3.999122876591133302e+00	-4.952347087736877485e-01	5.723776240332459908e-01	7.568841134996183717e-01	-3.999122876591139519e+00
4.070450097847357788e+11	1.671717585547082718e+00	9.617317247849910961e-03	1.640912934448041760e+00	2.794547193036322152e+00	3.215487673803193308e-02	1.150629226021233215e-02	6.966500071136100303e+01	2.887164030191326702e+01	-3.096750238810258571e-01	6.674216821191003568e-01	7.357651270469424132e-01	-4.277964485996993638e+00	-3.096750238810263567e-01	6.674216821190998017e-01	7.357651270469421911e-01	-4.277964485996994526e+00
4.133072407045009766e+11	1.669171905480554718e+00	1.136284993603647181e-02	1.968563579815975073e+00	2.786005735686917006e+00	3.793309975884719132e-02	1.361558566550991403e-02	7.128235924141237945e+01	2.902778433744190068e+01	-1.669673799150757920e-01	6.812713174907379932e-01	7.014333282581254325e-01	-4.472044293026555373e+00	-1.669673799150774296e-01	6.812713174907375491e-01	7.014333282581254325e-01	-4.472044293026554485e+00
4.195694716242661133e+11	1.668897897587032775e+00	9.569332624181725241e-03	1.682963482594446170e+00	2.785128620443545699e+00	3.194047819561576795e-02	1.146822375137888060e-02	7.322016126597470986e+01	2.921026506225109998e+01	8.066047019776537846e-03	7.314819532983692918e-01	7.315264240721062183e-01	-4.723415527352825549e+00	8.066047019773590551e-03	7.314819532983692918e-01	7.315264240721062183e-01	-4.723415527352822885e+00
4.258317025440313110e+11	1.668766533343476466e+00	8.494426757979921250e-03	1.516216533395645882e+00	2.784709587521257745e+00	2.835043018730843897e-02	1.018074930123822816e-02	6.929433177463066329e+01	2.883534449281756196e+01	1.969422566896124605e-01	7.233519843906357494e-01	7.496828301300941799e-01	-4.978209202264886279e+00	1.969422566896115168e-01	7.233519843906358604e-01	7.496828301300941799e-01	-4.978209202264887168e+00
4.320939334637964478e+11	1.671584928253720959e+00	8.992217188421270171e-03	1.628673829217206936e+00	2.794115312395033524e+00	3.006250944749809181e-02	1.075922289754369272e-02	6.859570027366898159e+01	2.876640374555959312e+01	4.154520155247524715e-01	6.088289587638741063e-01	7.370706060026286366e-01	-5.311190527133896389e+00	4.154520155247530266e-01	6.088289587638733291e-01	7.370706060026283035e-01	-5.311190527133899053e+00
4.383561643835616455e+11	1.670246438725845994e+00	1.065950120146903941e-02	1.958633427251450509e+00	2.789609541110507074e+00	3.560798784069507672e-02	1.276450604141538860e-02	6.596325802369787539e+01	2.850017274145453783e+01	5.142172736404467814e-01	4.783526616341082782e-01	7.023109520736878775e-01	-5.533904514127825358e+00	5.142172736404455602e-01	4.783526616341104432e-01	7.023109520736883216e-01	-5.533904514127823582e+00
