sample_signal_time	sample_signal_y	reference_signal_time	reference_signal_y	fft_sample	fft_reference	fft_freq	measured_H	fft_freq_masked	measured_H_masked	magH	phaseH	magH_masked	phaseH_masked	freq_mask_boolean	dynamic_range_db	alpha_max
 (1.675000000000000000e+03+0.000000000000000000e+00j)	 (-2.368500000000000119e-02+0.000000000000000000e+00j)	 (1.675000000000000000e+03+0.000000000000000000e+00j)	 (-2.621400000000000119e-02+0.000000000000000000e+00j)	 (-8.483531484257880728e-02+0.000000000000000000e+00j)	 (-8.239994402798599404e-01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.029555491127101680e-01-0.000000000000000000e+00j)	 (3.030303030303028564e+11+0.000000000000000000e+00j)	 (8.643550518418594564e-01+4.448588134275512779e-02j)	 (-1.974700481499720084e+01+0.000000000000000000e+00j)	 (1.854528474630303125e-01+0.000000000000000000e+00j)	 (-1.254667836137304260e+00+0.000000000000000000e+00j)	 (-1.232949599929551887e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (9.431853833385855523e+01+0.000000000000000000e+00j)	 (nan+0.000000000000000000e+00j)
 (1.675049999999999955e+03+0.000000000000000000e+00j)	 (-8.335999999999999660e-03+0.000000000000000000e+00j)	 (1.675049999999999955e+03+0.000000000000000000e+00j)	 (-1.415499999999999918e-02+0.000000000000000000e+00j)	 (1.444055556878756086e-01-1.380808017043205077e-02j)	 (1.821428922511212356e-01+3.321527608554068062e-02j)	 (9.775171065493640900e+09+0.000000000000000000e+00j)	 (7.539190007007957606e-01-2.132924729847907042e-01j)	 (3.128054740957965088e+11+0.000000000000000000e+00j)	 (7.536807072527230700e-01-3.320062687035717497e-01j)	 (-2.119111823073067224e+00+0.000000000000000000e+00j)	 (-9.025378720631205276e-02+0.000000000000000000e+00j)	 (-1.686020202010207969e+00+0.000000000000000000e+00j)	 (-1.279585448499357447e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.135031789803261404e+01+0.000000000000000000e+00j)	 (6.283217783180820248e+01+0.000000000000000000e+00j)
 (1.675099999999999909e+03+0.000000000000000000e+00j)	 (-9.114000000000000573e-03+0.000000000000000000e+00j)	 (1.675099999999999909e+03+0.000000000000000000e+00j)	 (1.503999999999999912e-03+0.000000000000000000e+00j)	 (-1.343000352540758557e-01+1.634129285388315200e-01j)	 (-1.374669585458792032e-01+3.419339483336322066e-02j)	 (1.955034213098728180e+10+0.000000000000000000e+00j)	 (1.198496818769102967e+00-8.906304096869094300e-01j)	 (3.225806451612901611e+11+0.000000000000000000e+00j)	 (5.719592977407975676e-01-5.403066093015072013e-01j)	 (3.482302965145300355e+00+0.000000000000000000e+00j)	 (-4.536323572619632150e-01+0.000000000000000000e+00j)	 (-2.082611740978586035e+00+0.000000000000000000e+00j)	 (-1.313786576585212451e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.902468446675047176e+01+0.000000000000000000e+00j)	 (6.090009935711101718e+01+0.000000000000000000e+00j)
 (1.675150000000000091e+03+0.000000000000000000e+00j)	 (1.632199999999999970e-02+0.000000000000000000e+00j)	 (1.675150000000000091e+03+0.000000000000000000e+00j)	 (9.915000000000000202e-03+0.000000000000000000e+00j)	 (-6.597292259737430609e-02-1.397252135456403532e-01j)	 (1.820667697882829839e-01-1.106120099327558282e-01j)	 (2.932551319648092270e+10+0.000000000000000000e+00j)	 (7.588271170583836545e-02-7.213379708852374339e-01j)	 (3.323558162267838135e+11+0.000000000000000000e+00j)	 (3.463703255354596000e-01-7.654722754176591648e-01j)	 (-2.789427152926490905e+00+0.000000000000000000e+00j)	 (-1.280531807770699970e+00+0.000000000000000000e+00j)	 (-1.512443863214630868e+00+0.000000000000000000e+00j)	 (-1.352678948669849213e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.256896315062472524e+01+0.000000000000000000e+00j)	 (6.333954008387786416e+01+0.000000000000000000e+00j)
 (1.675200000000000045e+03+0.000000000000000000e+00j)	 (2.481300000000000172e-02+0.000000000000000000e+00j)	 (1.675200000000000045e+03+0.000000000000000000e+00j)	 (2.895000000000000004e-02+0.000000000000000000e+00j)	 (-1.121794370181700140e-02-2.946718843442750965e-02j)	 (7.571136777473383428e-02-9.513640167773158504e-03j)	 (3.910068426197456360e+10+0.000000000000000000e+00j)	 (-9.771817622759682020e-02-4.014832236467910653e-01j)	 (3.421309872922774048e+11+0.000000000000000000e+00j)	 (-4.021466024223567526e-02-8.140369103979344656e-01j)	 (-7.676707746034691304e+00+0.000000000000000000e+00j)	 (-1.624094117407219207e+00+0.000000000000000000e+00j)	 (-1.776531965781776190e+00+0.000000000000000000e+00j)	 (-1.400107548355956588e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.365125948213481877e+01+0.000000000000000000e+00j)	 (5.648292856573060305e+01+0.000000000000000000e+00j)
 (1.675250000000000000e+03+0.000000000000000000e+00j)	 (3.649899999999999672e-02+0.000000000000000000e+00j)	 (1.675250000000000000e+03+0.000000000000000000e+00j)	 (4.274300000000000321e-02+0.000000000000000000e+00j)	 (-9.590198762189333648e-02-1.211652412354374819e-01j)	 (2.617762905621007774e-01-1.341740310645381414e-02j)	 (4.887585532746820068e+10+0.000000000000000000e+00j)	 (-3.417292841341235121e-01-4.803733772983285188e-01j)	 (3.519061583577710571e+11+0.000000000000000000e+00j)	 (-2.985451777005005969e-01-7.049368631781922634e-01j)	 (-4.589983457212622575e+00+0.000000000000000000e+00j)	 (-2.003668022524013992e+00+0.000000000000000000e+00j)	 (-2.320540627411940449e+00+0.000000000000000000e+00j)	 (-1.435231885379293182e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.437000056921363011e+01+0.000000000000000000e+00j)	 (6.477461188860542052e+01+0.000000000000000000e+00j)
 (1.675299999999999955e+03+0.000000000000000000e+00j)	 (4.695200000000000068e-02+0.000000000000000000e+00j)	 (1.675299999999999955e+03+0.000000000000000000e+00j)	 (6.600799999999999723e-02+0.000000000000000000e+00j)	 (1.319709175826627029e-02+3.513213466726202577e-02j)	 (4.454325667274144918e-02+9.001832800167752779e-03j)	 (5.865102639296184540e+10+0.000000000000000000e+00j)	 (4.377898661369857836e-01+7.002456897090045818e-01j)	 (3.616813294232647095e+11+0.000000000000000000e+00j)	 (-5.649773088980020175e-01-5.781552797971976076e-01j)	 (-1.662130827234349351e+00+0.000000000000000000e+00j)	 (1.197509890686631717e+00+0.000000000000000000e+00j)	 (-1.847790727714899495e+00+0.000000000000000000e+00j)	 (-1.472558482158335735e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.914948385953636034e+01+0.000000000000000000e+00j)	 (5.220200869685446321e+01+0.000000000000000000e+00j)
 (1.675349999999999909e+03+0.000000000000000000e+00j)	 (6.101399999999999879e-02+0.000000000000000000e+00j)	 (1.675349999999999909e+03+0.000000000000000000e+00j)	 (6.546299999999999342e-02+0.000000000000000000e+00j)	 (1.979366769340525946e-03-1.591531822159606147e-01j)	 (1.032699912224471911e-01+2.411317084480586737e-01j)	 (6.842619745845549011e+10+0.000000000000000000e+00j)	 (-5.547582886286519521e-01-2.457961698528264294e-01j)	 (3.714565004887583618e+11+0.000000000000000000e+00j)	 (-7.558368622995408348e-01-2.499981753605109991e-01j)	 (-4.339486347111646047e+00+0.000000000000000000e+00j)	 (-2.539064675368603474e+00+0.000000000000000000e+00j)	 (-1.980556794814294808e+00+0.000000000000000000e+00j)	 (-1.520308054350560845e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.437646457530236432e+01+0.000000000000000000e+00j)	 (6.484083677975836224e+01+0.000000000000000000e+00j)
 (1.675400000000000091e+03+0.000000000000000000e+00j)	 (7.232700000000000240e-02+0.000000000000000000e+00j)	 (1.675400000000000091e+03+0.000000000000000000e+00j)	 (8.599600000000000299e-02+0.000000000000000000e+00j)	 (1.139059365351037800e-01+5.272024681592141215e-01j)	 (1.592483322188013861e-01-4.348792897269039837e-01j)	 (7.820136852394912720e+10+0.000000000000000000e+00j)	 (-9.843811868751389804e-01+6.223956973957248673e-01j)	 (3.812316715542520142e+11+0.000000000000000000e+00j)	 (-7.375248565290027924e-01+3.674299061392387322e-02j)	 (1.323822499990257917e+00+0.000000000000000000e+00j)	 (-3.519950642410599073e+00+0.000000000000000000e+00j)	 (-2.633701081510262831e+00+0.000000000000000000e+00j)	 (-1.557228859026985113e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.931386857565622961e+01+0.000000000000000000e+00j)	 (6.852956384370087051e+01+0.000000000000000000e+00j)
 (1.675450000000000045e+03+0.000000000000000000e+00j)	 (8.248600000000000376e-02+0.000000000000000000e+00j)	 (1.675450000000000045e+03+0.000000000000000000e+00j)	 (8.171799999999999897e-02+0.000000000000000000e+00j)	 (-1.618880116562880847e-02+1.119534138164050840e-01j)	 (2.106957787995769327e-01-1.750195726571334154e-01j)	 (8.797653958944276428e+10+0.000000000000000000e+00j)	 (-3.066322560850309742e-01+2.766394643765274219e-01j)	 (3.910068426197456055e+11+0.000000000000000000e+00j)	 (-7.055174305352263087e-01+3.100020501670380235e-01j)	 (-7.681413150662752543e+00+0.000000000000000000e+00j)	 (-3.690161574929013089e+00+0.000000000000000000e+00j)	 (-2.263187665364727152e+00+0.000000000000000000e+00j)	 (-1.593651176001379177e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.475203468753532832e+01+0.000000000000000000e+00j)	 (6.505454045563750753e+01+0.000000000000000000e+00j)
