freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.030303030303028564e+11	1.673360315640267215e+00	8.299679127772336892e-03	1.054232799014419131e+00	2.800065861286070934e+00	2.777670736992410988e-02	9.920019294534116253e-03	2.080358470108278270e+05	8.331098877594715191e+01	8.388631872292594549e-01	9.681481342813115162e-03	8.389190532878741946e-01	1.154067989824462785e-02	8.388631872277223511e-01	9.681481343008661866e-03	8.389190532863393113e-01	1.154067989849885158e-02
3.128054740957965088e+11	1.673282254884012721e+00	7.934608775771248568e-03	1.040372883133328097e+00	2.799810546493301633e+00	2.655368012788997950e-02	9.484098901315967875e-03	1.974449639123563538e+05	8.295550675752257064e+01	7.176521718778257064e-01	-3.506386422141596348e-01	7.987315551640299383e-01	-4.544791032069227521e-01	7.176521718778244852e-01	-3.506386422141604675e-01	7.987315551640292721e-01	-4.544791032069243619e-01
3.225806451612901611e+11	1.673571748844948859e+00	8.321349704522336757e-03	1.125178022847885595e+00	2.800773153671035853e+00	2.785275155549568962e-02	9.944665286079476182e-03	2.226176720175789087e+05	8.377188899404725930e+01	5.346665611243361926e-01	-5.459789725227709445e-01	7.641736517451673816e-01	-7.958659790287164748e-01	5.346665611243406335e-01	-5.459789725227762736e-01	7.641736517451741539e-01	-7.958659790287171409e-01
3.323558162267838135e+11	1.673013395332983766e+00	8.525816922460646360e-03	1.187759320567660870e+00	2.798901131409403220e+00	2.852761183486659385e-02	1.019243284970960950e-02	2.225887111412411905e+05	8.377100386356697470e+01	3.049217693871434376e-01	-7.578477001948928926e-01	8.168907039114073898e-01	-1.188263746427548506e+00	3.049217693861675516e-01	-7.578477001916351652e-01	8.168907039080208765e-01	-1.188263746427168144e+00
3.421309872922774048e+11	1.673041722881603022e+00	8.478004468227289328e-03	1.215836600446997817e+00	2.798996729942879291e+00	2.836811040424182598e-02	1.013509951646879986e-02	2.240989465094236366e+05	8.381700825794258947e+01	-7.312580147169996103e-02	-7.838569007719726756e-01	7.872604548233835819e-01	-1.663816832156801429e+00	-7.312580147170043288e-02	-7.838569007719726756e-01	7.872604548233835819e-01	-1.663816832156802095e+00
3.519061583577710571e+11	1.672955369329208963e+00	8.842539456228749178e-03	1.304346672193432033e+00	2.798701477263394910e+00	2.958634772360653822e-02	1.057145535669507669e-02	2.448461448805113032e+05	8.441939866098742584e+01	-3.160955699868887581e-01	-6.719766001468632233e-01	7.426095612839047622e-01	-2.010482082355649958e+00	-3.160955699868889246e-01	-6.719766001468648886e-01	7.426095612839063165e-01	-2.010482082355649514e+00
3.616813294232647095e+11	1.672719628974468575e+00	9.096214073968286393e-03	1.379037017526354214e+00	2.797908216046004259e+00	3.043083166176114088e-02	1.087627946021971562e-02	2.432598027563649812e+05	8.437517636723104886e+01	-5.754396020991229266e-01	-5.367458922405358157e-01	7.869097079723224031e-01	-2.390971161759778862e+00	-5.754396020968842729e-01	-5.367458922388311793e-01	7.869097079695227537e-01	-2.390971161759422703e+00
3.714565004887583618e+11	1.672671962641318011e+00	9.409822777457409193e-03	1.465138120375567121e+00	2.797742949841655946e+00	3.147909346655332341e-02	1.125160317831734591e-02	2.570932944452246884e+05	8.475146655379442961e+01	-7.375899116159092550e-01	-2.087811292501400295e-01	7.665692647429378503e-01	-2.865750018153269352e+00	-7.375899116159095881e-01	-2.087811292501400851e-01	7.665692647429381834e-01	-2.865750018153269796e+00
3.812316715542520142e+11	1.672724870200160474e+00	9.718251664509338847e-03	1.552981477130568555e+00	2.797914046970728652e+00	3.251192250817775548e-02	1.162005764379290401e-02	2.747843934563997318e+05	8.520421842600539719e+01	-7.139552312877894824e-01	6.399425213213177921e-02	7.168175057775526549e-01	-3.230987185537687267e+00	-7.139552312877897045e-01	6.399425213213141839e-02	7.168175057775528769e-01	-3.230987185537685935e+00
3.910068426197456055e+11	1.672754721223516539e+00	1.006866031723320162e-02	1.650232774474731823e+00	2.798006979454981114e+00	3.368479816409541278e-02	1.203885423139895716e-02	2.850888846374765271e+05	8.545468099839146703e+01	-6.699336810704004108e-01	3.342508945921726649e-01	7.486887187397741616e-01	-3.604384951724043162e+00	-6.699336810697408273e-01	3.342508945915911855e-01	7.486887187389242859e-01	-3.604384951723740738e+00
