freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.030303030303028564e+11	1.670352152503628895e+00	4.250513313934597102e-03	5.399040708938888100e-01	2.790058246510074280e+00	1.419970812635197414e-02	5.089394869843159863e-03	2.080358470108278270e+05	8.331098877594715191e+01	8.643550518418594564e-01	4.448588134275512779e-02	8.654990752643155760e-01	5.142176760062205226e-02	8.643550518418596784e-01	4.448588134275125588e-02	8.654990752643155760e-01	5.142176760061756974e-02
3.128054740957965088e+11	1.673620812453743723e+00	6.669030224493732034e-03	8.744323001212426227e-01	2.800962147914193956e+00	2.232285556519154543e-02	7.969709830536200745e-03	1.974449639123563538e+05	8.295550675752257064e+01	7.536807072527230700e-01	-3.320062687035717497e-01	8.235671016641165076e-01	-4.149367180974323221e-01	7.536807072527236251e-01	-3.320062687035708060e-01	8.235671016641166187e-01	-4.149367180974309899e-01
3.225806451612901611e+11	1.670432384305684081e+00	8.788492442879630717e-03	1.188343105604466876e+00	2.790267112937754312e+00	2.936116477162381555e-02	1.052270753415814920e-02	2.226176720175789087e+05	8.377188899404725930e+01	5.719592977407975676e-01	-5.403066093015072013e-01	7.868091702103108265e-01	-7.569479989559837474e-01	5.719592977407982337e-01	-5.403066093015060911e-01	7.868091702103104934e-01	-7.569479989559820821e-01
3.323558162267838135e+11	1.669681618487898866e+00	5.329723167407595351e-03	7.425010911806836367e-01	2.787808301167328029e+00	1.779788160849912759e-02	6.384184163970919521e-03	2.225887111412411905e+05	8.377100386356697470e+01	3.463703255354596000e-01	-7.654722754176591648e-01	8.401905776933165093e-01	-1.145871719802349809e+00	3.463703255354576016e-01	-7.654722754176602750e-01	8.401905776933167314e-01	-1.145871719802352473e+00
3.421309872922774048e+11	1.673057129283985089e+00	6.595774319651661471e-03	9.459046472757640656e-01	2.799076653609093412e+00	2.207021449728287579e-02	7.884819613219889306e-03	2.240989465094236366e+05	8.381700825794258947e+01	-4.021466024223567526e-02	-8.140369103979344656e-01	8.150296377363299705e-01	-1.620157716663424896e+00	-4.021466024223557811e-02	-8.140369103979341325e-01	8.150296377363296374e-01	-1.620157716663424896e+00
3.519061583577710571e+11	1.670580067741684882e+00	9.318520053432387262e-03	1.374557691444681096e+00	2.790750927919826374e+00	3.113466772423065243e-02	1.115637637624574893e-02	2.448461448805113032e+05	8.441939866098742584e+01	-2.985451777005005969e-01	-7.049368631781922634e-01	7.655489561064876547e-01	-1.971401086896791277e+00	-2.985451777005003748e-01	-7.049368631781925965e-01	7.655489561064878767e-01	-1.971401086896790833e+00
3.616813294232647095e+11	1.669188728945048439e+00	6.633507036254090300e-03	1.005676832650125974e+00	2.786147009421586329e+00	2.214515035658599917e-02	7.948306489822806048e-03	2.432598027563649812e+05	8.437517636723104886e+01	-5.649773088980020175e-01	-5.781552797971976076e-01	8.083705135190201174e-01	-2.344667054687215924e+00	-5.649773088980011293e-01	-5.781552797971984958e-01	8.083705135190200064e-01	-2.344667054687214591e+00
3.714565004887583618e+11	1.672445760350804278e+00	7.105444278613174888e-03	1.106339356330959811e+00	2.797024333976983357e+00	2.376694031835096740e-02	8.497223291782252802e-03	2.570932944452246884e+05	8.475146655379442961e+01	-7.558368622995408348e-01	-2.499981753605109991e-01	7.961083155541083256e-01	-2.822162776609467016e+00	-7.558368622995396136e-01	-2.499981753605144685e-01	7.961083155541083256e-01	-2.822162776609462131e+00
3.812316715542520142e+11	1.670941736035814307e+00	1.013439787671974006e-02	1.619481850001230017e+00	2.791943579206057180e+00	3.386797676360750464e-02	1.213060930595113128e-02	2.747843934563997318e+05	8.520421842600539719e+01	-7.375248565290027924e-01	3.674299061392387322e-02	7.384395448223104452e-01	-3.191370823373709698e+00	-7.375248565290029035e-01	3.674299061392046623e-02	7.384395448223104452e-01	-3.191370823373704368e+00
3.910068426197456055e+11	1.669274510903441699e+00	8.120686440014705451e-03	1.330963851427982902e+00	2.786411447203667180e+00	2.711130977071151554e-02	9.729830028483179433e-03	2.850888846374765271e+05	8.545468099839146703e+01	-7.055174305352263087e-01	3.100020501670380235e-01	7.706206043811666406e-01	-3.555593993117652118e+00	-7.055174305352260866e-01	3.100020501670385231e-01	7.706206043811667517e-01	-3.555593993117652118e+00
4.007820136852392578e+11	1.672233602539177078e+00	7.846758627293445171e-03	1.318219335887085508e+00	2.796303649840199412e+00	2.624322689514857129e-02	9.384970368524998136e-03	2.996642108269482269e+05	8.579390978340545360e+01	-4.856180438729350013e-01	5.997749643719534340e-01	7.717220305410191772e-01	-4.031781210901522527e+00	-4.856180438729337245e-01	5.997749643719546553e-01	7.717220305410195103e-01	-4.031781210901524304e+00
4.105571847507329102e+11	1.671476016914321017e+00	1.050496555392196538e-02	1.807829423269543767e+00	2.793721720818474363e+00	3.511759596378326298e-02	1.257018396001692226e-02	3.054457037844979786e+05	8.592391953449988762e+01	-2.090269418476095320e-01	6.871292985664569919e-01	7.182192808374021631e-01	-4.417080500104011875e+00	-2.090269418476106700e-01	6.871292985664569919e-01	7.182192808374024962e-01	-4.417080500104010099e+00
4.203323558162265625e+11	1.669560343939853420e+00	8.970239719539956774e-03	1.580469183308261139e+00	2.787351276855935645e+00	2.995271302275612918e-02	1.074594123512916458e-02	3.151413381052506156e+05	8.613652079853764576e+01	4.433479086613600212e-02	7.415154934349017513e-01	7.428396870692557385e-01	-4.772107321126500601e+00	4.433479086613820869e-02	7.415154934349018623e-01	7.428396870692559606e-01	-4.772107321126502377e+00
4.301075268817202148e+11	1.671696719921315077e+00	7.998890805510736057e-03	1.442101976418472598e+00	2.794505941141565142e+00	2.674343904516212830e-02	9.570006150796495775e-03	3.232792888915424119e+05	8.630997652877910298e+01	3.763856794092900748e-01	6.577864172375061935e-01	7.578582653547741854e-01	-5.232116773649865493e+00	3.763856794092894642e-01	6.577864172375060825e-01	7.578582653547739634e-01	-5.232116773649863717e+00
4.398826979472138672e+11	1.671507697811204007e+00	1.040554934534153493e-02	1.918629219598823488e+00	2.793829708384933053e+00	3.478591166138542135e-02	1.245097779473988871e-02	3.306278388604147476e+05	8.646289531518957006e+01	5.616610189623106875e-01	4.287655205219906840e-01	7.066137359337665291e-01	-5.631170526193931991e+00	5.616610189623083560e-01	4.287655205219936261e-01	7.066137359337665291e-01	-5.631170526193925774e+00
4.496578690127074585e+11	1.669341319326260731e+00	9.700423650440487613e-03	1.828361471076266120e+00	2.786606342190942609e+00	3.238663602929996860e-02	1.162225016822300214e-02	3.407970127588300384e+05	8.666899553369296427e+01	6.826857562718018357e-01	2.168027885227263307e-01	7.162843645701278961e-01	-5.975685172213926144e+00	6.826857562718008365e-01	2.168027885227290508e-01	7.162843645701277850e-01	-5.975685172213921703e+00
4.594330400782011108e+11	1.670832309547902961e+00	8.585203614551810067e-03	1.653339284703811085e+00	2.791606900908075950e+00	2.868887116648121197e-02	1.027683057996062015e-02	3.503712823538214434e+05	8.685749347166678547e+01	7.278004672756335225e-01	-1.010720918327163154e-01	7.347850623917661084e-01	-6.421176089778977136e+00	7.278004672756344107e-01	-1.010720918327145390e-01	7.347850623917666635e-01	-6.421176089778973584e+00
4.692082111436947632e+11	1.671222013220690750e+00	1.086412781493881728e-02	2.136729918947688933e+00	2.792864988200239207e+00	3.631273911753790662e-02	1.300196725260906357e-02	3.586772226844957913e+05	8.701689398155689048e+01	5.823743533448995091e-01	-3.594099384116283824e-01	6.843503424876328234e-01	-6.836116776291885522e+00	5.823743533449010634e-01	-3.594099384116262175e-01	6.843503424876330454e-01	-6.836116776291881081e+00
