freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.030303030303028564e+11	1.671376632082907321e+00	6.509882283914182784e-03	8.268911744383622420e-01	2.793457467705451780e+00	2.176093025388934135e-02	7.789962977944957755e-03	2.080358470108278270e+05	8.331098877594715191e+01	8.674300066534245124e-01	4.604727429483482931e-02	8.686513500321885184e-01	5.303493467941162998e-02	8.674300066504028184e-01	4.604727429487337487e-02	8.686513500291731527e-01	5.303493467964034286e-02
3.128054740957965088e+11	1.671119767295258463e+00	6.255711757623223443e-03	8.202386609410271534e-01	2.792602142715364000e+00	2.090808715333106541e-02	7.486955206945897917e-03	1.974449639123563538e+05	8.295550675752257064e+01	7.575428506676116225e-01	-3.349204416352241087e-01	8.282770507642627233e-01	-4.162767627319830521e-01	7.575428506676109564e-01	-3.349204416352258296e-01	8.282770507642627233e-01	-4.162767627319852726e-01
3.225806451612901611e+11	1.671532031588519374e+00	6.463279457192915196e-03	8.739375532800214286e-01	2.793977558645101222e+00	2.160715728361203153e-02	7.733475602463359654e-03	2.226176720175789087e+05	8.377188899404725930e+01	5.735496322415751802e-01	-5.424627471498250086e-01	7.894460163239669370e-01	-7.575500417232895467e-01	5.735496322415776227e-01	-5.424627471498296716e-01	7.894460163239719330e-01	-7.575500417232917671e-01
3.323558162267838135e+11	1.671142194165959882e+00	6.871575696811135260e-03	9.573015882351441075e-01	2.792669014569261865e+00	2.296676017469289136e-02	8.223946359155367980e-03	2.225887111412411905e+05	8.377100386356697470e+01	3.487517537934040623e-01	-7.697650513895659685e-01	8.450834397352465777e-01	-1.145398462942893492e+00	3.487517537912976917e-01	-7.697650513844447318e-01	8.450834397297126710e-01	-1.145398462942663009e+00
3.421309872922774048e+11	1.670988928434548271e+00	6.883308745014628423e-03	9.871401620192340465e-01	2.792156619011560981e+00	2.300386540783229752e-02	8.238744650354103138e-03	2.240989465094236366e+05	8.381700825794258947e+01	-4.262572135340394336e-02	-8.167856198231452369e-01	8.178971212021579618e-01	-1.622936186247327717e+00	-4.262572135340737811e-02	-8.167856198231444598e-01	8.178971212021574066e-01	-1.622936186247331936e+00
3.519061583577710571e+11	1.671004406647489837e+00	7.118794724434850119e-03	1.050080268774381320e+00	2.792205049797000793e+00	2.379107470909907693e-02	8.520532799275877187e-03	2.448461448805113032e+05	8.441939866098742584e+01	-2.995127647339014265e-01	-7.072548993284816232e-01	7.680607976343317711e-01	-1.971384163517697408e+00	-2.995127647339013710e-01	-7.072548993284827334e-01	7.680607976343328813e-01	-1.971384163517696742e+00
3.616813294232647095e+11	1.670949324637816868e+00	7.471790927124794326e-03	1.132765367210351037e+00	2.792015817847917525e+00	2.496996800702828631e-02	8.943347615514265353e-03	2.432598027563649812e+05	8.437517636723104886e+01	-5.710868789501061249e-01	-5.814689293833457118e-01	8.150130913961980417e-01	-2.347186883300562688e+00	-5.710868789473355633e-01	-5.814689293808231740e-01	8.150130913924570342e-01	-2.347186883300306004e+00
3.714565004887583618e+11	1.670807782883011461e+00	7.924419553921506140e-03	1.233856305786572793e+00	2.791535850917178152e+00	2.648036373104474886e-02	9.485947931617803516e-03	2.570932944452246884e+05	8.475146655379442961e+01	-7.568874999346668631e-01	-2.486205517054545233e-01	7.966748811702769606e-01	-2.824218651647027123e+00	-7.568874999346669741e-01	-2.486205517054559111e-01	7.966748811702774047e-01	-2.824218651647025791e+00
3.812316715542520142e+11	1.670906661105894031e+00	8.124128074050732118e-03	1.298239729982771706e+00	2.791863068671083248e+00	2.714931942921753119e-02	9.724445204305993962e-03	2.747843934563997318e+05	8.520421842600539719e+01	-7.411779975907792917e-01	3.739389126201653202e-02	7.421206958550560229e-01	-3.192001883576236487e+00	-7.411779975907794027e-01	3.739389126201527608e-02	7.421206958550561339e-01	-3.192001883576235599e+00
3.910068426197456055e+11	1.671056204989745053e+00	8.630136598803683778e-03	1.414461687535930157e+00	2.792354360977014949e+00	2.884288662667998035e-02	1.032923579820584255e-02	2.850888846374765271e+05	8.545468099839146703e+01	-7.066962113558745706e-01	3.141910361347440284e-01	7.733922305868937697e-01	-3.559939666127966529e+00	-7.066962113552354152e-01	3.141910361342531988e-01	7.733922305861102853e-01	-3.559939666127723168e+00
