freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.030303030303028564e+11	1.670264180419726241e+00	4.045800891028089423e-03	5.139013125617512001e-01	2.789766063888329928e+00	1.351511261878885969e-02	4.844532591364208822e-03	2.080358470108278270e+05	8.331098877594715191e+01	8.674300066534245124e-01	4.604727429483482931e-02	8.686513500321885184e-01	5.303493467941162998e-02	8.674300066534246234e-01	4.604727429483567586e-02	8.686513500321886294e-01	5.303493467941259448e-02
3.128054740957965088e+11	1.673688074826708672e+00	6.361490536621135575e-03	8.341082008755507093e-01	2.801191303255286869e+00	2.129430169853150853e-02	7.601873414994980531e-03	1.974449639123563538e+05	8.295550675752257064e+01	7.575428506676116225e-01	-3.349204416352241087e-01	8.282770507642627233e-01	-4.162767627319830521e-01	7.575428506676128437e-01	-3.349204416352216107e-01	8.282770507642627233e-01	-4.162767627319796659e-01
3.225806451612901611e+11	1.670461499222875013e+00	8.608539103579506205e-03	1.164010569452483379e+00	2.790367513440437541e+00	2.876046627416833229e-02	1.030705315182929398e-02	2.226176720175789087e+05	8.377188899404725930e+01	5.735496322415751802e-01	-5.424627471498250086e-01	7.894460163239669370e-01	-7.575500417232895467e-01	5.735496322415782888e-01	-5.424627471498214559e-01	7.894460163239668260e-01	-7.575500417232836625e-01
3.323558162267838135e+11	1.669656451314091239e+00	5.034618906362578125e-03	7.013891555405865619e-01	2.787727318027231949e+00	1.681216787383234615e-02	6.030779181706220383e-03	2.225887111412411905e+05	8.377100386356697470e+01	3.487517537934040623e-01	-7.697650513895659685e-01	8.450834397352465777e-01	-1.145398462942893492e+00	3.487517537934034517e-01	-7.697650513895663016e-01	8.450834397352466887e-01	-1.145398462942894380e+00
3.421309872922774048e+11	1.673187805045275311e+00	6.416085030506999895e-03	9.201352795820874064e-01	2.799516264805107735e+00	2.147063045835571199e-02	7.669407293066904559e-03	2.240989465094236366e+05	8.381700825794258947e+01	-4.262572135340394336e-02	-8.167856198231452369e-01	8.178971212021579618e-01	-1.622936186247327717e+00	-4.262572135340141066e-02	-8.167856198231453480e-01	8.178971212021579618e-01	-1.622936186247324608e+00
3.519061583577710571e+11	1.670578365820871269e+00	9.155017860619273432e-03	1.350439784801710008e+00	2.790748261996704560e+00	3.058834955330846928e-02	1.096062657096249018e-02	2.448461448805113032e+05	8.441939866098742584e+01	-2.995127647339014265e-01	-7.072548993284816232e-01	7.680607976343317711e-01	-1.971384163517697408e+00	-2.995127647338985399e-01	-7.072548993284827334e-01	7.680607976343317711e-01	-1.971384163517693411e+00
3.616813294232647095e+11	1.669299393061817405e+00	6.252764836782150580e-03	9.479541820026630150e-01	2.786521366608448069e+00	2.087547309399743686e-02	7.491589098922126454e-03	2.432598027563649812e+05	8.437517636723104886e+01	-5.710868789501061249e-01	-5.814689293833457118e-01	8.150130913961980417e-01	-2.347186883300562688e+00	-5.710868789501047926e-01	-5.814689293833467110e-01	8.150130913961978196e-01	-2.347186883300560911e+00
3.714565004887583618e+11	1.672535471755838499e+00	7.060605328994239149e-03	1.099357795049945796e+00	2.797325052133913470e+00	2.361822572962233441e-02	8.443146681007053164e-03	2.570932944452246884e+05	8.475146655379442961e+01	-7.568874999346668631e-01	-2.486205517054545233e-01	7.966748811702769606e-01	-2.824218651647027123e+00	-7.568874999346670851e-01	-2.486205517054537184e-01	7.966748811702768496e-01	-2.824218651647028455e+00
3.812316715542520142e+11	1.670967410379471607e+00	9.909048524386373027e-03	1.583470910776930918e+00	2.792033897307618862e+00	3.311539430423684344e-02	1.186067058002780381e-02	2.747843934563997318e+05	8.520421842600539719e+01	-7.411779975907792917e-01	3.739389126201653202e-02	7.421206958550560229e-01	-3.192001883576236487e+00	-7.411779975907788476e-01	3.739389126201619201e-02	7.421206958550555788e-01	-3.192001883576237820e+00
3.910068426197456055e+11	1.669454087393568820e+00	7.956758274376404816e-03	1.304096361307888863e+00	2.787013639912856888e+00	2.656688524712057589e-02	9.532384365349306013e-03	2.850888846374765271e+05	8.545468099839146703e+01	-7.066962113558745706e-01	3.141910361347440284e-01	7.733922305868937697e-01	-3.559939666127966529e+00	-7.066962113558741265e-01	3.141910361347443614e-01	7.733922305868934366e-01	-3.559939666127968749e+00
4.007820136852392578e+11	1.672323357389324361e+00	7.702720163082247065e-03	1.294021536814454310e+00	2.796606079771990938e+00	2.576287768831229605e-02	9.212193978500097385e-03	2.996642108269482269e+05	8.579390978340545360e+01	-4.858261672286400268e-01	6.027791477732212799e-01	7.741897479005269700e-01	-4.034014098785561941e+00	-4.858261672286422472e-01	6.027791477732196146e-01	7.741897479005269700e-01	-4.034014098785560165e+00
4.105571847507329102e+11	1.671582386715713797e+00	1.038384537362040810e-02	1.786985506687721381e+00	2.794079851333458819e+00	3.471490606584665128e-02	1.242445023512093148e-02	3.054457037844979786e+05	8.592391953449988762e+01	-2.077258202388577724e-01	6.895372056171024111e-01	7.201469116257797065e-01	-4.419782152684865295e+00	-2.077258202388592712e-01	6.895372056171024111e-01	7.201469116257799286e-01	-4.419782152684865295e+00
4.203323558162265625e+11	1.669697474385390068e+00	8.836292912682336756e-03	1.556869055880243158e+00	2.787811575896511407e+00	2.950787191847044008e-02	1.058460054244563658e-02	3.151413381052506156e+05	8.613652079853764576e+01	4.712219628992561637e-02	7.436280682776039708e-01	7.451195912828135759e-01	-4.775672329660885396e+00	4.712219628992588699e-02	7.436280682776041928e-01	7.451195912828137979e-01	-4.775672329660887172e+00
4.301075268817202148e+11	1.671865125922399997e+00	7.939229625352295025e-03	1.431345796853842112e+00	2.795069967908478503e+00	2.654664227463292628e-02	9.497666455375891603e-03	3.232792888915424119e+05	8.630997652877910298e+01	3.797566469932118216e-01	6.568555045978098361e-01	7.587320112239697156e-01	-5.236582368142652655e+00	3.797566469932099342e-01	6.568555045978106133e-01	7.587320112239696046e-01	-5.236582368142651767e+00
4.398826979472138672e+11	1.671604734752792698e+00	1.035289521113876010e-02	1.908920576925445589e+00	2.794155206808701664e+00	3.461189730667812992e-02	1.238724936336286706e-02	3.306278388604147476e+05	8.646289531518957006e+01	5.633443692821267224e-01	4.277106178745078147e-01	7.073141105933561379e-01	-5.633800112824018491e+00	5.633443692821252791e-01	4.277106178745099796e-01	7.073141105933563599e-01	-5.633800112824015827e+00
4.496578690127074585e+11	1.669499421586295496e+00	9.639470641216715818e-03	1.816872886904394413e+00	2.787135399282732351e+00	3.218618131981876990e-02	1.154812260936510793e-02	3.407970127588300384e+05	8.666899553369296427e+01	6.844676471657512584e-01	2.140719970240640146e-01	7.171630079183464179e-01	-5.980066388446493519e+00	6.844676471657505923e-01	2.140719970240655412e-01	7.171630079183463069e-01	-5.980066388446493519e+00
4.594330400782011108e+11	1.670984469146506335e+00	8.573105457152795789e-03	1.651009420463152022e+00	2.792115597991652098e+00	2.865105214251496141e-02	1.026141330363379220e-02	3.503712823538214434e+05	8.685749347166678547e+01	7.272572036702592557e-01	-1.041871708692222176e-01	7.346822489103825848e-01	-6.425477548926983751e+00	7.272572036702593667e-01	-1.041871708692211074e-01	7.346822489103825848e-01	-6.425477548926983751e+00
4.692082111436947632e+11	1.671324219999043681e+00	1.085107040625500965e-02	2.134161819945737282e+00	2.793206902626450105e+00	3.627131356577772275e-02	1.298554487018911338e-02	3.586772226844957913e+05	8.701689398155689048e+01	5.812444234546132460e-01	-3.610821204098604298e-01	6.842699595019253733e-01	-6.839063613261695984e+00	5.812444234546142452e-01	-3.610821204098587645e-01	6.842699595019253733e-01	-6.839063613261695096e+00
4.789833822091884155e+11	1.669409756916000021e+00	1.077000774724643645e-02	2.162348170183629570e+00	2.786812943419462396e+00	3.595911203062822359e-02	1.290331025465449484e-02	3.646345484260527883e+05	8.712896481819882410e+01	4.217216394090662068e-01	-5.355023107005354444e-01	6.816244317155035759e-01	-7.186893612688745492e+00	4.217216394090654297e-01	-5.355023107005363325e-01	6.816244317155039090e-01	-7.186893612688749045e+00
4.887585532746820679e+11	1.670497178613050915e+00	9.537300539024224852e-03	1.953929995852492940e+00	2.790469863652591531e+00	3.186406728404939798e-02	1.141888959242901708e-02	3.799254245575192035e+05	8.740844481599050653e+01	1.608807824320744595e-01	-6.840335008282232288e-01	7.026979837819882224e-01	-7.622985547384994121e+00	1.608807824320727387e-01	-6.840335008282237839e-01	7.026979837819883334e-01	-7.622985547384998561e+00
4.985337243401756592e+11	1.671360685405706592e+00	1.130997309547806390e-02	2.363443775833474536e+00	2.793318625228412788e+00	3.780608876955663528e-02	1.353447058566946935e-02	3.793700579044701881e+05	8.739849245685347512e+01	-1.308288005687053002e-01	-6.484838889874969814e-01	6.615493400605840790e-01	-8.053055133937895960e+00	-1.308288005687039124e-01	-6.484838889874974255e-01	6.615493400605841900e-01	-8.053055133937895960e+00
5.083088954056693115e+11	1.669722931202642924e+00	1.155536365582559774e-02	2.462070523040037706e+00	2.787841140554727648e+00	3.858851134903520941e-02	1.384171816237593326e-02	3.934505026607794571e+05	8.764643025842435975e+01	-3.420413517295282091e-01	-5.552849380560357373e-01	6.521760872071731274e-01	-8.406064346568491885e+00	-3.420413517295272654e-01	-5.552849380560364034e-01	6.521760872071732384e-01	-8.406064346568491885e+00
