Time_abs/ps, Signal/nA
  1675.000,    -0.023685
  1675.050,    -0.008336
  1675.100,    -0.009114
  1675.150,     0.016322
  1675.200,     0.024813
  1675.250,     0.036499
  1675.300,     0.046952
  1675.350,     0.061014
  1675.400,     0.072327
  1675.450,     0.082486
  1675.500,     0.085528
  1675.550,     0.096769
  1675.600,     0.093610
  1675.650,     0.100863
  1675.700,     0.105522
  1675.750,     0.104654
  1675.800,     0.102851
  1675.850,     0.108386
  1675.900,     0.095060
  1675.950,     0.102293
  1676.000,     0.086138
  1676.050,     0.087121
  1676.100,     0.072988
  1676.150,     0.066472
  1676.200,     0.060423
  1676.250,     0.053339
  1676.300,     0.039810
  1676.350,     0.033659
  1676.400,     0.025666
  1676.450,     0.015021
  1676.500,     0.004882
  1676.550,    -0.006400
  1676.600,    -0.018574
  1676.650,    -0.019181
  1676.700,    -0.046443
  1676.750,    -0.044688
  1676.800,    -0.075267
  1676.850,    -0.080398
  1676.900,    -0.115948
  1676.950,    -0.145331
  1677.000,    -0.186911
  1677.050,    -0.253494
  1677.100,    -0.326774
  1677.150,    -0.425367
  1677.200,    -0.537965
  1677.250,    -0.670208
  1677.300,    -0.773781
  1677.350,    -0.862657
  1677.400,    -0.862400
  1677.450,    -0.775337
  1677.500,    -0.553668
  1677.550,    -0.224448
  1677.600,     0.213224
  1677.650,     0.693940
  1677.700,     1.169784
  1677.750,     1.568230
  1677.800,     1.864236
  1677.850,     2.007710
  1677.900,     2.006323
  1677.950,     1.862500
  1678.000,     1.598366
  1678.050,     1.254558
  1678.100,     0.861247
  1678.150,     0.479160
  1678.200,     0.111200
  1678.250,    -0.208688
  1678.300,    -0.469627
  1678.350,    -0.663789
  1678.400,    -0.812636
  1678.450,    -0.887758
  1678.500,    -0.942151
  1678.550,    -0.944668
  1678.600,    -0.931677
  1678.650,    -0.889059
  1678.700,    -0.838555
  1678.750,    -0.771726
  1678.800,    -0.690913
  1678.850,    -0.616178
  1678.900,    -0.525514
  1678.950,    -0.435113
  1679.000,    -0.353202
  1679.050,    -0.267758
  1679.100,    -0.200835
  1679.150,    -0.141260
  1679.200,    -0.094893
  1679.250,    -0.058928
  1679.300,    -0.039420
  1679.350,    -0.021214
  1679.400,    -0.032276
  1679.450,    -0.021045
  1679.500,    -0.027536
  1679.550,    -0.027170
  1679.600,    -0.033260
  1679.650,    -0.032725
  1679.700,    -0.046927
  1679.750,    -0.044324
  1679.800,    -0.042614
  1679.850,    -0.053603
  1679.900,    -0.062520
  1679.950,    -0.078951
  1680.000,    -0.096443
  1680.050,    -0.110690
  1680.100,    -0.138801
  1680.150,    -0.157753
  1680.200,    -0.177238
  1680.250,    -0.209291
  1680.300,    -0.215806
  1680.350,    -0.234971
  1680.400,    -0.244405
  1680.450,    -0.248993
  1680.500,    -0.264808
  1680.550,    -0.263502
  1680.600,    -0.262235
  1680.650,    -0.271491
  1680.700,    -0.274211
  1680.750,    -0.282897
  1680.800,    -0.291050
  1680.850,    -0.304976
  1680.900,    -0.321816
  1680.950,    -0.343906
  1681.000,    -0.364763
  1681.050,    -0.379723
  1681.100,    -0.401179
  1681.150,    -0.413739
  1681.200,    -0.428127
  1681.250,    -0.439555
  1681.300,    -0.446080
  1681.350,    -0.442640
  1681.400,    -0.430516
  1681.450,    -0.429467
  1681.500,    -0.419271
  1681.550,    -0.412790
  1681.600,    -0.403308
  1681.650,    -0.391483
  1681.700,    -0.392062
  1681.750,    -0.387796
  1681.800,    -0.389618
  1681.850,    -0.396858
  1681.900,    -0.387093
  1681.950,    -0.394328
  1682.000,    -0.394633
  1682.050,    -0.384271
  1682.100,    -0.384253
  1682.150,    -0.370586
  1682.200,    -0.362259
  1682.250,    -0.363326
  1682.300,    -0.343280
  1682.350,    -0.338623
  1682.400,    -0.331903
  1682.450,    -0.330328
  1682.500,    -0.324860
  1682.550,    -0.332219
  1682.600,    -0.331902
  1682.650,    -0.353921
  1682.700,    -0.355624
  1682.750,    -0.363010
  1682.800,    -0.383099
  1682.850,    -0.375037
  1682.900,    -0.397382
  1682.950,    -0.401216
  1683.000,    -0.410996
  1683.050,    -0.432754
  1683.100,    -0.437359
  1683.150,    -0.464491
  1683.200,    -0.472640
  1683.250,    -0.485317
  1683.300,    -0.488097
  1683.350,    -0.465547
  1683.400,    -0.427202
  1683.450,    -0.357855
  1683.500,    -0.248528
  1683.550,    -0.142589
  1683.600,    -0.026052
  1683.650,     0.056402
  1683.700,     0.104443
  1683.750,     0.089200
  1683.800,     0.001397
  1683.850,    -0.131078
  1683.900,    -0.300412
  1683.950,    -0.499695
  1684.000,    -0.710343
  1684.050,    -0.918910
  1684.100,    -1.090524
  1684.150,    -1.264399
  1684.200,    -1.395580
  1684.250,    -1.500213
  1684.300,    -1.606015
  1684.350,    -1.673033
  1684.400,    -1.767596
  1684.450,    -1.839326
  1684.500,    -1.911780
  1684.550,    -1.999653
  1684.600,    -2.083790
  1684.650,    -2.182522
  1684.700,    -2.277108
  1684.750,    -2.396184
  1684.800,    -2.511484
  1684.850,    -2.640899
  1684.900,    -2.791328
  1684.950,    -2.946327
  1685.000,    -3.141358
  1685.050,    -3.355614
  1685.100,    -3.601267
  1685.150,    -3.874952
  1685.200,    -4.192527
  1685.250,    -4.552462
  1685.300,    -4.955387
  1685.350,    -5.417133
  1685.400,    -5.937621
  1685.450,    -6.527136
  1685.500,    -7.214006
  1685.550,    -7.986986
  1685.600,    -8.886764
  1685.650,    -9.951468
  1685.700,   -11.193621
  1685.750,   -12.669546
  1685.800,   -14.432070
  1685.850,   -16.542161
  1685.900,   -19.103057
  1685.950,   -22.210358
  1686.000,   -26.000277
  1686.050,   -30.678144
  1686.100,   -36.403485
  1686.150,   -43.372296
  1686.200,   -51.662242
  1686.250,   -61.111185
  1686.300,   -71.256290
  1686.350,   -80.985658
  1686.400,   -88.383041
  1686.450,   -90.723123
  1686.500,   -84.637429
  1686.550,   -66.647633
  1686.600,   -34.155394
  1686.650,    13.584225
  1686.700,    74.381376
  1686.750,   143.067150
  1686.800,   212.004504
  1686.850,   272.631895
  1686.900,   317.423818
  1686.950,   341.222483
  1687.000,   341.909238
  1687.050,   320.223206
  1687.100,   279.161520
  1687.150,   223.524469
  1687.200,   159.179962
  1687.250,    92.255910
  1687.300,    28.269023
  1687.350,   -28.701919
  1687.400,   -76.206510
  1687.450,  -113.215368
  1687.500,  -139.779157
  1687.550,  -156.652278
  1687.600,  -165.107372
  1687.650,  -166.749878
  1687.700,  -163.101546
  1687.750,  -155.492336
  1687.800,  -144.995348
  1687.850,  -132.408922
  1687.900,  -118.389388
  1687.950,  -103.494975
  1688.000,   -88.239110
  1688.050,   -73.117346
  1688.100,   -58.648117
  1688.150,   -45.326583
  1688.200,   -33.568957
  1688.250,   -23.715045
  1688.300,   -15.899370
  1688.350,   -10.078488
  1688.400,    -6.055250
  1688.450,    -3.478023
  1688.500,    -1.916099
  1688.550,    -0.929241
  1688.600,    -0.186132
  1688.650,     0.580975
  1688.700,     1.522547
  1688.750,     2.661539
  1688.800,     3.918300
  1688.850,     5.194639
  1688.900,     6.286459
  1688.950,     7.062322
  1689.000,     7.388551
  1689.050,     7.212100
  1689.100,     6.516655
  1689.150,     5.381910
  1689.200,     3.920990
  1689.250,     2.274965
  1689.300,     0.648422
  1689.350,    -0.739818
  1689.400,    -1.737772
  1689.450,    -2.222088
  1689.500,    -2.172624
  1689.550,    -1.589666
  1689.600,    -0.533882
  1689.650,     0.862128
  1689.700,     2.436892
  1689.750,     4.001501
  1689.800,     5.380251
  1689.850,     6.424542
  1689.900,     7.011430
  1689.950,     7.081717
  1690.000,     6.592250
  1690.050,     5.610810
  1690.100,     4.264244
  1690.150,     2.722269
  1690.200,     1.167454
  1690.250,    -0.173588
  1690.300,    -1.173476
  1690.350,    -1.721087
  1690.400,    -1.719830
  1690.450,    -1.210115
  1690.500,    -0.248247
  1690.550,     1.039728
  1690.600,     2.474446
  1690.650,     3.849834
  1690.700,     5.021719
  1690.750,     5.827710
  1690.800,     6.189545
  1690.850,     6.097443
  1690.900,     5.606453
  1690.950,     4.818497
  1691.000,     3.892669
  1691.050,     3.002713
  1691.100,     2.294157
  1691.150,     1.884620
  1691.200,     1.858102
  1691.250,     2.198072
  1691.300,     2.865863
  1691.350,     3.757109
  1691.400,     4.731154
  1691.450,     5.640103
  1691.500,     6.330465
  1691.550,     6.685155
  1691.600,     6.626972
  1691.650,     6.133447
  1691.700,     5.207857
  1691.750,     3.948889
  1691.800,     2.517947
  1691.850,     1.029550
  1691.900,    -0.326404
  1691.950,    -1.427411
  1692.000,    -2.184767
  1692.050,    -2.540694
  1692.100,    -2.520234
  1692.150,    -2.143982
  1692.200,    -1.542944
  1692.250,    -0.827598
  1692.300,    -0.104679
  1692.350,     0.502523
  1692.400,     0.900972
  1692.450,     1.039712
  1692.500,     0.937107
  1692.550,     0.601918
  1692.600,     0.099994
  1692.650,    -0.462911
  1692.700,    -0.990953
  1692.750,    -1.388572
  1692.800,    -1.585493
  1692.850,    -1.521860
  1692.900,    -1.207980
  1692.950,    -0.672229
  1693.000,     0.010836
  1693.050,     0.749964
  1693.100,     1.439028
  1693.150,     1.990029
  1693.200,     2.341007
  1693.250,     2.430517
  1693.300,     2.263765
  1693.350,     1.860776
  1693.400,     1.277532
  1693.450,     0.603535
  1693.500,    -0.060830
  1693.550,    -0.645682
  1693.600,    -1.039736
  1693.650,    -1.197910
  1693.700,    -1.092512
  1693.750,    -0.747657
  1693.800,    -0.197557
  1693.850,     0.456350
  1693.900,     1.134551
  1693.950,     1.745808
  1694.000,     2.191412
  1694.050,     2.424344
  1694.100,     2.420799
  1694.150,     2.158129
  1694.200,     1.660500
  1694.250,     1.006644
  1694.300,     0.237804
  1694.350,    -0.538886
  1694.400,    -1.240084
  1694.450,    -1.788502
  1694.500,    -2.141595
  1694.550,    -2.255311
  1694.600,    -2.134424
  1694.650,    -1.809500
  1694.700,    -1.334564
  1694.750,    -0.758401
  1694.800,    -0.160341
  1694.850,     0.416060
  1694.900,     0.886142
  1694.950,     1.220256
  1695.000,     1.371884
  1695.050,     1.365924
  1695.100,     1.193344
  1695.150,     0.920231
  1695.200,     0.585137
  1695.250,     0.269482
  1695.300,     0.011522
