Time_abs/ps, Signal/nA
  1675.000,    -0.026214
  1675.050,    -0.014155
  1675.100,     0.001504
  1675.150,     0.009915
  1675.200,     0.028950
  1675.250,     0.042743
  1675.300,     0.066008
  1675.350,     0.065463
  1675.400,     0.085996
  1675.450,     0.081718
  1675.500,     0.089575
  1675.550,     0.101190
  1675.600,     0.106461
  1675.650,     0.112817
  1675.700,     0.119874
  1675.750,     0.129273
  1675.800,     0.109355
  1675.850,     0.122634
  1675.900,     0.106724
  1675.950,     0.105509
  1676.000,     0.100510
  1676.050,     0.091008
  1676.100,     0.084455
  1676.150,     0.091709
  1676.200,     0.085617
  1676.250,     0.074389
  1676.300,     0.080606
  1676.350,     0.056098
  1676.400,     0.061034
  1676.450,     0.049650
  1676.500,     0.041407
  1676.550,     0.019856
  1676.600,    -0.004512
  1676.650,    -0.038904
  1676.700,    -0.077864
  1676.750,    -0.139990
  1676.800,    -0.215772
  1676.850,    -0.286402
  1676.900,    -0.364788
  1676.950,    -0.395035
  1677.000,    -0.336191
  1677.050,    -0.102144
  1677.100,     0.337506
  1677.150,     0.985423
  1677.200,     1.688745
  1677.250,     2.202642
  1677.300,     2.260871
  1677.350,     1.698598
  1677.400,     0.626735
  1677.450,    -0.614621
  1677.500,    -1.665161
  1677.550,    -2.256510
  1677.600,    -2.464049
  1677.650,    -2.423715
  1677.700,    -2.320268
  1677.750,    -2.142540
  1677.800,    -1.929563
  1677.850,    -1.730707
  1677.900,    -1.604863
  1677.950,    -1.598991
  1678.000,    -1.720001
  1678.050,    -1.884039
  1678.100,    -2.105251
  1678.150,    -2.325398
  1678.200,    -2.548812
  1678.250,    -2.786173
  1678.300,    -3.001381
  1678.350,    -3.209601
  1678.400,    -3.412800
  1678.450,    -3.635893
  1678.500,    -3.883150
  1678.550,    -4.159603
  1678.600,    -4.477961
  1678.650,    -4.849166
  1678.700,    -5.266880
  1678.750,    -5.767470
  1678.800,    -6.319291
  1678.850,    -6.955346
  1678.900,    -7.660282
  1678.950,    -8.434689
  1679.000,    -9.311987
  1679.050,   -10.306685
  1679.100,   -11.463741
  1679.150,   -12.769455
  1679.200,   -14.304019
  1679.250,   -16.081761
  1679.300,   -18.150188
  1679.350,   -20.594428
  1679.400,   -23.508324
  1679.450,   -27.036339
  1679.500,   -31.275932
  1679.550,   -36.361248
  1679.600,   -42.423550
  1679.650,   -49.777626
  1679.700,   -58.844753
  1679.750,   -70.308866
  1679.800,   -84.887324
  1679.850,  -103.528266
  1679.900,  -126.824448
  1679.950,  -154.672699
  1680.000,  -184.985113
  1680.050,  -212.056507
  1680.100,  -224.306055
  1680.150,  -203.076565
  1680.200,  -124.208809
  1680.250,    34.403890
  1680.300,   279.108319
  1680.350,   581.869030
  1680.400,   870.259157
  1680.450,  1050.390683
  1680.500,  1052.963358
  1680.550,   870.806082
  1680.600,   567.434749
  1680.650,   242.141333
  1680.700,   -32.052705
  1680.750,  -236.579422
  1680.800,  -382.518282
  1680.850,  -475.128269
  1680.900,  -506.407418
  1680.950,  -475.861606
  1681.000,  -404.499375
  1681.050,  -322.286140
  1681.100,  -248.429968
  1681.150,  -188.679646
  1681.200,  -143.772894
  1681.250,  -113.266143
  1681.300,   -94.435328
  1681.350,   -83.522204
  1681.400,   -77.166784
  1681.450,   -71.543652
  1681.500,   -63.421114
  1681.550,   -52.268824
  1681.600,   -39.109419
  1681.650,   -24.301070
  1681.700,    -8.732969
  1681.750,     5.310773
  1681.800,    16.220532
  1681.850,    23.561311
  1681.900,    26.506711
  1681.950,    24.881779
  1682.000,    20.822971
  1682.050,    16.916464
  1682.100,    13.829495
  1682.150,    11.565647
  1682.200,    10.461217
  1682.250,    10.306630
  1682.300,    10.108548
  1682.350,     8.858500
  1682.400,     6.187118
  1682.450,     2.724127
  1682.500,    -0.499070
  1682.550,    -2.989453
  1682.600,    -4.815224
  1682.650,    -5.812041
  1682.700,    -5.738129
  1682.750,    -4.528862
  1682.800,    -2.497336
  1682.850,    -0.539679
  1682.900,     0.489870
  1682.950,     1.025363
  1683.000,     2.018333
  1683.050,     3.474748
  1683.100,     4.659488
  1683.150,     5.291440
  1683.200,     5.428163
  1683.250,     5.240451
  1683.300,     4.855648
  1683.350,     4.241391
  1683.400,     3.453596
  1683.450,     2.986535
  1683.500,     3.220401
  1683.550,     3.904514
  1683.600,     4.258739
  1683.650,     3.799433
  1683.700,     2.600459
  1683.750,     1.109134
  1683.800,    -0.080180
  1683.850,    -0.723191
  1683.900,    -0.950757
  1683.950,    -0.932439
  1684.000,    -0.677371
  1684.050,    -0.245579
  1684.100,     0.322006
  1684.150,     1.054527
  1684.200,     2.115849
  1684.250,     3.491567
  1684.300,     4.783330
  1684.350,     5.553579
  1684.400,     5.744459
  1684.450,     5.581145
  1684.500,     5.316079
  1684.550,     5.036825
  1684.600,     4.726206
  1684.650,     4.430652
  1684.700,     4.394389
  1684.750,     4.823791
  1684.800,     5.490071
  1684.850,     5.945554
  1684.900,     5.943574
  1684.950,     5.560961
  1685.000,     5.029260
  1685.050,     4.490998
  1685.100,     3.852148
  1685.150,     3.100421
  1685.200,     2.415425
  1685.250,     1.835857
  1685.300,     1.160081
  1685.350,     0.084334
  1685.400,    -1.262247
  1685.450,    -2.386512
