Frequency/GHz, Amplitude rel., Phase
     0.0,  4.794913E-4,    -0.00000
    10.0,  1.759716E-3,     0.48239
    20.0,  9.053521E-4,     2.04916
    30.0,  3.204568E-3,     0.08937
    40.0,  8.431813E-3,     1.68459
    50.0,  9.299396E-3,     3.14724
    60.0,  3.479190E-3,     3.18081
    70.0,  1.981701E-2,     3.44933
    80.0,  3.682908E-2,     4.69233
    90.0,  4.159212E-2,     5.76506
   100.0,  4.312359E-2,     6.43304
   110.0,  6.082487E-2,     7.09109
   120.0,  7.941862E-2,     7.96455
   130.0,  8.912107E-2,     8.79916
   140.0,  1.020208E-1,     9.55080
   150.0,  1.214353E-1,    10.34635
   160.0,  1.383123E-1,    11.17441
   170.0,  1.538066E-1,    11.98703
   180.0,  1.692204E-1,    12.79986
   190.0,  1.819925E-1,    13.59289
   200.0,  1.995572E-1,    14.36364
   210.0,  2.191137E-1,    15.16323
   220.0,  2.307017E-1,    15.94930
   230.0,  2.495865E-1,    16.70116
   240.0,  2.736597E-1,    17.50773
   250.0,  2.778435E-1,    18.31764
   260.0,  2.849713E-1,    19.04663
   270.0,  3.133349E-1,    19.81363
   280.0,  3.257771E-1,    20.62900
   290.0,  3.311085E-1,    21.38435
   300.0,  3.548712E-1,    22.15031
   310.0,  3.646278E-1,    22.95318
   320.0,  3.677125E-1,    23.69846
   330.0,  3.911681E-1,    24.45620
   340.0,  3.971936E-1,    25.25453
   350.0,  3.937161E-1,    25.98726
   360.0,  4.185938E-1,    26.72438
   370.0,  4.324560E-1,    27.51650
   380.0,  4.368459E-1,    28.26347
   390.0,  4.682635E-1,    29.02383
   400.0,  4.835001E-1,    29.84159
   410.0,  4.777759E-1,    30.60875
   420.0,  4.985294E-1,    31.35673
   430.0,  5.123226E-1,    32.15404
   440.0,  5.054010E-1,    32.91299
   450.0,  5.237161E-1,    33.65386
   460.0,  5.369541E-1,    34.44859
   470.0,  5.260850E-1,    35.21508
   480.0,  5.393606E-1,    35.95823
   490.0,  5.534582E-1,    36.75583
   500.0,  5.413200E-1,    37.53464
   510.0,  5.491030E-1,    38.27815
   520.0,  5.642725E-1,    39.06549
   530.0,  5.538600E-1,    39.84298
   540.0,  5.554569E-1,    40.58305
   550.0,  5.634048E-1,    41.35471
   560.0,  5.488608E-1,    42.11400
   570.0,  5.513910E-1,    42.83677
   580.0,  5.678009E-1,    43.60416
   590.0,  5.612759E-1,    44.38160
   600.0,  5.620227E-1,    45.12861
   610.0,  5.753314E-1,    45.90596
   620.0,  5.690590E-1,    46.69234
   630.0,  5.651570E-1,    47.44691
   640.0,  5.713703E-1,    48.21820
   650.0,  5.593832E-1,    48.99266
   660.0,  5.497001E-1,    49.73061
   670.0,  5.549774E-1,    50.48377
   680.0,  5.471507E-1,    51.25354
   690.0,  5.388022E-1,    52.00074
   700.0,  5.426940E-1,    52.76395
   710.0,  5.357222E-1,    53.54506
   720.0,  5.273831E-1,    54.30633
   730.0,  5.287564E-1,    55.08000
   740.0,  5.158110E-1,    55.86613
   750.0,  4.971531E-1,    56.61457
   760.0,  4.947484E-1,    57.35584
   770.0,  4.882778E-1,    58.11977
   780.0,  4.739378E-1,    58.86684
   790.0,  4.685380E-1,    59.60923
   800.0,  4.606569E-1,    60.36893
   810.0,  4.499701E-1,    61.11572
   820.0,  4.501990E-1,    61.86678
   830.0,  4.470008E-1,    62.64332
   840.0,  4.357088E-1,    63.40642
   850.0,  4.318021E-1,    64.15780
   860.0,  4.274138E-1,    64.92495
   870.0,  4.150160E-1,    65.68191
   880.0,  4.062819E-1,    66.42472
