Frequency/GHz, Amplitude rel., Phase
     0.0,  3.901901E-3,    -0.00000
    10.0,  2.643944E-3,     1.65880
    20.0,  5.836414E-3,    -0.66850
    30.0,  4.315303E-3,     0.39862
    40.0,  8.900674E-3,    -0.45679
    50.0,  1.395566E-2,     0.74872
    60.0,  1.107256E-3,     3.64554
    70.0,  2.350690E-2,     6.19752
    80.0,  3.865456E-2,     7.13744
    90.0,  4.586941E-2,     7.81758
   100.0,  4.772392E-2,     8.30041
   110.0,  6.062394E-2,     8.57919
   120.0,  8.039329E-2,     9.13799
   130.0,  8.197602E-2,     9.57140
   140.0,  1.065570E-1,     9.89860
   150.0,  1.205150E-1,    10.43115
   160.0,  1.330535E-1,    10.70290
   170.0,  1.760676E-1,    11.20029
   180.0,  1.644973E-1,    11.69632
   190.0,  1.910223E-1,    11.87540
   200.0,  2.336131E-1,    12.41175
   210.0,  2.135316E-1,    12.77478
   220.0,  2.639440E-1,    13.03980
   230.0,  2.848869E-1,    13.53932
   240.0,  2.873160E-1,    13.83285
   250.0,  3.316130E-1,    14.23086
   260.0,  3.231572E-1,    14.61393
   270.0,  3.607570E-1,    14.89603
   280.0,  3.887600E-1,    15.33287
   290.0,  3.886205E-1,    15.65680
   300.0,  4.305718E-1,    16.02004
   310.0,  4.291269E-1,    16.40832
   320.0,  4.539113E-1,    16.71061
   330.0,  4.828212E-1,    17.11417
   340.0,  4.742517E-1,    17.45285
   350.0,  5.090704E-1,    17.77302
   360.0,  5.246618E-1,    18.14940
   370.0,  5.403559E-1,    18.46389
   380.0,  5.839292E-1,    18.81794
   390.0,  6.056573E-1,    19.19125
   400.0,  6.307699E-1,    19.54815
   410.0,  6.517497E-1,    19.92001
   420.0,  6.658553E-1,    20.27587
   430.0,  6.870972E-1,    20.63196
   440.0,  7.039007E-1,    20.98777
   450.0,  7.272281E-1,    21.34023
   460.0,  7.468621E-1,    21.70435
   470.0,  7.614126E-1,    22.05606
   480.0,  7.872672E-1,    22.41121
   490.0,  8.036774E-1,    22.77840
   500.0,  8.158483E-1,    23.13163
   510.0,  8.355837E-1,    23.48946
   520.0,  8.459900E-1,    23.85008
   530.0,  8.588880E-1,    24.20205
   540.0,  8.706702E-1,    24.56283
   550.0,  8.707975E-1,    24.91344
   560.0,  8.811913E-1,    25.25075
   570.0,  8.990894E-1,    25.59448
   580.0,  9.188863E-1,    25.93999
   590.0,  9.423111E-1,    26.29242
   600.0,  9.609793E-1,    26.65036
   610.0,  9.768575E-1,    27.00824
   620.0,  9.908018E-1,    27.36754
   630.0,  1.001832E+0,    27.72918
   640.0,  1.003864E+0,    28.09096
   650.0,  1.002393E+0,    28.44137
   660.0,  1.008994E+0,    28.78976
   670.0,  1.012865E+0,    29.13959
   680.0,  1.022840E+0,    29.48335
   690.0,  1.038971E+0,    29.83828
   700.0,  1.044098E+0,    30.19533
   710.0,  1.054206E+0,    30.54694
   720.0,  1.065642E+0,    30.91000
   730.0,  1.064170E+0,    31.27547
   740.0,  1.055453E+0,    31.63641
   750.0,  1.040378E+0,    31.98815
   760.0,  1.033946E+0,    32.32850
   770.0,  1.035979E+0,    32.67536
   780.0,  1.031839E+0,    33.02383
   790.0,  1.029167E+0,    33.36695
   800.0,  1.029216E+0,    33.70902
   810.0,  1.035390E+0,    34.04939
   820.0,  1.047095E+0,    34.39848
   830.0,  1.051763E+0,    34.75374
   840.0,  1.052113E+0,    35.10770
   850.0,  1.048908E+0,    35.46092
   860.0,  1.045332E+0,    35.81085
   870.0,  1.040913E+0,    36.16388
   880.0,  1.027875E+0,    36.51255
   890.0,  1.019462E+0,    36.85171
   900.0,  1.015089E+0,    37.19265
   910.0,  1.012266E+0,    37.52903
   920.0,  1.019305E+0,    37.86979
   930.0,  1.020054E+0,    38.21879
   940.0,  1.019258E+0,    38.56120
   950.0,  1.024097E+0,    38.90915
   960.0,  1.021082E+0,    39.25983
   970.0,  1.019708E+0,    39.60680
   980.0,  1.015325E+0,    39.95926
   990.0,  1.005042E+0,    40.30368
  1000.0,  1.004176E+0,    40.64596
  1010.0,  1.000653E+0,    40.99474
  1020.0,  9.959744E-1,    41.33877
  1030.0,  9.939283E-1,    41.68621
