sample_signal_time	sample_signal_y	reference_signal_time	reference_signal_y	fft_sample	fft_reference	fft_freq	measured_H	fft_freq_masked	measured_H_masked	magH	phaseH	magH_masked	phaseH_masked	freq_mask_boolean	dynamic_range_db	alpha_max
 (5.700000000000000000e+02+0.000000000000000000e+00j)	 (3.474999999999999790e-03+0.000000000000000000e+00j)	 (5.700000000000000000e+02+0.000000000000000000e+00j)	 (-3.452999999999999906e-03+0.000000000000000000e+00j)	 (1.170769065467270643e-02+0.000000000000000000e+00j)	 (4.848134832583701065e-02+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.414885529995329239e-01+0.000000000000000000e+00j)	 (3.030303030303031616e+11+0.000000000000000000e+00j)	 (8.452415406928718289e-01-3.987172502388428713e-02j)	 (-1.234206901559607594e+01+0.000000000000000000e+00j)	 (1.279959097416599612e+01+0.000000000000000000e+00j)	 (-1.450730170659554563e+00+0.000000000000000000e+00j)	 (-1.238028730163997615e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.934680732313488960e+01+0.000000000000000000e+00j)	 (nan+0.000000000000000000e+00j)
 (5.700499999999999545e+02+0.000000000000000000e+00j)	 (-4.922000000000000160e-03+0.000000000000000000e+00j)	 (5.700499999999999545e+02+0.000000000000000000e+00j)	 (-4.186999999999999750e-03+0.000000000000000000e+00j)	 (7.474290136703945486e-02-5.586239091619511071e-02j)	 (-4.309547361879479538e-02-7.010188567190617226e-02j)	 (9.775171065493650436e+09+0.000000000000000000e+00j)	 (1.026329174344867978e-01+1.129297946752431336e+00j)	 (3.128054740957968140e+11+0.000000000000000000e+00j)	 (6.929555220949407124e-01-3.732897065536497361e-01j)	 (1.091894203396613694e+00+0.000000000000000000e+00j)	 (1.427975422872042266e+01+0.000000000000000000e+00j)	 (-2.079358635795618859e+00+0.000000000000000000e+00j)	 (-1.282727039036921290e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.394215865308261471e+01+0.000000000000000000e+00j)	 (3.060804937339025855e+01+0.000000000000000000e+00j)
 (5.701000000000000227e+02+0.000000000000000000e+00j)	 (-4.342999999999999639e-03+0.000000000000000000e+00j)	 (5.701000000000000227e+02+0.000000000000000000e+00j)	 (2.445999999999999824e-03+0.000000000000000000e+00j)	 (6.858805527510555833e-02+6.308834039191642262e-02j)	 (-1.397155969599811476e-02-3.487956654857429784e-02j)	 (1.955034213098730087e+10+0.000000000000000000e+00j)	 (-2.237428450504691302e+00+1.070187901027126465e+00j)	 (3.225806451612904663e+11+0.000000000000000000e+00j)	 (5.256117720424038353e-01-5.749588674837255997e-01j)	 (7.889731362502942602e+00+0.000000000000000000e+00j)	 (9.211851515147754910e+00+0.000000000000000000e+00j)	 (-2.169219112619881429e+00+0.000000000000000000e+00j)	 (-1.316335614223291905e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.713301037054447562e+01+0.000000000000000000e+00j)	 (2.962860835187109387e+01+0.000000000000000000e+00j)
 (5.701499999999999773e+02+0.000000000000000000e+00j)	 (-1.012000000000000096e-03+0.000000000000000000e+00j)	 (5.701499999999999773e+02+0.000000000000000000e+00j)	 (4.189000000000000015e-03+0.000000000000000000e+00j)	 (1.444880408008317463e-01+6.633303529875483884e-02j)	 (3.207770329752916011e-02+5.304933727143260058e-02j)	 (2.932551319648094940e+10+0.000000000000000000e+00j)	 (2.121602891087214449e+00-1.440769982748022926e+00j)	 (3.323558162267841187e+11+0.000000000000000000e+00j)	 (2.571388012321906280e-01-7.880482362679920305e-01j)	 (8.180289624694644601e+00+0.000000000000000000e+00j)	 (5.919848093327046534e+00+0.000000000000000000e+00j)	 (-1.629545256145288556e+00+0.000000000000000000e+00j)	 (-1.358854086119879234e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.148225608311347656e+01+0.000000000000000000e+00j)	 (3.617713361244804560e+01+0.000000000000000000e+00j)
 (5.702000000000000455e+02+0.000000000000000000e+00j)	 (6.803000000000000019e-03+0.000000000000000000e+00j)	 (5.702000000000000455e+02+0.000000000000000000e+00j)	 (1.005000000000000034e-03+0.000000000000000000e+00j)	 (1.701003920404529079e-01+1.491589348041383323e-01j)	 (-1.722616042021986966e-03-2.340854573633539479e-02j)	 (3.910068426197460175e+10+0.000000000000000000e+00j)	 (-6.869528139909334641e+00+6.761070698204777685e+00j)	 (3.421309872922777710e+11+0.000000000000000000e+00j)	 (-9.888769524721732762e-02-7.687490349162604542e-01j)	 (1.968027372241729012e+01+0.000000000000000000e+00j)	 (2.597371591605236674e+00+0.000000000000000000e+00j)	 (-2.213034337063473966e+00+0.000000000000000000e+00j)	 (-1.403187860598863601e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.304625740773060727e+01+0.000000000000000000e+00j)	 (3.189128892020568173e+01+0.000000000000000000e+00j)
 (5.702500000000000000e+02+0.000000000000000000e+00j)	 (2.706000000000000072e-03+0.000000000000000000e+00j)	 (5.702500000000000000e+02+0.000000000000000000e+00j)	 (6.078000000000000069e-03+0.000000000000000000e+00j)	 (-2.042818282554869080e-01+6.326239575076018085e-01j)	 (-8.712970018095350655e-02-5.204767199148008228e-01j)	 (4.887585532746825409e+10+0.000000000000000000e+00j)	 (-1.118423323672679714e+00-5.797179884853725929e-01j)	 (3.519061583577714233e+11+0.000000000000000000e+00j)	 (-3.403887084393760198e-01-6.675393896647530134e-01j)	 (2.005615132986284355e+00+0.000000000000000000e+00j)	 (-2.430164481009711608e+00+0.000000000000000000e+00j)	 (-2.506708837027597170e+00+0.000000000000000000e+00j)	 (-1.437549512059560008e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.008337216561763228e+01+0.000000000000000000e+00j)	 (5.358992539784325260e+01+0.000000000000000000e+00j)
 (5.702999999999999545e+02+0.000000000000000000e+00j)	 (1.370200000000000064e-02+0.000000000000000000e+00j)	 (5.702999999999999545e+02+0.000000000000000000e+00j)	 (2.776999999999999955e-03+0.000000000000000000e+00j)	 (-2.105530334090542355e-01-1.064766272009791404e-01j)	 (3.092176824436828619e-01+5.950121033368879764e-02j)	 (5.865102639296189880e+10+0.000000000000000000e+00j)	 (-7.205033626629839816e-01-2.056991196957931034e-01j)	 (3.616813294232650757e+11+0.000000000000000000e+00j)	 (-6.233880944269712954e-01-5.038083889570931229e-01j)	 (-2.506987968957148816e+00+0.000000000000000000e+00j)	 (-2.630276650066301514e+00+0.000000000000000000e+00j)	 (-1.921703948958037866e+00+0.000000000000000000e+00j)	 (-1.479503538502026849e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.559850216893626396e+01+0.000000000000000000e+00j)	 (5.020607110364202441e+01+0.000000000000000000e+00j)
 (5.703500000000000227e+02+0.000000000000000000e+00j)	 (1.012500000000000032e-02+0.000000000000000000e+00j)	 (5.703500000000000227e+02+0.000000000000000000e+00j)	 (1.149500000000000001e-02+0.000000000000000000e+00j)	 (-2.353350123438552877e-01+2.531519506836829025e-01j)	 (3.168721380314400426e-01-3.291325622482175195e-01j)	 (6.842619745845555115e+10+0.000000000000000000e+00j)	 (-7.564172489810313538e-01+1.322427217438836879e-02j)	 (3.714565004887587280e+11+0.000000000000000000e+00j)	 (-7.421257501149092217e-01-1.768961305465398814e-01j)	 (-2.423444318375449935e+00+0.000000000000000000e+00j)	 (-2.925853287398259894e+00+0.000000000000000000e+00j)	 (-2.350450264967315128e+00+0.000000000000000000e+00j)	 (-1.524074531231634744e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.883129116510016843e+01+0.000000000000000000e+00j)	 (5.273846084195888295e+01+0.000000000000000000e+00j)
 (5.703999999999999773e+02+0.000000000000000000e+00j)	 (5.743999999999999974e-03+0.000000000000000000e+00j)	 (5.703999999999999773e+02+0.000000000000000000e+00j)	 (2.258699999999999944e-02+0.000000000000000000e+00j)	 (-3.291888553086882996e-01-1.177625169381769421e+00j)	 (1.857452088921979494e-01+1.547012318150552401e+00j)	 (7.820136852394920349e+10+0.000000000000000000e+00j)	 (-7.755935086455202354e-01+1.196668409539304589e-01j)	 (3.812316715542523804e+11+0.000000000000000000e+00j)	 (-7.212458886480822562e-01+8.761482614834453786e-02j)	 (-2.105141637102106333e+00+0.000000000000000000e+00j)	 (-3.061455830027915326e+00+0.000000000000000000e+00j)	 (-2.774713822535999519e+00+0.000000000000000000e+00j)	 (-1.559562766563745662e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.948735028839138295e+01+0.000000000000000000e+00j)	 (6.103087349698080999e+01+0.000000000000000000e+00j)
 (5.704500000000000455e+02+0.000000000000000000e+00j)	 (1.652100000000000096e-02+0.000000000000000000e+00j)	 (5.704500000000000455e+02+0.000000000000000000e+00j)	 (1.050599999999999971e-02+0.000000000000000000e+00j)	 (3.446499790260837415e-01+3.813542618149597385e-01j)	 (-1.289042303003328782e-01-3.140759224142007366e-01j)	 (8.797653958944285583e+10+0.000000000000000000e+00j)	 (-1.424614370013075559e+00+5.126504411643958425e-01j)	 (3.910068426197460327e+11+0.000000000000000000e+00j)	 (-6.638291968018317224e-01+3.849393899470280322e-01j)	 (3.602783843548959197e+00+0.000000000000000000e+00j)	 (-3.253796917267690603e+00+0.000000000000000000e+00j)	 (-2.299971375485168501e+00+0.000000000000000000e+00j)	 (-1.600023477886048795e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.625209914233823838e+01+0.000000000000000000e+00j)	 (5.083697956288118291e+01+0.000000000000000000e+00j)
