freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.030303030303031616e+11	1.670449327095370862e+00	7.740742776408984956e-03	9.832361947966798965e-01	2.790341035294646499e+00	2.586103712414148173e-02	9.268056053732758037e-03	1.279853650365473368e+04	6.478121798622403560e+01	8.245228578725731783e-01	1.435138248289855312e-01	8.369194471819855208e-01	1.723303645408980622e-01	8.245228572640646014e-01	1.435138246714973420e-01	8.369194465554843365e-01	1.723303644801882639e-01
3.128054740957968140e+11	1.671094782488379948e+00	8.333640060718672943e-03	1.092693210462989617e+00	2.792488322503224207e+00	2.785260484920623961e-02	9.974116856552792121e-03	1.556644782113134170e+04	6.612236254608595232e+01	7.714610792336760170e-01	-2.564114193577108902e-01	8.129569562710093900e-01	-3.208843550689362001e-01	7.714610792336755729e-01	-2.564114193577113898e-01	8.129569562710091679e-01	-3.208843550689369772e-01
3.225806451612904663e+11	1.671369126021030382e+00	7.577764855132229638e-03	1.024633596719309425e+00	2.793417332896103389e+00	2.533048444623046958e-02	9.067919837086725263e-03	1.408947927574106143e+04	6.543948794191628338e+01	5.974402128001834456e-01	-4.868448312679994339e-01	7.706832667205739673e-01	-6.837512528002612777e-01	5.974402128001962131e-01	-4.868448312680105361e-01	7.706832667205908427e-01	-6.837512528002619439e-01
3.323558162267841187e+11	1.670932022239338899e+00	7.439118832161887782e-03	1.036367870676792258e+00	2.791958482455847435e+00	2.486052374780602439e-02	8.904331459090445919e-03	1.528311087841508925e+04	6.599653138005878361e+01	4.193789813484015694e-01	-7.057182303810889401e-01	8.209244488313396371e-01	-1.034609292421403426e+00	4.193789809141447167e-01	-7.057182301117959078e-01	8.209244483779931656e-01	-1.034609292708571049e+00
3.421309872922777710e+11	1.669959178085418827e+00	8.260015242729975768e-03	1.184574611867492466e+00	2.788695428619917482e+00	2.758777653144476455e-02	9.892717665872005628e-03	1.697695422426422374e+04	6.671652614630730227e+01	6.371447197086564651e-02	-8.098362042116150628e-01	8.123387295890815984e-01	-1.492282306040100925e+00	6.371447197086034520e-02	-8.098362042116051818e-01	8.123387295890712734e-01	-1.492282306040106477e+00
3.519061583577714233e+11	1.670178672431710476e+00	8.651692781615771127e-03	1.276195231517047501e+00	2.789421946057763613e+00	2.889974552857208293e-02	1.036047829530255780e-02	1.551383450296923183e+04	6.609917082851916348e+01	-2.247165784651306286e-01	-7.121935135065593503e-01	7.468046205788319014e-01	-1.876436885309960001e+00	-2.247165784651333209e-01	-7.121935135065604605e-01	7.468046205788336778e-01	-1.876436885309963110e+00
3.616813294232650757e+11	1.670870719009654559e+00	8.585757901307659867e-03	1.301649001787107629e+00	2.791735244405100236e+00	2.869138295560150556e-02	1.027725784997045658e-02	1.657058486472296863e+04	6.655056619790647687e+01	-4.816286619558015070e-01	-6.124785342289723600e-01	7.791637330552585450e-01	-2.237164724005368477e+00	-4.816286619627737631e-01	-6.124785341835631280e-01	7.791637330238734283e-01	-2.237164724048426923e+00
3.714565004887587280e+11	1.670007083860262975e+00	8.744987851609513016e-03	1.361621293687784950e+00	2.788847185330934675e+00	2.920838332091965639e-02	1.047328210543514715e-02	1.809716804992860853e+04	6.715423326836769036e+01	-7.149638578345204332e-01	-3.518068036662770348e-01	7.968320683277642091e-01	-2.684315296075351576e+00	-7.149638578343420203e-01	-3.518068036662178599e-01	7.968320683275781358e-01	-2.684315296075319157e+00
3.812316715542523804e+11	1.669816420366796672e+00	8.925604436091088764e-03	1.426316053541277107e+00	2.788207211312033085e+00	2.980824169816724545e-02	1.069082727325008399e-02	1.694992026120763694e+04	6.670560953826762329e+01	-7.343460715851224396e-01	-4.451144895007572155e-02	7.356938370953891582e-01	-3.081053000027631050e+00	-7.343460715851218845e-01	-4.451144895007970448e-02	7.356938370953888251e-01	-3.081053000027625721e+00
3.910068426197460327e+11	1.670025927989747139e+00	9.247565111918055678e-03	1.515656954446726434e+00	2.788901082697516909e+00	3.088734701535312058e-02	1.107509592469226728e-02	1.891221067573757318e+04	6.745599246453619457e+01	-7.156714080805288702e-01	2.077368157451064401e-01	7.452114793532660375e-01	-3.424097663743791209e+00	-7.156714080811162892e-01	2.077368157454400899e-01	7.452114793539231785e-01	-3.424097663744000375e+00
