freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.030303030303031616e+11	1.667557960261873973e+00	5.400625815374662797e-03	6.859924079137413866e-01	2.780720384073544160e+00	1.801171313764758641e-02	6.477355019515408999e-03	1.279853650365473368e+04	6.434048445568537034e+01	8.429104075717588351e-01	8.777687166761656556e-02	8.474684267821083195e-01	1.037614788063017657e-01	8.429104075715629918e-01	8.777687166963048238e-02	8.474684267821221972e-01	1.037614788086893003e-01
3.128054740957968140e+11	1.671868295114521175e+00	7.803265086485716359e-03	1.023151314110214205e+00	2.795082705263125966e+00	2.609206299293908085e-02	9.334987814066419629e-03	1.556644782113134170e+04	6.567250465210977950e+01	7.481815275081246108e-01	-2.996939421945167825e-01	8.059727396708159519e-01	-3.809917486222674232e-01	7.481815275089165329e-01	-2.996939421925801095e-01	8.059727396708309399e-01	-3.809917486196714442e-01
3.225806451612904663e+11	1.668910333688204073e+00	9.738182188994541980e-03	1.316756171849209789e+00	2.785166869698926906e+00	3.250430577310281510e-02	1.167050568019161079e-02	1.408947927574106143e+04	6.499427592747998972e+01	5.772495412452885999e-01	-5.130216153592717099e-01	7.722746989858807476e-01	-7.265561211292319577e-01	5.772495412467040232e-01	-5.130216153577050742e-01	7.722746989858980671e-01	-7.265561211264981445e-01
3.323558162267841187e+11	1.667435024947292233e+00	6.129927956755248236e-03	8.539802263245157565e-01	2.780301986404221992e+00	2.044251315099458385e-02	7.352623294505135527e-03	1.528311087841508925e+04	6.554752956776461303e+01	3.752247803136778415e-01	-7.367693013669098789e-01	8.268147550679850744e-01	-1.099749171856905461e+00	3.752247803155470685e-01	-7.367693013659742940e-01	8.268147550679996183e-01	-1.099749171854377483e+00
3.421309872922777710e+11	1.670149827926409980e+00	7.316764628655446183e-03	1.049302376014835669e+00	2.789346912677985735e+00	2.444018637105387429e-02	8.761974446408830539e-03	1.697695422426422374e+04	6.626262591059408180e+01	9.660209733921164624e-03	-8.030298075345237985e-01	8.030879101574357470e-01	-1.558767204469209355e+00	9.660209735997089125e-03	-8.030298075345129183e-01	8.030879101574498469e-01	-1.558767204466624312e+00
3.519061583577714233e+11	1.668464410262846087e+00	1.052465163396142447e-02	1.552471934415039945e+00	2.783662720021730763e+00	3.512001336335869583e-02	1.261647580748738451e-02	1.551383450296923183e+04	6.564947071742946605e+01	-2.590000613733595136e-01	-6.996246257695405424e-01	7.460265737723916768e-01	-1.925350925691068360e+00	-2.590000613714310562e-01	-6.996246257702680715e-01	7.460265737724043333e-01	-1.925350925688305681e+00
3.616813294232650757e+11	1.667355470321850719e+00	7.623746458057714843e-03	1.155802677070293827e+00	2.780016142902143272e+00	2.542299072237872923e-02	9.144907588859860909e-03	1.657058486472296863e+04	6.609779505664779720e+01	-5.291481487200918599e-01	-5.878760481416352990e-01	7.909462758446534902e-01	-2.303667536904070001e+00	-5.291481487185926147e-01	-5.878760481429998741e-01	7.909462758446648145e-01	-2.303667536901506718e+00
3.714565004887587280e+11	1.669609069630201281e+00	7.485202637196496783e-03	1.165468891589011902e+00	2.787538417132906510e+00	2.499472442216634296e-02	8.966593704518126262e-03	1.809716804992860853e+04	6.669735512931697485e+01	-7.319353265298667033e-01	-2.960901931387656116e-01	7.895560301177707574e-01	-2.757186750101439099e+00	-7.319353265291391741e-01	-2.960901931405971466e-01	7.895560301177831919e-01	-2.757186750098943318e+00
3.812316715542523804e+11	1.668594612555632795e+00	1.056649603000838801e-02	1.688531351035477357e+00	2.784096330211330184e+00	3.526239669852495456e-02	1.266565251923173173e-02	1.694992026120763694e+04	6.625178357277272312e+01	-7.312302222428833653e-01	-3.959463193776449619e-03	7.312409420089657219e-01	-3.136177909536785879e+00	-7.312302222428869181e-01	-3.959463195675973560e-03	7.312409420089794887e-01	-3.136177909534188402e+00
3.910068426197460327e+11	1.666726993791522782e+00	8.944060893850715871e-03	1.465913235613665044e+00	2.777898875608054041e+00	2.981461545179224862e-02	1.073279366415601753e-02	1.891221067573757318e+04	6.699706133234899141e+01	-7.093020433950590897e-01	2.609335814972645329e-01	7.557749153798344333e-01	-3.494101036402824434e+00	-7.093020433957122339e-01	2.609335814955218713e-01	7.557749153798456465e-01	-3.494101036400361959e+00
