freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.030303030303031616e+11	1.671137850232415012e+00	7.722565684675455899e-03	9.809273240558753493e-01	2.792642076458663247e+00	2.581094363313431866e-02	9.242481824188891054e-03	2.182357965216076991e+04	6.774076210903672290e+01	8.496537821100713650e-01	3.813232594085879182e-03	8.496623389304512886e-01	4.487953885029568983e-03	8.496537821100713650e-01	3.813232594085588182e-03	8.496623389304512886e-01	4.487953885029226375e-03
3.128054740957968140e+11	1.671673801804427484e+00	7.427967162581065527e-03	9.739428661374680551e-01	2.794438124943099844e+00	2.483427621270067193e-02	8.887037430183337278e-03	2.654331718541846567e+04	6.906826652352931717e+01	7.148918527747245566e-01	-3.599390221567861370e-01	8.003914422548893404e-01	-4.664336152133848890e-01	7.148918527747238905e-01	-3.599390221567874137e-01	8.003914422548893404e-01	-4.664336152133866653e-01
3.225806451612904663e+11	1.671960182874062228e+00	7.171095898169175913e-03	9.696455251687740029e-01	2.795399428499886874e+00	2.397957361862074546e-02	8.578227989224801800e-03	2.402484636769204371e+04	6.839233711315057462e+01	5.444657503101338891e-01	-5.635509265742991714e-01	7.836023226761953397e-01	-8.026210893258978185e-01	5.444657503101349993e-01	-5.635509265742982832e-01	7.836023226761955618e-01	-8.026210893258960422e-01
3.323558162267841187e+11	1.671503352765654649e+00	7.350890721036278976e-03	1.024076525193000631e+00	2.793869422712431660e+00	2.457407697205216124e-02	8.795714206354851225e-03	2.606018176317686084e+04	6.894371512662472412e+01	2.966629256422289584e-01	-7.869627273833762482e-01	8.410227260551814688e-01	-1.210297887916987891e+00	2.966629256422296246e-01	-7.869627273833760261e-01	8.410227260551814688e-01	-1.210297887916987225e+00
3.421309872922777710e+11	1.670709908529907972e+00	7.814206779317937196e-03	1.120640905694448852e+00	2.791210536632423800e+00	2.611054538701611596e-02	9.354559623624202763e-03	2.894845927567723265e+04	6.965638716751558945e+01	-7.365682528706965493e-02	-7.895592560410890082e-01	7.929874820648356026e-01	-1.663815642613589940e+00	-7.365682528707044596e-02	-7.895592560410888971e-01	7.929874820648354916e-01	-1.663815642613591050e+00
3.519061583577714233e+11	1.671200111586838677e+00	8.206580406290830618e-03	1.210537526693549859e+00	2.792842465005897168e+00	2.742967618147919978e-02	9.821419047143169212e-03	2.645360294822053402e+04	6.904531067792477472e+01	-3.240579153102731702e-01	-6.806197149462330787e-01	7.538280499216858388e-01	-2.015159591064302536e+00	-3.240579153102741139e-01	-6.806197149462319684e-01	7.538280499216852837e-01	-2.015159591064304312e+00
3.616813294232650757e+11	1.671406010637255690e+00	8.164050207628311198e-03	1.237715752697931215e+00	2.793531400678553211e+00	2.729088517634858935e-02	9.769313912032487682e-03	2.825553363659235401e+04	6.949211511905443217e+01	-6.058341982379683577e-01	-5.353114689955296157e-01	8.084512629669111661e-01	-2.417915929927326957e+00	-6.058341982379665813e-01	-5.353114689955310590e-01	8.084512629669108330e-01	-2.417915929927324292e+00
3.714565004887587280e+11	1.670557794666602369e+00	8.109387351773151426e-03	1.262656356338386132e+00	2.790697583158120665e+00	2.709440050095078892e-02	9.708827163668928839e-03	3.085860545878632547e+04	7.008964257799111408e+01	-7.564771033956657620e-01	-2.076969891618672959e-01	7.844715719953154753e-01	-2.873637230306949508e+00	-7.564771033956660951e-01	-2.076969891618653252e-01	7.844715719953153643e-01	-2.873637230306951729e+00
3.812316715542523804e+11	1.670815634079015899e+00	8.651922360916225116e-03	1.382581521030518346e+00	2.791550027322324379e+00	2.891153429091331689e-02	1.035680321253116751e-02	2.890236198588863044e+04	6.964558158711979274e+01	-7.309627864904195693e-01	6.692327167103975794e-02	7.340199721567489677e-01	-3.232893082543540686e+00	-7.309627864904197914e-01	6.692327167103662156e-02	7.340199721567488567e-01	-3.232893082543536245e+00
3.910068426197460327e+11	1.671060836588502463e+00	8.993885561636253204e-03	1.474079396469869518e+00	2.792363429602370051e+00	3.005865986161826084e-02	1.076459444460586834e-02	3.224838527143669489e+04	7.038833272446473188e+01	-6.860678917965856716e-01	3.570794997458343056e-01	7.734306182799766116e-01	-3.621483836930139422e+00	-6.860678917965857826e-01	3.570794997458336395e-01	7.734306182799765006e-01	-3.621483836930138533e+00
