freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.030303030303031616e+11	1.671074924899290437e+00	5.406242122940084667e-03	6.867057964139074988e-01	2.792462177173277382e+00	1.806847129915896411e-02	6.470444415275524580e-03	2.182357965216076991e+04	6.751188498598696697e+01	8.452415406928718289e-01	-3.987172502388428713e-02	8.461814324181546887e-01	-4.713704708762603279e-02	8.452415406930676722e-01	-3.987172502025893711e-02	8.461814324181793356e-01	-4.713704708333552040e-02
3.128054740957968140e+11	1.673167599607281009e+00	8.950368078843761593e-03	1.173557576238041467e+00	2.799409707286843574e+00	2.995093174816129689e-02	1.069901689281109285e-02	2.654331718541846567e+04	6.883490413368058114e+01	6.929555220949407124e-01	-3.732897065536497361e-01	7.871039071309338109e-01	-4.941201358168652580e-01	6.929555220967128504e-01	-3.732897065504128808e-01	7.871039071309589019e-01	-4.941201358121770082e-01
3.225806451612904663e+11	1.669566481195511987e+00	9.222637079050277284e-03	1.247046323315776029e+00	2.787367178096872067e+00	3.079561147082645126e-02	1.104827943473623772e-02	2.402484636769204371e+04	6.816125850007102827e+01	5.256117720424038353e-01	-5.749588674837255997e-01	7.790028460844826697e-01	-8.302058876805717968e-01	5.256117720451244368e-01	-5.749588674812710076e-01	7.790028460845066505e-01	-8.302058876758681150e-01
3.323558162267841187e+11	1.670473061545452831e+00	5.930238478225378571e-03	8.261608347635372995e-01	2.790445081620629875e+00	1.981260725283159191e-02	7.100160251612928734e-03	2.606018176317686084e+04	6.871077356117342561e+01	2.571388012321906280e-01	-7.880482362679920305e-01	8.289393136920345517e-01	-1.255390606646444862e+00	2.571388012356444208e-01	-7.880482362668904672e-01	8.289393136920585325e-01	-1.255390606642071694e+00
3.421309872922777710e+11	1.672227800921628704e+00	8.913067494763476928e-03	1.278229295938765331e+00	2.796266375403019921e+00	2.980935851246875948e-02	1.066041446361575690e-02	2.894845927567723265e+04	6.942103768220452764e+01	-9.888769524721732762e-02	-7.687490349162604542e-01	7.750831277714593792e-01	-1.698728351436288087e+00	-9.888769524369889208e-02	-7.687490349167379611e-01	7.750831277714840262e-01	-1.698728351431707084e+00
3.519061583577714233e+11	1.669305133782136963e+00	1.023392595838772123e-02	1.509587526679812886e+00	2.786474896430876314e+00	3.416709028216580180e-02	1.226176138386516484e-02	2.645360294822053402e+04	6.881202584946944967e+01	-3.403887084393760198e-01	-6.675393896647530134e-01	7.493152271154093214e-01	-2.042344866043252161e+00	-3.403887084363177440e-01	-6.675393896663384119e-01	7.493152271154324140e-01	-2.042344866038654949e+00
3.616813294232650757e+11	1.669893732896017502e+00	6.950593854104470011e-03	1.053748970797877105e+00	2.788496768410471116e+00	2.321350623374926134e-02	8.324738438546469901e-03	2.825553363659235401e+04	6.925732066313304358e+01	-6.233880944269712954e-01	-5.038083889570931229e-01	8.015208101208801672e-01	-2.461885130467917904e+00	-6.233880944248673117e-01	-5.038083889597305687e-01	8.015208101209017055e-01	-2.461885130463708826e+00
3.714565004887587280e+11	1.671621366322184832e+00	8.898002364895995706e-03	1.385446120327858521e+00	2.794238817898762495e+00	2.974818174149095398e-02	1.064625598604390828e-02	3.085860545878632547e+04	6.985282924360591039e+01	-7.421257501149092217e-01	-1.768961305465398814e-01	7.629173415160748206e-01	-2.907595057763996849e+00	-7.421257501141816926e-01	-1.768961305496887237e-01	7.629173415160972471e-01	-2.907595057759760682e+00
3.812316715542523804e+11	1.669418871987176090e+00	1.074878684446985665e-02	1.717661514369645204e+00	2.786843833728307462e+00	3.588845521825093088e-02	1.287781352650768478e-02	2.890236198588863044e+04	6.941026861084814925e+01	-7.212458886480822562e-01	8.761482614834453786e-02	7.265479954227156423e-01	-3.262477411085109580e+00	-7.212458886484731657e-01	8.761482614528651180e-02	7.265479954227349602e-01	-3.262477411080866307e+00
3.910068426197460327e+11	1.669349500092566885e+00	8.226271652963331252e-03	1.348269051267678709e+00	2.786660081913994613e+00	2.746504494299998114e-02	9.855900660885714981e-03	3.224838527143669489e+04	7.015051019946400856e+01	-6.638291968018317224e-01	3.849393899470280322e-01	7.673640182203979032e-01	-3.667084524308135585e+00	-6.638291968033362966e-01	3.849393899444698564e-01	7.673640182204161109e-01	-3.667084524304268012e+00
4.007820136852396851e+11	1.671588170555348363e+00	9.122044737795001468e-03	1.532461533143413712e+00	2.794123800240377875e+00	3.049660414994957713e-02	1.091455008089690232e-02	3.152651549546891692e+04	6.999752834741290997e+01	-4.115247656199281234e-01	6.227825807985772899e-01	7.464655220870374253e-01	-4.128470056251086540e+00	-4.115247656222909556e-01	6.227825807970357452e-01	7.464655220870538566e-01	-4.128470056247307340e+00
4.105571847507333374e+11	1.669658857469079161e+00	1.096568994861346971e-02	1.887116795747448839e+00	2.787640453968901699e+00	3.661792270192425897e-02	1.313581263673710420e-02	3.293651091805504984e+04	7.029318563218893701e+01	-1.588327898947237415e-01	6.904604065615972397e-01	7.084937742668933058e-01	-4.486283595577279293e+00	-1.588327898972826391e-01	6.904604065610201458e-01	7.084937742669046301e-01	-4.486283595573576477e+00
4.203323558162269897e+11	1.668658363869324202e+00	8.819318934105039448e-03	1.553878405585680245e+00	2.784342954924588831e+00	2.943286060605093332e-02	1.057084600659335613e-02	3.379849690005446610e+04	7.046776098976033609e+01	1.143239737973018311e-01	7.355753221089640359e-01	7.444064920999226009e-01	-4.866576538552731535e+00	1.143239737947962242e-01	7.355753221093659366e-01	7.444064920999350354e-01	-4.866576538549322706e+00
4.301075268817206421e+11	1.670686136481625672e+00	9.631770355919689122e-03	1.736490146497726261e+00	2.791099395631712277e+00	3.218333040681943535e-02	1.153070021697860485e-02	3.343185354673107213e+04	7.039405631305037048e+01	4.170838782166840231e-01	5.921886295686529245e-01	7.243247437846292991e-01	-5.326001149713902372e+00	4.170838782147634483e-01	5.921886295700220515e-01	7.243247437846428438e-01	-5.326001149710645421e+00
4.398826979472142944e+11	1.669685149827364823e+00	1.167998414692671474e-02	2.153616125877793941e+00	2.787712077524357124e+00	3.900379216068515509e-02	1.399132732363188823e-02	3.496241297471601865e+04	7.069654930164230677e+01	5.703762327899385420e-01	3.721686081280776714e-01	6.810569137800693840e-01	-5.705056940951182654e+00	5.703762327887722527e-01	3.721686081298844484e-01	6.810569137800799311e-01	-5.705056940948025179e+00
4.496578690127079468e+11	1.668707618157615036e+00	9.885202434039430316e-03	1.863189064259716643e+00	2.784487397670099007e+00	3.299102521742359323e-02	1.184815030767552048e-02	3.441759822741814423e+04	7.059041990018813806e+01	6.970163819917056802e-01	1.406043232549733790e-01	7.110565466141188784e-01	-6.084133446037912840e+00	6.970163819913063330e-01	1.406043232570053092e-01	7.110565466141289814e-01	-6.084133446035000503e+00
