Time_abs/ps	 Signal 2/nA	 Ref.signal 2/nA
570.0	0.011848	-0.003453
570.05	-0.000649	-0.004187
570.1	-0.005824	0.002446
570.15	-0.001312	0.004189
570.2	-0.004063	0.001005
570.25	-0.007494	0.006078
570.3	0.006566	0.002777
570.35	0.007055	0.011495
570.4	0.010886	0.022587
570.45	0.002444	0.010506
570.5	0.013279	0.028801
570.55	0.017655	0.038524
570.6	-0.000667	0.044729
570.65	-0.014513	0.06195
570.7	-0.015097	0.056972
570.75	-0.020137	0.074382
570.8	-0.030522	0.077267
570.85	-0.019329	0.081584
570.9	-0.026659	0.087967
570.95	-0.035229	0.111455
571.0	-0.038819	0.110017
571.05	-0.073532	0.122652
571.1	-0.083153	0.131482
571.15	-0.094226	0.137702
571.2	-0.083776	0.135383
571.25	-0.10227	0.140217
571.3	-0.102351	0.135607
571.35	-0.107732	0.143293
571.4	-0.123478	0.134793
571.45	-0.141313	0.147007
571.5	-0.136112	0.141462
571.55	-0.144647	0.158929
571.6	-0.166836	0.156424
571.65	-0.172565	0.156106
571.7	-0.168275	0.163398
571.75	-0.17248	0.153268
571.8	-0.178689	0.144566
571.85	-0.179123	0.14786
571.9	-0.170898	0.12687
571.95	-0.171155	0.140574
572.0	-0.16843	0.130115
572.05	-0.154678	0.112225
572.1	-0.163273	0.100341
572.15	-0.159102	0.106382
572.2	-0.15636	0.089666
572.25	-0.141142	0.079151
572.3	-0.148938	0.068381
572.35	-0.142984	0.073872
572.4	-0.118747	0.058067
572.45	-0.102253	0.042006
572.5	-0.090786	0.024716
572.55	-0.079214	0.007853
572.6	-0.061304	-0.001951
572.65	-0.05711	-0.026466
572.7	-0.027569	-0.027024
572.75	-0.023774	-0.034943
572.8	-0.020796	-0.038042
572.85	-0.01064	-0.035308
572.9	0.00885	-0.052803
572.95	0.02943	-0.051669
573.0	0.02973	-0.075794
573.05	0.051434	-0.075911
573.1	0.05934	-0.080192
573.15	0.062757	-0.091631
573.2	0.070101	-0.109301
573.25	0.088899	-0.099849
573.3	0.070934	-0.115834
573.35	0.070891	-0.120699
573.4	0.068421	-0.130551
573.45	0.052046	-0.173172
573.5	0.048756	-0.198319
573.55	0.037879	-0.259615
573.6	0.037928	-0.315506
573.65	0.02805	-0.396482
573.7	0.027923	-0.484627
573.75	0.029932	-0.552962
573.8	0.010898	-0.575301
573.85	0.011889	-0.511025
573.9	-0.000774	-0.295894
573.95	-0.028193	0.08726
574.0	-0.026707	0.612212
574.05	-0.040821	1.20343
574.1	-0.044711	1.701624
574.15	-0.047862	1.974002
574.2	-0.055536	1.939083
574.25	-0.051315	1.661764
574.3	-0.062284	1.258365
574.35	-0.057631	0.815606
574.4	-0.050145	0.413069
574.45	-0.063055	0.083855
574.5	-0.059415	-0.179713
574.55	-0.055044	-0.377745
574.6	-0.069642	-0.520251
574.65	-0.066486	-0.584389
574.7	-0.06333	-0.634379
574.75	-0.062721	-0.673635
574.8	-0.057034	-0.682848
574.85	-0.045602	-0.651049
574.9	-0.030936	-0.577085
574.95	-0.030784	-0.480202
575.0	-0.016997	-0.383497
575.05	-0.014039	-0.305568
575.1	-0.012998	-0.255712
575.15	-0.013438	-0.221735
575.2	0.000161	-0.173648
575.25	-0.00792	-0.135129
575.3	-0.008229	-0.071731
575.35	-0.000839	-0.018365
575.4	-0.000206	0.029285
575.45	-0.012888	0.093963
575.5	-0.016064	0.161506
575.55	-0.004639	0.230261
575.6	-0.010603	0.278743
575.65	-0.017665	0.267675
575.7	0.000131	0.208005
575.75	-0.005897	0.120827
575.8	-0.013999	0.028391
575.85	-0.015528	-0.051538
575.9	-0.029958	-0.119542
575.95	-0.030886	-0.151863
576.0	-0.047824	-0.148886
576.05	-0.048135	-0.107158
576.1	-0.060717	-0.036508
576.15	-0.060725	0.043964
576.2	-0.080943	0.086501
576.25	-0.084713	0.078196
576.3	-0.077176	0.026532
576.35	-0.093428	-0.039714
576.4	-0.093077	-0.093618
576.45	-0.082705	-0.121382
576.5	-0.093351	-0.131959
576.55	-0.089141	-0.134541
576.6	-0.099023	-0.143235
576.65	-0.104641	-0.15864
576.7	-0.120597	-0.173507
576.75	-0.11526	-0.193283
576.8	-0.110007	-0.2044
576.85	-0.106962	-0.196151
576.9	-0.103589	-0.197658
576.95	-0.102744	-0.194551
577.0	-0.084618	-0.208438
577.05	-0.07595	-0.224232
577.1	-0.079608	-0.232777
577.15	-0.084289	-0.22975
577.2	-0.070432	-0.201067
577.25	-0.054497	-0.150072
577.3	-0.051573	-0.11267
577.35	-0.050585	-0.091522
577.4	-0.034063	-0.116187
577.45	-0.025247	-0.119921
577.5	-0.019647	-0.152318
577.55	-0.015945	-0.186223
577.6	-0.011214	-0.218369
577.65	-0.028808	-0.271712
577.7	-0.026786	-0.318767
577.75	-0.013322	-0.35651
577.8	-0.010339	-0.348489
577.85	-0.011172	-0.304085
577.9	-0.007133	-0.233648
577.95	0.00098	-0.16414
578.0	0.014963	-0.106342
578.05	0.011573	-0.084573
578.1	0.004696	-0.099492
578.15	0.01198	-0.144866
578.2	0.010369	-0.195615
578.25	0.021124	-0.256566
578.3	0.005702	-0.287957
578.35	0.008585	-0.305214
578.4	0.011526	-0.28383
578.45	-0.01236	-0.268278
578.5	-0.022216	-0.241859
578.55	-0.02283	-0.209507
578.6	-0.024849	-0.204547
578.65	-0.03504	-0.210928
578.7	-0.034787	-0.214901
578.75	-0.0349	-0.215559
578.8	-0.047469	-0.219518
578.85	-0.044807	-0.203941
578.9	-0.059534	-0.19831
578.95	-0.057511	-0.20558
579.0	-0.070888	-0.214062
579.05	-0.083647	-0.235071
579.1	-0.093016	-0.248959
579.15	-0.112084	-0.24969
579.2	-0.134229	-0.209552
579.25	-0.13405	-0.170579
579.3	-0.147031	-0.165157
579.35	-0.15403	-0.208095
579.4	-0.161334	-0.262695
579.45	-0.15609	-0.300143
579.5	-0.164965	-0.31208
579.55	-0.177513	-0.280213
579.6	-0.184787	-0.250835
579.65	-0.179876	-0.210061
579.7	-0.191649	-0.172729
579.75	-0.212458	-0.135057
579.8	-0.229109	-0.069727
579.85	-0.239541	0.060866
579.9	-0.267613	0.273465
579.95	-0.288166	0.55673
580.0	-0.324891	0.827509
580.05	-0.351423	1.026556
580.1	-0.362598	1.065715
580.15	-0.371551	0.902108
580.2	-0.38514	0.525362
580.25	-0.353634	0.013063
580.3	-0.286633	-0.547894
580.35	-0.194007	-1.078285
580.4	-0.085707	-1.544266
580.45	0.054784	-1.88931
580.5	0.202924	-2.1422
580.55	0.340268	-2.306917
580.6	0.452445	-2.405586
580.65	0.525686	-2.468711
580.7	0.565985	-2.484902
580.75	0.569018	-2.521491
580.8	0.544544	-2.562211
580.85	0.467616	-2.633739
580.9	0.375295	-2.726388
580.95	0.261733	-2.827919
581.0	0.146346	-2.903732
581.05	0.037564	-2.990292
581.1	-0.075642	-3.098906
581.15	-0.183377	-3.221807
581.2	-0.282468	-3.373155
581.25	-0.357554	-3.547436
581.3	-0.400599	-3.717808
581.35	-0.432869	-3.907469
581.4	-0.474471	-4.114672
581.45	-0.491071	-4.366851
581.5	-0.485829	-4.688503
581.55	-0.472132	-5.110962
581.6	-0.455046	-5.673262
581.65	-0.412975	-6.387683
581.7	-0.378292	-7.246814
581.75	-0.354901	-8.224384
581.8	-0.307447	-9.325044
581.85	-0.271608	-10.562122
581.9	-0.24606	-11.942307
581.95	-0.197888	-13.485947
582.0	-0.16007	-15.158143
582.05	-0.151852	-16.943218
582.1	-0.124113	-18.869668
582.15	-0.121206	-20.956626
582.2	-0.116875	-23.20168
582.25	-0.124616	-25.663567
582.3	-0.139004	-28.364726
582.35	-0.143659	-31.285722
582.4	-0.143642	-34.441589
582.45	-0.159119	-37.820567
582.5	-0.164589	-41.438339
582.55	-0.152172	-45.279585
582.6	-0.170233	-49.245853
582.65	-0.182111	-53.071901
582.7	-0.169271	-56.228662
582.75	-0.179825	-57.817419
582.8	-0.200644	-56.381669
582.85	-0.221566	-49.67796
582.9	-0.227648	-34.456005
582.95	-0.224236	-6.283087
583.0	-0.229474	40.185965
583.05	-0.246203	110.210451
583.1	-0.26172	206.33442
583.15	-0.277544	324.386905
583.2	-0.293419	449.930203
583.25	-0.303463	558.060609
583.3	-0.318037	619.023639
583.35	-0.312764	609.860308
583.4	-0.32098	526.454253
583.45	-0.336629	386.716341
583.5	-0.337411	221.714626
583.55	-0.338334	60.822972
583.6	-0.338541	-78.716836
583.65	-0.328947	-191.284589
583.7	-0.316698	-275.988344
583.75	-0.321316	-333.019119
583.8	-0.31921	-364.765847
583.85	-0.328206	-376.902801
583.9	-0.329153	-375.713813
583.95	-0.334355	-364.687655
584.0	-0.347995	-344.325919
584.05	-0.353828	-314.307709
584.1	-0.352396	-275.799761
584.15	-0.368915	-232.556841
584.2	-0.36571	-190.074402
584.25	-0.360063	-152.546805
584.3	-0.346792	-120.455905
584.35	-0.339693	-91.421183
584.4	-0.333433	-63.098097
584.45	-0.354442	-34.922416
584.5	-0.354087	-7.79247
584.55	-0.364989	16.874048
584.6	-0.37178	38.285852
584.65	-0.366451	56.878215
584.7	-0.371479	72.706179
584.75	-0.37439	83.260052
584.8	-0.374038	84.386055
584.85	-0.372851	73.945754
584.9	-0.366903	54.097827
584.95	-0.365828	30.332255
585.0	-0.365501	8.484821
585.05	-0.36614	-7.650596
585.1	-0.355985	-16.289925
585.15	-0.339872	-16.523222
585.2	-0.353907	-8.005532
585.25	-0.351865	7.797911
585.3	-0.351083	26.700399
585.35	-0.357762	42.683317
585.4	-0.357881	50.045243
585.45	-0.363125	46.142867
585.5	-0.367568	33.483887
585.55	-0.378233	18.666355
585.6	-0.381107	7.733444
585.65	-0.35961	2.434089
585.7	-0.34556	0.837304
585.75	-0.360361	0.443717
585.8	-0.370589	0.054502
585.85	-0.36954	-0.487788
585.9	-0.366031	-1.008638
585.95	-0.357461	-1.041653
586.0	-0.353677	0.023238
586.05	-0.34811	2.230968
586.1	-0.321279	4.673939
586.15	-0.285025	5.976541
586.2	-0.236148	5.623771
586.25	-0.189125	4.809308
586.3	-0.12158	5.717969
586.35	-0.032322	9.887931
586.4	0.027329	16.956339
586.45	0.075406	24.753633
586.5	0.108435	30.641183
586.55	0.10534	32.966221
586.6	0.072606	31.857495
586.65	-0.00185	28.852345
586.7	-0.116558	25.237851
586.75	-0.262438	20.334709
586.8	-0.451853	12.034069
586.85	-0.642236	-0.196626
586.9	-0.834949	-12.834756
586.95	-1.038938	-19.855198
587.0	-1.244795	-17.398283
587.05	-1.433313	-6.748203
587.1	-1.616495	7.287158
587.15	-1.783479	19.845549
587.2	-1.935908	27.626892
587.25	-2.069985	28.351122
587.3	-2.200893	20.897783
587.35	-2.303066	6.805567
587.4	-2.406877	-9.337976
587.45	-2.526612	-22.312867
587.5	-2.621867	-28.830626
587.55	-2.714541	-28.041511
587.6	-2.808684	-21.186937
587.65	-2.936095	-11.165841
587.7	-3.050565	-1.40799
587.75	-3.198962	5.534505
587.8	-3.361905	8.936674
587.85	-3.558241	9.645342
587.9	-3.786654	9.120681
587.95	-4.077161	8.424372
588.0	-4.399891	7.964563
588.05	-4.798515	7.91454
588.1	-5.261305	8.050999
588.15	-5.802106	7.269715
588.2	-6.434935	4.313343
588.25	-7.157252	-0.465361
588.3	-7.986394	-4.34649
588.35	-8.927051	-4.34826
588.4	-9.96766	-0.782348
588.45	-11.127149	1.935295
588.5	-12.40392	-1.12849
588.55	-13.782227	-10.708181
588.6	-15.315572	-22.094254
588.65	-16.990995	-28.67061
588.7	-18.834478	-26.713764
588.75	-20.801847	-17.606816
588.8	-22.910863	-6.069414
588.85	-25.163018	3.216357
588.9	-27.507998	7.754571
588.95	-29.88273	7.48564
589.0	-32.129855	4.562705
589.05	-34.036284	2.346551
589.1	-35.262302	3.16321
589.15	-35.281371	6.395268
589.2	-33.321968	9.153164
589.25	-28.484351	9.242019
589.3	-19.633613	7.487452
589.35	-5.576704	6.798399
589.4	14.702765	8.986131
589.45	41.647707	12.635845
589.5	74.890975	14.181619
589.55	112.975407	11.059171
589.6	153.295089	3.979063
589.65	192.273856	-3.625592
589.7	225.948553	-8.536507
589.75	250.624192	-9.969753
589.8	263.575979	-8.820671
589.85	263.221754	-5.480431
589.9	249.335416	0.183162
589.95	222.926616	6.690309
590.0	185.958506	10.700489
590.05	141.085321	9.651672
590.1	91.344207	4.391187
590.15	39.766636	-1.486785
590.2	-10.869553	-4.715102
590.25	-58.261018	-4.952448
590.3	-100.566648	-4.609646
590.35	-136.435123	-6.393513
590.4	-164.994403	-10.791891
590.45	-185.939045	-15.809621
590.5	-199.302359	-18.473167
590.55	-205.466887	-16.635471
590.6	-205.095888	-10.070121
590.65	-199.02346	-0.634756
590.7	-188.090796	8.501767
590.75	-173.174162	14.603469
590.8	-155.217131	16.937682
590.85	-135.144806	16.96488
590.9	-113.81922	17.075509
590.95	-92.093087	18.746768
591.0	-70.805916	21.181459
591.05	-50.757753	21.605216
591.1	-32.709094	17.645764
591.15	-17.276771	9.774361
591.2	-4.935012	1.340937
591.25	4.173254	-3.94593
591.3	10.136588	-4.793835
591.35	13.370163	-2.832416
591.4	14.513221	-1.103418
591.45	14.365843	-1.973927
591.5	13.69756	-6.041692
591.55	13.156283	-12.057292
591.6	13.225772	-17.649311
591.65	14.08616	-20.335716
591.7	15.615757	-18.778109
591.75	17.487341	-13.335433
591.8	19.27136	-5.900783
591.85	20.607714	0.927642
591.9	21.256068	5.161906
591.95	21.127445	6.4282
592.0	20.206439	5.947325
592.05	18.597656	5.208545
592.1	16.462065	4.555077
592.15	14.017308	3.233677
592.2	11.51593	0.687858
592.25	9.178163	-2.508193
592.3	7.175155	-5.319013
592.35	5.64028	-7.523417
592.4	4.60326	-9.653257
592.45	4.079357	-12.073878
592.5	4.002791	-14.339327
592.55	4.321018	-15.229374
592.6	5.012496	-13.424819
592.65	5.956916	-8.516474
592.7	7.195095	-1.452215
592.75	8.640819	5.958639
592.8	10.18861	12.071891
592.85	11.705924	15.954821
592.9	13.079271	17.17673
592.95	14.175891	15.668688
593.0	14.872794	12.299594
593.05	15.096298	8.867379
593.1	14.755737	7.048606
593.15	13.866729	7.035172
593.2	12.522176	7.467555
593.25	10.91706	6.418614
593.3	9.364991	2.767507
593.35	8.161904	-2.811203
593.4	7.448381	-8.072655
593.45	7.290961	-10.530503
593.5	7.540837	-8.999379
593.55	7.947664	-4.43444
593.6	8.177446	0.547322
593.65	7.941397	3.281085
593.7	7.03944	2.772364
593.75	5.470649	0.086041
593.8	3.37329	-2.730346
593.85	1.003159	-4.225997
593.9	-1.281548	-4.235162
593.95	-3.18526	-3.673366
594.0	-4.503798	-3.678282
594.05	-5.101595	-4.717003
594.1	-5.019582	-6.030893
594.15	-4.343388	-6.150207
594.2	-3.22149	-4.449375
594.25	-1.820546	-2.065905
594.3	-0.358809	-0.848401
594.35	1.023422	-1.239174
594.4	2.150586	-1.747207
594.45	2.945783	-0.614181
594.5	3.361871	2.180134
594.55	3.375385	4.90385
594.6	3.045461	5.86014
594.65	2.458826	5.128398
594.7	1.71884	4.441461
594.75	0.864984	5.780171
594.8	-0.133748	9.898141
594.85	-1.290258	15.622198
594.9	-2.582835	20.258922
594.95	-3.907917	21.169283
595.0	-5.096854	17.448743
595.05	-5.964192	10.485661
595.1	-6.403069	2.628718
595.15	-6.428501	-4.213182
595.2	-6.131143	-9.456067
595.25	-5.568956	-13.58536
595.3	-4.872038	-17.268757
595.35	-4.09039	-20.334658
595.4	-3.264734	-21.585919
595.45	-2.433141	-19.580508
595.5	-1.565978	-13.61845
595.55	-0.697694	-4.344199
595.6	0.183025	6.28923
595.65	1.096011	15.332191
595.7	2.071581	20.046433
595.75	3.089752	19.21421
595.8	4.058346	13.705395
595.85	4.839041	5.932452
595.9	5.313337	-1.451616
595.95	5.409611	-7.09436
596.0	5.125075	-11.271509
596.05	4.534051	-14.789165
596.1	3.741532	-17.367665
596.15	2.90639	-17.558531
596.2	2.110907	-14.159299
596.25	1.455283	-7.583788
596.3	1.005877	0.250108
596.35	0.673059	7.047291
596.4	0.435182	11.165038
596.45	0.22458	12.114567
596.5	-0.010642	10.575179
596.55	-0.248191	7.791372
596.6	-0.56451	5.115259
596.65	-0.97042	3.462099
596.7	-1.525744	3.148636
596.75	-2.227425	3.972981
596.8	-2.97509	5.36632
596.85	-3.654737	6.466909
596.9	-4.110508	6.12361
596.95	-4.261703	3.39051
597.0	-4.029792	-1.633432
597.05	-3.395019	-7.449473
597.1	-2.400018	-12.000602
597.15	-1.113072	-13.682703
597.2	0.380622	-11.848233
597.25	2.04337	-6.870729
597.3	3.757501	-0.004738
597.35	5.404871	6.894138
597.4	6.814146	12.253174
597.45	7.840476	15.366499
597.5	8.425792	16.131492
597.55	8.594145	14.303682
597.6	8.35042	9.445411
597.65	7.759098	1.492075
597.7	6.840171	-8.454505
597.75	5.624685	-17.948244
597.8	4.085039	-23.845471
597.85	2.306561	-23.90631
597.9	0.351394	-18.349112
597.95	-1.625131	-9.582223
