Frequency/GHz	 Amplitude rel. 2	 Phase 2	 Ref.Amplitude rel. 2	 Ref.Phase 2
0.0	0.003806863	-0.0	0.008305526	-3.14159
1.0	0.007619629	0.24595	0.01652614	-2.9296
2.0	0.00763675	0.4913	0.01627306	-2.71654
3.0	0.007663375	0.73552	0.01585685	-2.50123
4.0	0.007696788	0.97814	0.01528609	-2.28236
5.0	0.00773346	1.21881	0.01457316	-2.05832
6.0	0.007769286	1.45729	0.01373488	-1.82707
7.0	0.007799835	1.69351	0.01279333	-1.58594
8.0	0.007820588	1.92748	0.01177747	-1.33135
9.0	0.007827175	2.15935	0.01072562	-1.05852
10.0	0.007815564	2.38937	0.009689277	-0.76122
11.0	0.007782235	2.61788	0.008737976	-0.43226
12.0	0.007724314	2.84528	0.007962737	-0.06567
13.0	0.007639689	3.07207	0.007469692	0.33784
14.0	0.007527107	3.2988	0.007351818	0.7642
15.0	0.007386248	3.52609	0.007644399	1.18755
16.0	0.007217803	3.75466	0.008305104	1.58411
17.0	0.007023543	3.98527	0.009242727	1.9437
18.0	0.006806387	4.21879	0.01036001	2.26803
19.0	0.006570479	4.45617	0.0115763	2.56376
20.0	0.006321258	4.69843	0.01283115	2.83794
21.0	0.006065515	4.94662	0.01408055	3.09636
22.0	0.00581141	5.20179	0.01529249	3.34343
23.0	0.005568394	5.46481	0.01644369	3.58239
24.0	0.005346956	5.73621	0.01751727	3.81563
25.0	0.0051581	6.01591	0.01850141	4.04492
26.0	0.005012459	6.30295	0.01938835	4.27159
27.0	0.00491907	6.5953	0.02017374	4.49665
28.0	0.004884005	6.88997	0.02085612	4.72087
29.0	0.00490925	7.18328	0.02143646	4.94485
30.0	0.004992271	7.47159	0.02191772	5.16903
31.0	0.005126436	7.7518	0.02230439	5.39372
32.0	0.005302127	8.02178	0.02260199	5.61915
33.0	0.005508094	8.28044	0.02281654	5.84543
34.0	0.005732687	8.52749	0.02295403	6.07259
35.0	0.005964728	8.76325	0.02301986	6.30059
36.0	0.00619405	8.98832	0.02301831	6.52931
37.0	0.006411754	9.20339	0.02295207	6.75861
38.0	0.00661031	9.40914	0.02282191	6.98828
39.0	0.006783586	9.60613	0.02262636	7.21812
40.0	0.006926838	9.79477	0.02236168	7.44793
41.0	0.007036729	9.9753	0.02202191	7.67755
42.0	0.007111368	10.14776	0.02159907	7.90688
43.0	0.007150394	10.31203	0.02108361	8.13589
44.0	0.007155118	10.4678	0.02046488	8.36469
45.0	0.007128713	10.61458	0.01973175	8.59355
46.0	0.007076467	10.75173	0.01887342	8.82295
47.0	0.007006074	10.87851	0.01788015	9.05367
48.0	0.006927931	10.99418	0.01674436	9.28694
49.0	0.006855349	11.09814	0.01546183	9.52466
50.0	0.006804536	11.19018	0.01403363	9.76987
51.0	0.006794139	11.27078	0.01246931	10.02758
52.0	0.006844143	11.34137	0.01079326	10.30652
53.0	0.006974036	11.4045	0.009058849	10.62267
54.0	0.007200522	11.46367	0.007382867	11.00596
55.0	0.007535391	11.52285	0.006024788	11.5053
56.0	0.007984283	11.58576	0.005474085	12.14419
57.0	0.008546732	11.6553	0.00616294	12.79745
58.0	0.009217281	11.73324	0.007914371	13.31588
59.0	0.009987075	11.82027	0.01029116	13.70583
60.0	0.01084539	11.91628	0.01301239	14.01781
61.0	0.01178076	12.02059	0.01593221	14.28495
62.0	0.01278172	12.1323	0.01896615	14.52498
63.0	0.01383716	12.25039	0.02205564	14.74751
